Datum Zeit,Schkeuditz NO2
,µg/m³
01-01-09 00:00,35
31-12-08 23:00,34
31-12-08 22:00,38
31-12-08 21:00,42
31-12-08 20:00,42
31-12-08 19:00,43
31-12-08 18:00,42
31-12-08 17:00,42
31-12-08 16:00,35
31-12-08 15:00,32
31-12-08 14:00,27
31-12-08 13:00,26
31-12-08 12:00,31
31-12-08 11:00,29
31-12-08 10:00,29
31-12-08 09:00,30
31-12-08 08:00,31
31-12-08 07:00,28
31-12-08 06:00,29
31-12-08 05:00,29
31-12-08 04:00,31
31-12-08 03:00,39
31-12-08 02:00,45
31-12-08 01:00,51
31-12-08 00:00,52
30-12-08 23:00,55
30-12-08 22:00,58
30-12-08 21:00,58
30-12-08 20:00,56
30-12-08 19:00,57
30-12-08 18:00,73
30-12-08 17:00,60
30-12-08 16:00,51
30-12-08 15:00,50
30-12-08 14:00,54
30-12-08 13:00,42
30-12-08 12:00,29
30-12-08 11:00,32
30-12-08 10:00,34
30-12-08 09:00,40
30-12-08 08:00,36
30-12-08 07:00,31
30-12-08 06:00,31
30-12-08 05:00,31
30-12-08 04:00,25
30-12-08 03:00,33
30-12-08 02:00,34
30-12-08 01:00,36
30-12-08 00:00,29
29-12-08 23:00,28
29-12-08 22:00,28
29-12-08 21:00,27
29-12-08 20:00,23
29-12-08 19:00,23
29-12-08 18:00,25
29-12-08 17:00,22
29-12-08 16:00,20
29-12-08 15:00,16
29-12-08 14:00,15
29-12-08 13:00,14
29-12-08 12:00,13
29-12-08 11:00,13
29-12-08 10:00,14
29-12-08 09:00,15
29-12-08 08:00,14
29-12-08 07:00,13
29-12-08 06:00,13
29-12-08 05:00,12
29-12-08 04:00,12
29-12-08 03:00,12
29-12-08 02:00,12
29-12-08 01:00,13
29-12-08 00:00,15
28-12-08 23:00,16
28-12-08 22:00,17
28-12-08 21:00,15
28-12-08 20:00,15
28-12-08 19:00,21
28-12-08 18:00,21
28-12-08 17:00,17
28-12-08 16:00,10
28-12-08 15:00,8
28-12-08 14:00,8
28-12-08 13:00,8
28-12-08 12:00,8
28-12-08 11:00,9
28-12-08 10:00,12
28-12-08 09:00,11
28-12-08 08:00,10
28-12-08 07:00,8
28-12-08 06:00,8
28-12-08 05:00,7
28-12-08 04:00,9
28-12-08 03:00,9
28-12-08 02:00,9
28-12-08 01:00,9
28-12-08 00:00,8
27-12-08 23:00,8
27-12-08 22:00,10
27-12-08 21:00,8
27-12-08 20:00,9
27-12-08 19:00,9
27-12-08 18:00,10
27-12-08 17:00,9
27-12-08 16:00,9
27-12-08 15:00,8
27-12-08 14:00,9
27-12-08 13:00,9
27-12-08 12:00,8
27-12-08 11:00,8
27-12-08 10:00,9
27-12-08 09:00,11
27-12-08 08:00,11
27-12-08 07:00,9
27-12-08 06:00,9
27-12-08 05:00,9
27-12-08 04:00,6
27-12-08 03:00,6
27-12-08 02:00,7
27-12-08 01:00,8
27-12-08 00:00,8
26-12-08 23:00,8
26-12-08 22:00,7
26-12-08 21:00,10
26-12-08 20:00,11
26-12-08 19:00,8
26-12-08 18:00,8
26-12-08 17:00,9
26-12-08 16:00,8
26-12-08 15:00,7
26-12-08 14:00,7
26-12-08 13:00,7
26-12-08 12:00,7
26-12-08 11:00,8
26-12-08 10:00,7
26-12-08 09:00,7
26-12-08 08:00,7
26-12-08 07:00,9
26-12-08 06:00,10
26-12-08 05:00,8
26-12-08 04:00,8
26-12-08 03:00,8
26-12-08 02:00,7
26-12-08 01:00,9
26-12-08 00:00,7
25-12-08 23:00,6
25-12-08 22:00,7
25-12-08 21:00,9
25-12-08 20:00,8
25-12-08 19:00,7
25-12-08 18:00,6
25-12-08 17:00,7
25-12-08 16:00,7
25-12-08 15:00,7
25-12-08 14:00,7
25-12-08 13:00,6
25-12-08 12:00,6
25-12-08 11:00,6
25-12-08 10:00,6
25-12-08 09:00,8
25-12-08 08:00,7
25-12-08 07:00,9
25-12-08 06:00,9
25-12-08 05:00,10
25-12-08 04:00,12
25-12-08 03:00,16
25-12-08 02:00,11
25-12-08 01:00,10
25-12-08 00:00,8
24-12-08 23:00,9
24-12-08 22:00,9
24-12-08 21:00,9
24-12-08 20:00,10
24-12-08 19:00,10
24-12-08 18:00,11
24-12-08 17:00,12
24-12-08 16:00,11
24-12-08 15:00,12
24-12-08 14:00,12
24-12-08 13:00,16
24-12-08 12:00,17
