Datum Zeit,Bautzen NO2
,µg/m³
01-03-09 00:00,14
28-02-09 23:00,13
28-02-09 22:00,13
28-02-09 21:00,15
28-02-09 20:00,21
28-02-09 19:00,18
28-02-09 18:00,11
28-02-09 17:00,9
28-02-09 16:00,8
28-02-09 15:00,8
28-02-09 14:00,10
28-02-09 13:00,14
28-02-09 12:00,17
28-02-09 11:00,17
28-02-09 10:00,31
28-02-09 09:00,31
28-02-09 08:00,26
28-02-09 07:00,21
28-02-09 06:00,16
28-02-09 05:00,9
28-02-09 04:00,10
28-02-09 03:00,12
28-02-09 02:00,12
28-02-09 01:00,15
28-02-09 00:00,14
27-02-09 23:00,19
27-02-09 22:00,21
27-02-09 21:00,23
27-02-09 20:00,26
27-02-09 19:00,28
27-02-09 18:00,30
27-02-09 17:00,35
27-02-09 16:00,24
27-02-09 15:00,24
27-02-09 14:00,24
27-02-09 13:00,28
27-02-09 12:00,24
27-02-09 11:00,25
27-02-09 10:00,28
27-02-09 09:00,27
27-02-09 08:00,24
27-02-09 07:00,20
27-02-09 06:00,13
27-02-09 05:00,13
27-02-09 04:00,10
27-02-09 03:00,9
27-02-09 02:00,12
27-02-09 01:00,12
27-02-09 00:00,12
26-02-09 23:00,14
26-02-09 22:00,17
26-02-09 21:00,21
26-02-09 20:00,25
26-02-09 19:00,29
26-02-09 18:00,27
26-02-09 17:00,27
26-02-09 16:00,26
26-02-09 15:00,27
26-02-09 14:00,27
26-02-09 13:00,24
26-02-09 12:00,26
26-02-09 11:00,29
26-02-09 10:00,29
26-02-09 09:00,28
26-02-09 08:00,30
26-02-09 07:00,22
26-02-09 06:00,17
26-02-09 05:00,13
26-02-09 04:00,13
26-02-09 03:00,12
26-02-09 02:00,13
26-02-09 01:00,14
26-02-09 00:00,13
25-02-09 23:00,14
25-02-09 22:00,13
25-02-09 21:00,17
25-02-09 20:00,18
25-02-09 19:00,24
25-02-09 18:00,32
25-02-09 17:00,29
25-02-09 16:00,27
25-02-09 15:00,26
25-02-09 14:00,22
25-02-09 13:00,24
25-02-09 12:00,22
25-02-09 11:00,28
25-02-09 10:00,27
25-02-09 09:00,31
25-02-09 08:00,35
25-02-09 07:00,34
25-02-09 06:00,28
25-02-09 05:00,17
25-02-09 04:00,13
25-02-09 03:00,10
25-02-09 02:00,12
25-02-09 01:00,16
25-02-09 00:00,19
24-02-09 23:00,28
24-02-09 22:00,24
24-02-09 21:00,25
24-02-09 20:00,41
24-02-09 19:00,36
24-02-09 18:00,33
24-02-09 17:00,36
24-02-09 16:00,38
24-02-09 15:00,33
24-02-09 14:00,30
24-02-09 13:00,27
24-02-09 12:00,28
24-02-09 11:00,25
24-02-09 10:00,23
24-02-09 09:00,25
24-02-09 08:00,28
24-02-09 07:00,20
24-02-09 06:00,13
24-02-09 05:00,10
24-02-09 04:00,9
24-02-09 03:00,9
24-02-09 02:00,11
24-02-09 01:00,10
24-02-09 00:00,10
23-02-09 23:00,11
23-02-09 22:00,14
23-02-09 21:00,14
23-02-09 20:00,15
23-02-09 19:00,20
23-02-09 18:00,23
23-02-09 17:00,43
23-02-09 16:00,35
23-02-09 15:00,28
23-02-09 14:00,27
23-02-09 13:00,25
23-02-09 12:00,24
23-02-09 11:00,26
23-02-09 10:00,27
23-02-09 09:00,30
23-02-09 08:00,28
23-02-09 07:00,21
23-02-09 06:00,10
23-02-09 05:00,8
23-02-09 04:00,6
23-02-09 03:00,5
23-02-09 02:00,7
23-02-09 01:00,6
23-02-09 00:00,9
22-02-09 23:00,12
22-02-09 22:00,14
22-02-09 21:00,17
22-02-09 20:00,19
22-02-09 19:00,21
22-02-09 18:00,24
22-02-09 17:00,21
22-02-09 16:00,20
22-02-09 15:00,20
22-02-09 14:00,18
22-02-09 13:00,18
22-02-09 12:00,18
22-02-09 11:00,17
22-02-09 10:00,18
22-02-09 09:00,20
22-02-09 08:00,19
22-02-09 07:00,18
22-02-09 06:00,15
22-02-09 05:00,18
22-02-09 04:00,20
22-02-09 03:00,20
22-02-09 02:00,34
22-02-09 01:00,26
