Datum Zeit,Zinnwald NO
,µg/m³
01-03-09 00:00,1
28-02-09 23:00,1
28-02-09 22:00,1
28-02-09 21:00,1
28-02-09 20:00,1
28-02-09 19:00,1
28-02-09 18:00,1
28-02-09 17:00,2
28-02-09 16:00,3
28-02-09 15:00,4
28-02-09 14:00,6
28-02-09 13:00,7
28-02-09 12:00,8
28-02-09 11:00,7
28-02-09 10:00,6
28-02-09 09:00,3
28-02-09 08:00,2
28-02-09 07:00,1
28-02-09 06:00,1
28-02-09 05:00,1
28-02-09 04:00,1
28-02-09 03:00,1
28-02-09 02:00,1
28-02-09 01:00,1
28-02-09 00:00,1
27-02-09 23:00,1
27-02-09 22:00,1
27-02-09 21:00,1
27-02-09 20:00,1
27-02-09 19:00,1
27-02-09 18:00,1
27-02-09 17:00,1
27-02-09 16:00,1
27-02-09 15:00,1
27-02-09 14:00,2
27-02-09 13:00,1
27-02-09 12:00,1
27-02-09 11:00,1
27-02-09 10:00,1
27-02-09 09:00,2
27-02-09 08:00,1
27-02-09 07:00,1
27-02-09 06:00,3
27-02-09 05:00,1
27-02-09 04:00,1
27-02-09 03:00,1
27-02-09 02:00,1
27-02-09 01:00,1
27-02-09 00:00,1
26-02-09 23:00,1
26-02-09 22:00,1
26-02-09 21:00,1
26-02-09 20:00,1
26-02-09 19:00,1
26-02-09 18:00,1
26-02-09 17:00,1
26-02-09 16:00,1
26-02-09 15:00,3
26-02-09 14:00,3
26-02-09 13:00,3
26-02-09 12:00,3
26-02-09 11:00,4
26-02-09 10:00,2
26-02-09 09:00,1
26-02-09 08:00,1
26-02-09 07:00,1
26-02-09 06:00,1
26-02-09 05:00,1
26-02-09 04:00,1
26-02-09 03:00,1
26-02-09 02:00,1
26-02-09 01:00,1
26-02-09 00:00,1
25-02-09 23:00,1
25-02-09 22:00,1
25-02-09 21:00,1
25-02-09 20:00,1
25-02-09 19:00,1
25-02-09 18:00,1
25-02-09 17:00,1
25-02-09 16:00,1
25-02-09 15:00,1
25-02-09 14:00,1
25-02-09 13:00,1
25-02-09 12:00,1
25-02-09 11:00,1
25-02-09 10:00,1
25-02-09 09:00,1
25-02-09 08:00,1
25-02-09 07:00,1
25-02-09 06:00,1
25-02-09 05:00,1
25-02-09 04:00,1
25-02-09 03:00,1
25-02-09 02:00,1
25-02-09 01:00,1
25-02-09 00:00,1
24-02-09 23:00,1
24-02-09 22:00,1
24-02-09 21:00,1
24-02-09 20:00,1
24-02-09 19:00,2
24-02-09 18:00,28
24-02-09 17:00,9
24-02-09 16:00,5
24-02-09 15:00,3
24-02-09 14:00,4
24-02-09 13:00,3
24-02-09 12:00,6
24-02-09 11:00,4
24-02-09 10:00,2
24-02-09 09:00,2
24-02-09 08:00,4
24-02-09 07:00,7
24-02-09 06:00,1
24-02-09 05:00,1
24-02-09 04:00,1
