Datum Zeit,Goerlitz BEN
,µg/m³
01-04-10 00:00,0.9
31-03-10 23:00,0.9
31-03-10 22:00,1.3
31-03-10 21:00,1.6
31-03-10 20:00,2.2
31-03-10 19:00,2.1
31-03-10 18:00,2.1
31-03-10 17:00,2.6
31-03-10 16:00,1.8
31-03-10 15:00,2.2
31-03-10 14:00,1.6
31-03-10 13:00,1.0
31-03-10 12:00,1.2
31-03-10 11:00,1.3
31-03-10 10:00,1.6
31-03-10 09:00,1.2
31-03-10 08:00,0.9
31-03-10 07:00,0.9
31-03-10 06:00,0.9
31-03-10 05:00,0.5
31-03-10 04:00,0.5
31-03-10 03:00,0.5
31-03-10 02:00,1.2
31-03-10 01:00,2.6
31-03-10 00:00,3.0
30-03-10 23:00,4.1
30-03-10 22:00,8.1
30-03-10 21:00,3.9
30-03-10 20:00,3.0
30-03-10 19:00,2.3
30-03-10 18:00,1.6
30-03-10 17:00,1.3
30-03-10 16:00,0.9
30-03-10 15:00,0.7
30-03-10 14:00,0.6
30-03-10 13:00,0.7
30-03-10 12:00,1.2
30-03-10 11:00,2.0
30-03-10 10:00,2.3
30-03-10 09:00,1.8
30-03-10 08:00,3.3
30-03-10 07:00,2.7
30-03-10 06:00,2.8
30-03-10 05:00,1.1
30-03-10 04:00,0.8
30-03-10 03:00,0.9
30-03-10 02:00,0.7
30-03-10 01:00,0.8
30-03-10 00:00,0.8
29-03-10 23:00,1.6
29-03-10 22:00,1.6
29-03-10 21:00,0.7
29-03-10 20:00,1.0
29-03-10 19:00,1.2
29-03-10 18:00,1.3
29-03-10 17:00,1.9
29-03-10 16:00,1.5
29-03-10 15:00,1.9
29-03-10 14:00,1.7
29-03-10 13:00,1.2
29-03-10 12:00,1.6
29-03-10 11:00,1.7
29-03-10 10:00,1.8
29-03-10 09:00,1.5
29-03-10 08:00,1.9
29-03-10 07:00,1.5
29-03-10 06:00,1.3
29-03-10 05:00,0.9
29-03-10 04:00,1.1
29-03-10 03:00,0.8
29-03-10 02:00,
29-03-10 01:00,
29-03-10 00:00,
28-03-10 23:00,
28-03-10 22:00,0.8
28-03-10 21:00,1.3
28-03-10 20:00,1.2
28-03-10 19:00,1.3
28-03-10 18:00,1.1
28-03-10 17:00,1.5
28-03-10 16:00,0.9
28-03-10 15:00,1.2
28-03-10 14:00,1.6
28-03-10 13:00,1.2
28-03-10 12:00,1.0
28-03-10 11:00,1.2
28-03-10 10:00,0.9
28-03-10 09:00,0.7
28-03-10 08:00,0.6
28-03-10 07:00,0.9
28-03-10 06:00,0.9
28-03-10 05:00,0.8
28-03-10 04:00,0.8
28-03-10 03:00,0.9
28-03-10 02:00,0.7
28-03-10 01:00,2.8
28-03-10 00:00,1.0
27-03-10 23:00,2.1
27-03-10 22:00,1.7
27-03-10 21:00,2.0
27-03-10 20:00,1.9
27-03-10 19:00,1.8
27-03-10 18:00,1.3
27-03-10 17:00,1.4
27-03-10 16:00,1.7
27-03-10 15:00,1.7
27-03-10 14:00,1.4
27-03-10 13:00,1.4
27-03-10 12:00,2.4
27-03-10 11:00,2.0
27-03-10 10:00,1.4
27-03-10 09:00,1.3
27-03-10 08:00,0.9
27-03-10 07:00,0.7
27-03-10 06:00,0.5
27-03-10 05:00,0.5
27-03-10 04:00,0.4
27-03-10 03:00,0.5
27-03-10 02:00,0.8
27-03-10 01:00,0.6
27-03-10 00:00,0.6
26-03-10 23:00,0.8
26-03-10 22:00,1.2
26-03-10 21:00,1.3
26-03-10 20:00,1.6
26-03-10 19:00,1.7
26-03-10 18:00,1.1
26-03-10 17:00,1.2
26-03-10 16:00,1.6
26-03-10 15:00,2.3
26-03-10 14:00,1.9
26-03-10 13:00,2.0
26-03-10 12:00,1.6
26-03-10 11:00,1.7
26-03-10 10:00,1.7
26-03-10 09:00,1.8
26-03-10 08:00,1.8
26-03-10 07:00,1.7
26-03-10 06:00,1.2
26-03-10 05:00,1.1
26-03-10 04:00,1.1
26-03-10 03:00,1.0
26-03-10 02:00,1.1
26-03-10 01:00,1.1
26-03-10 00:00,1.6
25-03-10 23:00,1.5
25-03-10 22:00,1.5
25-03-10 21:00,2.8
25-03-10 20:00,3.4
25-03-10 19:00,2.6
25-03-10 18:00,1.6
25-03-10 17:00,2.1
25-03-10 16:00,1.6
25-03-10 15:00,1.3
25-03-10 14:00,1.2
25-03-10 13:00,1.3
25-03-10 12:00,1.2
25-03-10 11:00,
25-03-10 10:00,
25-03-10 09:00,
25-03-10 08:00,1.7
25-03-10 07:00,2.0
25-03-10 06:00,0.9
25-03-10 05:00,0.9
25-03-10 04:00,1.8
25-03-10 03:00,1.1
25-03-10 02:00,0.6
25-03-10 01:00,0.8
25-03-10 00:00,3.3
24-03-10 23:00,6.2
24-03-10 22:00,5.1
24-03-10 21:00,5.3
24-03-10 20:00,4.8
24-03-10 19:00,2.5
24-03-10 18:00,1.7
24-03-10 17:00,1.1
24-03-10 16:00,1.0
24-03-10 15:00,0.8
24-03-10 14:00,1.0
24-03-10 13:00,1.1
24-03-10 12:00,1.6
24-03-10 11:00,2.5
24-03-10 10:00,2.2
24-03-10 09:00,3.7
24-03-10 08:00,5.1
24-03-10 07:00,3.9
24-03-10 06:00,2.6
24-03-10 05:00,2.2
24-03-10 04:00,2.1
24-03-10 03:00,2.3
24-03-10 02:00,2.2
24-03-10 01:00,2.1
24-03-10 00:00,2.9
23-03-10 23:00,3.8
23-03-10 22:00,3.3
23-03-10 21:00,3.1
23-03-10 20:00,3.3
23-03-10 19:00,2.5
23-03-10 18:00,1.5
23-03-10 17:00,1.4
23-03-10 16:00,1.8
23-03-10 15:00,1.2
23-03-10 14:00,0.8
23-03-10 13:00,1.6
23-03-10 12:00,1.4
23-03-10 11:00,1.9
23-03-10 10:00,1.8
23-03-10 09:00,2.2
23-03-10 08:00,2.2
23-03-10 07:00,1.8
23-03-10 06:00,0.8
23-03-10 05:00,0.9
23-03-10 04:00,1.4
23-03-10 03:00,2.2
23-03-10 02:00,2.7
23-03-10 01:00,2.8
23-03-10 00:00,4.4
22-03-10 23:00,4.9
22-03-10 22:00,4.7
22-03-10 21:00,3.9
22-03-10 20:00,3.6
22-03-10 19:00,1.1
22-03-10 18:00,1.3
22-03-10 17:00,1.7
22-03-10 16:00,1.7
22-03-10 15:00,1.8
22-03-10 14:00,0.9
22-03-10 13:00,1.4
22-03-10 12:00,1.6
22-03-10 11:00,1.6
22-03-10 10:00,1.4
22-03-10 09:00,1.3
22-03-10 08:00,1.5
22-03-10 07:00,1.1
22-03-10 06:00,0.7
22-03-10 05:00,0.5
22-03-10 04:00,0.5
22-03-10 03:00,0.4
22-03-10 02:00,0.5
22-03-10 01:00,0.5
22-03-10 00:00,0.5
21-03-10 23:00,0.8
21-03-10 22:00,0.7
21-03-10 21:00,
21-03-10 20:00,
21-03-10 19:00,
21-03-10 18:00,
21-03-10 17:00,0.9
21-03-10 16:00,1.0
21-03-10 15:00,1.2
21-03-10 14:00,1.2
21-03-10 13:00,0.8
21-03-10 12:00,1.1
21-03-10 11:00,1.1
21-03-10 10:00,1.1
21-03-10 09:00,1.0
21-03-10 08:00,0.9
21-03-10 07:00,1.0
21-03-10 06:00,1.1
21-03-10 05:00,1.0
21-03-10 04:00,0.8
21-03-10 03:00,0.8
21-03-10 02:00,1.1
21-03-10 01:00,1.1
21-03-10 00:00,0.9
20-03-10 23:00,1.0
20-03-10 22:00,1.2
20-03-10 21:00,1.3
20-03-10 20:00,1.6
20-03-10 19:00,2.1
20-03-10 18:00,2.2
20-03-10 17:00,1.9
20-03-10 16:00,2.3
20-03-10 15:00,2.1
20-03-10 14:00,1.8
20-03-10 13:00,2.4
20-03-10 12:00,1.9
20-03-10 11:00,1.9
20-03-10 10:00,1.6
20-03-10 09:00,1.3
20-03-10 08:00,1.2
20-03-10 07:00,1.2
20-03-10 06:00,1.1
20-03-10 05:00,1.1
20-03-10 04:00,1.2
20-03-10 03:00,1.1
20-03-10 02:00,1.0
20-03-10 01:00,1.2
20-03-10 00:00,1.4
19-03-10 23:00,1.4
19-03-10 22:00,1.7
19-03-10 21:00,1.7
19-03-10 20:00,2.4
19-03-10 19:00,2.7
19-03-10 18:00,2.8
19-03-10 17:00,2.4
19-03-10 16:00,2.5
19-03-10 15:00,2.2
19-03-10 14:00,2.0
19-03-10 13:00,1.9
19-03-10 12:00,1.7
19-03-10 11:00,1.7
19-03-10 10:00,1.7
19-03-10 09:00,1.8
19-03-10 08:00,1.6
19-03-10 07:00,1.5
19-03-10 06:00,1.1
19-03-10 05:00,0.9
19-03-10 04:00,1.0
19-03-10 03:00,1.1
19-03-10 02:00,1.1
19-03-10 01:00,1.1
19-03-10 00:00,1.9
18-03-10 23:00,2.0
18-03-10 22:00,2.3
18-03-10 21:00,3.1
18-03-10 20:00,3.0
18-03-10 19:00,3.3
18-03-10 18:00,2.5
18-03-10 17:00,2.4
18-03-10 16:00,2.8
18-03-10 15:00,1.6
18-03-10 14:00,1.5
18-03-10 13:00,1.6
18-03-10 12:00,1.7
18-03-10 11:00,1.9
18-03-10 10:00,2.8
18-03-10 09:00,2.9
18-03-10 08:00,2.5
18-03-10 07:00,2.3
18-03-10 06:00,
18-03-10 05:00,
18-03-10 04:00,
18-03-10 03:00,0.7
18-03-10 02:00,0.8
18-03-10 01:00,0.9
18-03-10 00:00,1.1
17-03-10 23:00,1.3
17-03-10 22:00,1.9
17-03-10 21:00,1.7
17-03-10 20:00,2.5
17-03-10 19:00,2.5
17-03-10 18:00,2.8
17-03-10 17:00,2.5
17-03-10 16:00,3.8
17-03-10 15:00,2.1
17-03-10 14:00,2.0
17-03-10 13:00,2.0
17-03-10 12:00,1.9
17-03-10 11:00,2.4
17-03-10 10:00,1.8
17-03-10 09:00,1.8
17-03-10 08:00,2.4
17-03-10 07:00,1.8
17-03-10 06:00,0.8
17-03-10 05:00,0.6
17-03-10 04:00,0.5
17-03-10 03:00,0.5
17-03-10 02:00,0.6
17-03-10 01:00,0.6
17-03-10 00:00,1.3
16-03-10 23:00,1.2
16-03-10 22:00,1.0
16-03-10 21:00,1.3
16-03-10 20:00,2.1
16-03-10 19:00,1.6
16-03-10 18:00,2.1
16-03-10 17:00,2.0
16-03-10 16:00,2.1
16-03-10 15:00,1.8
16-03-10 14:00,1.1
16-03-10 13:00,2.0
16-03-10 12:00,1.7
16-03-10 11:00,2.0
16-03-10 10:00,1.8
16-03-10 09:00,1.8
16-03-10 08:00,2.4
16-03-10 07:00,1.5
16-03-10 06:00,0.9
16-03-10 05:00,0.7
16-03-10 04:00,0.5
16-03-10 03:00,0.6
16-03-10 02:00,0.6
16-03-10 01:00,0.9
16-03-10 00:00,1.2
15-03-10 23:00,1.7
15-03-10 22:00,1.6
15-03-10 21:00,2.2
15-03-10 20:00,2.0
15-03-10 19:00,2.1
15-03-10 18:00,1.4
15-03-10 17:00,2.0
15-03-10 16:00,2.3
15-03-10 15:00,1.5
15-03-10 14:00,1.0
15-03-10 13:00,1.4
15-03-10 12:00,1.1
15-03-10 11:00,1.2
15-03-10 10:00,1.8
15-03-10 09:00,1.2
15-03-10 08:00,1.2
15-03-10 07:00,0.8
15-03-10 06:00,0.5
15-03-10 05:00,0.4
15-03-10 04:00,0.4
15-03-10 03:00,0.4
15-03-10 02:00,0.4
15-03-10 01:00,0.4
15-03-10 00:00,0.4
14-03-10 23:00,0.6
