Datum Zeit,Collmberg PM2.5
,µg/m³
31-03-11,10.92
30-03-11,27.60
29-03-11,23.90
28-03-11,19.83
27-03-11,16.91
26-03-11,8.24
25-03-11,22.21
24-03-11,17.25
23-03-11,21.16
22-03-11,30.95
21-03-11,14.50
20-03-11,12.91
19-03-11,7.82
18-03-11,6.93
17-03-11,9.10
16-03-11,53.92
15-03-11,52.28
14-03-11,43.60
13-03-11,35.59
12-03-11,19.68
11-03-11,10.88
10-03-11,10.67
09-03-11,27.15
08-03-11,14.88
07-03-11,8.20
06-03-11,7.58
05-03-11,49.70
04-03-11,45.94
03-03-11,67.37
02-03-11,45.16
01-03-11,59.62

