Datum Zeit,Chemnitz-Mitte NO
,µg/m³
01-05-11 00:00,1
30-04-11 23:00,1
30-04-11 22:00,1
30-04-11 21:00,1
30-04-11 20:00,1
30-04-11 19:00,1
30-04-11 18:00,1
30-04-11 17:00,1
30-04-11 16:00,1
30-04-11 15:00,6
30-04-11 14:00,1
30-04-11 13:00,3
30-04-11 12:00,2
30-04-11 11:00,4
30-04-11 10:00,5
30-04-11 09:00,5
30-04-11 08:00,3
30-04-11 07:00,4
30-04-11 06:00,5
30-04-11 05:00,1
30-04-11 04:00,1
30-04-11 03:00,1
30-04-11 02:00,1
30-04-11 01:00,1
30-04-11 00:00,1
29-04-11 23:00,2
29-04-11 22:00,1
29-04-11 21:00,1
29-04-11 20:00,1
29-04-11 19:00,1
29-04-11 18:00,1
29-04-11 17:00,5
29-04-11 16:00,2
29-04-11 15:00,2
29-04-11 14:00,3
29-04-11 13:00,2
29-04-11 12:00,4
29-04-11 11:00,4
29-04-11 10:00,12
29-04-11 09:00,8
29-04-11 08:00,14
29-04-11 07:00,31
29-04-11 06:00,27
29-04-11 05:00,6
29-04-11 04:00,1
29-04-11 03:00,1
29-04-11 02:00,1
29-04-11 01:00,1
29-04-11 00:00,1
28-04-11 23:00,1
28-04-11 22:00,2
28-04-11 21:00,1
28-04-11 20:00,2
28-04-11 19:00,4
28-04-11 18:00,4
28-04-11 17:00,4
28-04-11 16:00,2
28-04-11 15:00,2
28-04-11 14:00,2
28-04-11 13:00,4
28-04-11 12:00,2
28-04-11 11:00,5
28-04-11 10:00,16
28-04-11 09:00,38
28-04-11 08:00,49
28-04-11 07:00,78
28-04-11 06:00,45
28-04-11 05:00,10
28-04-11 04:00,1
28-04-11 03:00,2
28-04-11 02:00,14
28-04-11 01:00,15
28-04-11 00:00,23
27-04-11 23:00,18
27-04-11 22:00,9
27-04-11 21:00,4
27-04-11 20:00,4
27-04-11 19:00,2
27-04-11 18:00,4
27-04-11 17:00,7
27-04-11 16:00,3
27-04-11 15:00,2
27-04-11 14:00,4
27-04-11 13:00,5
27-04-11 12:00,5
27-04-11 11:00,4
27-04-11 10:00,4
27-04-11 09:00,19
27-04-11 08:00,53
27-04-11 07:00,71
27-04-11 06:00,49
27-04-11 05:00,21
27-04-11 04:00,26
27-04-11 03:00,15
27-04-11 02:00,12
27-04-11 01:00,9
27-04-11 00:00,15
26-04-11 23:00,22
26-04-11 22:00,11
26-04-11 21:00,23
26-04-11 20:00,10
26-04-11 19:00,6
26-04-11 18:00,5
26-04-11 17:00,4
26-04-11 16:00,4
26-04-11 15:00,4
26-04-11 14:00,4
26-04-11 13:00,5
26-04-11 12:00,6
26-04-11 11:00,6
26-04-11 10:00,21
26-04-11 09:00,33
26-04-11 08:00,58
26-04-11 07:00,43
26-04-11 06:00,22
26-04-11 05:00,8
26-04-11 04:00,1
26-04-11 03:00,1
26-04-11 02:00,1
26-04-11 01:00,1
26-04-11 00:00,1
25-04-11 23:00,1
25-04-11 22:00,2
25-04-11 21:00,1
25-04-11 20:00,1
25-04-11 19:00,1
25-04-11 18:00,1
25-04-11 17:00,2
25-04-11 16:00,1
25-04-11 15:00,1
25-04-11 14:00,1
25-04-11 13:00,1
25-04-11 12:00,1
25-04-11 11:00,1
25-04-11 10:00,1
25-04-11 09:00,1
25-04-11 08:00,3
25-04-11 07:00,2
25-04-11 06:00,1
25-04-11 05:00,1
25-04-11 04:00,1
25-04-11 03:00,1
25-04-11 02:00,1
25-04-11 01:00,1
25-04-11 00:00,1
24-04-11 23:00,7
24-04-11 22:00,1
24-04-11 21:00,2
24-04-11 20:00,1
24-04-11 19:00,1
24-04-11 18:00,1
24-04-11 17:00,1
24-04-11 16:00,1
24-04-11 15:00,1
24-04-11 14:00,1
24-04-11 13:00,1
24-04-11 12:00,1
24-04-11 11:00,1
24-04-11 10:00,1
24-04-11 09:00,1
24-04-11 08:00,2
24-04-11 07:00,1
24-04-11 06:00,1
24-04-11 05:00,3
24-04-11 04:00,1
24-04-11 03:00,1
24-04-11 02:00,2
24-04-11 01:00,1
24-04-11 00:00,2
23-04-11 23:00,1
23-04-11 22:00,1
23-04-11 21:00,1
23-04-11 20:00,1
23-04-11 19:00,1
23-04-11 18:00,1
23-04-11 17:00,2
23-04-11 16:00,1
23-04-11 15:00,5
23-04-11 14:00,1
23-04-11 13:00,1
23-04-11 12:00,1
23-04-11 11:00,2
23-04-11 10:00,2
23-04-11 09:00,4
23-04-11 08:00,16
23-04-11 07:00,41
23-04-11 06:00,30
23-04-11 05:00,15
23-04-11 04:00,3
23-04-11 03:00,1
23-04-11 02:00,1
23-04-11 01:00,1
23-04-11 00:00,1
