Datum Zeit,Dresden-Bergstraße NO2
,µg/m³
01-05-11 00:00,33
30-04-11 23:00,48
30-04-11 22:00,51
30-04-11 21:00,44
30-04-11 20:00,68
30-04-11 19:00,45
30-04-11 18:00,49
30-04-11 17:00,44
30-04-11 16:00,40
30-04-11 15:00,41
30-04-11 14:00,37
30-04-11 13:00,40
30-04-11 12:00,33
30-04-11 11:00,58
30-04-11 10:00,54
30-04-11 09:00,53
30-04-11 08:00,55
30-04-11 07:00,51
30-04-11 06:00,54
30-04-11 05:00,38
30-04-11 04:00,39
30-04-11 03:00,40
30-04-11 02:00,47
30-04-11 01:00,52
30-04-11 00:00,69
29-04-11 23:00,62
29-04-11 22:00,57
29-04-11 21:00,97
29-04-11 20:00,118
29-04-11 19:00,116
29-04-11 18:00,71
29-04-11 17:00,131
29-04-11 16:00,123
29-04-11 15:00,74
29-04-11 14:00,115
29-04-11 13:00,60
29-04-11 12:00,63
29-04-11 11:00,81
29-04-11 10:00,89
29-04-11 09:00,120
29-04-11 08:00,95
29-04-11 07:00,98
29-04-11 06:00,69
29-04-11 05:00,47
29-04-11 04:00,38
29-04-11 03:00,38
29-04-11 02:00,44
29-04-11 01:00,47
29-04-11 00:00,53
28-04-11 23:00,77
28-04-11 22:00,89
28-04-11 21:00,84
28-04-11 20:00,106
28-04-11 19:00,109
28-04-11 18:00,124
28-04-11 17:00,146
28-04-11 16:00,77
28-04-11 15:00,86
28-04-11 14:00,65
28-04-11 13:00,64
28-04-11 12:00,64
28-04-11 11:00,70
28-04-11 10:00,86
28-04-11 09:00,77
28-04-11 08:00,82
28-04-11 07:00,81
28-04-11 06:00,70
28-04-11 05:00,38
28-04-11 04:00,34
28-04-11 03:00,33
28-04-11 02:00,30
28-04-11 01:00,39
28-04-11 00:00,42
27-04-11 23:00,65
27-04-11 22:00,62
27-04-11 21:00,96
27-04-11 20:00,83
27-04-11 19:00,83
27-04-11 18:00,128
27-04-11 17:00,130
27-04-11 16:00,97
27-04-11 15:00,114
27-04-11 14:00,101
27-04-11 13:00,93
27-04-11 12:00,94
27-04-11 11:00,82
27-04-11 10:00,83
27-04-11 09:00,96
27-04-11 08:00,64
27-04-11 07:00,71
27-04-11 06:00,59
27-04-11 05:00,46
27-04-11 04:00,31
27-04-11 03:00,27
27-04-11 02:00,31
27-04-11 01:00,32
27-04-11 00:00,48
26-04-11 23:00,47
26-04-11 22:00,66
26-04-11 21:00,95
26-04-11 20:00,112
26-04-11 19:00,56
