Datum Zeit,Freiberg NO
,µg/m³
01-05-11 00:00,1
30-04-11 23:00,1
30-04-11 22:00,1
30-04-11 21:00,3
30-04-11 20:00,4
30-04-11 19:00,3
30-04-11 18:00,5
30-04-11 17:00,4
30-04-11 16:00,6
30-04-11 15:00,6
30-04-11 14:00,7
30-04-11 13:00,9
30-04-11 12:00,9
30-04-11 11:00,13
30-04-11 10:00,14
30-04-11 09:00,12
30-04-11 08:00,7
30-04-11 07:00,9
30-04-11 06:00,23
30-04-11 05:00,16
30-04-11 04:00,5
30-04-11 03:00,2
30-04-11 02:00,9
30-04-11 01:00,6
30-04-11 00:00,5
29-04-11 23:00,3
29-04-11 22:00,9
29-04-11 21:00,7
29-04-11 20:00,14
29-04-11 19:00,13
29-04-11 18:00,13
29-04-11 17:00,14
29-04-11 16:00,19
29-04-11 15:00,34
29-04-11 14:00,39
29-04-11 13:00,17
29-04-11 12:00,19
29-04-11 11:00,27
29-04-11 10:00,37
29-04-11 09:00,39
29-04-11 08:00,44
29-04-11 07:00,95
29-04-11 06:00,98
29-04-11 05:00,44
29-04-11 04:00,3
29-04-11 03:00,1
29-04-11 02:00,1
29-04-11 01:00,2
29-04-11 00:00,6
28-04-11 23:00,4
28-04-11 22:00,8
28-04-11 21:00,6
28-04-11 20:00,7
28-04-11 19:00,16
28-04-11 18:00,22
28-04-11 17:00,14
28-04-11 16:00,19
28-04-11 15:00,27
28-04-11 14:00,21
28-04-11 13:00,27
28-04-11 12:00,31
28-04-11 11:00,23
28-04-11 10:00,26
28-04-11 09:00,58
28-04-11 08:00,60
28-04-11 07:00,81
28-04-11 06:00,68
28-04-11 05:00,46
28-04-11 04:00,7
28-04-11 03:00,1
28-04-11 02:00,1
28-04-11 01:00,2
28-04-11 00:00,1
27-04-11 23:00,8
27-04-11 22:00,14
27-04-11 21:00,25
27-04-11 20:00,11
27-04-11 19:00,7
27-04-11 18:00,21
27-04-11 17:00,20
27-04-11 16:00,29
27-04-11 15:00,19
27-04-11 14:00,21
27-04-11 13:00,29
27-04-11 12:00,34
27-04-11 11:00,37
27-04-11 10:00,43
27-04-11 09:00,32
27-04-11 08:00,55
27-04-11 07:00,71
27-04-11 06:00,83
27-04-11 05:00,40
27-04-11 04:00,12
27-04-11 03:00,5
27-04-11 02:00,3
27-04-11 01:00,2
27-04-11 00:00,7
26-04-11 23:00,15
26-04-11 22:00,11
26-04-11 21:00,17
26-04-11 20:00,4
26-04-11 19:00,8
26-04-11 18:00,16
26-04-11 17:00,23
26-04-11 16:00,26
26-04-11 15:00,25
26-04-11 14:00,
26-04-11 13:00,
26-04-11 12:00,
26-04-11 11:00,
26-04-11 10:00,
26-04-11 09:00,10
26-04-11 08:00,7
26-04-11 07:00,30
26-04-11 06:00,35
26-04-11 05:00,15
26-04-11 04:00,4
26-04-11 03:00,1
26-04-11 02:00,1
26-04-11 01:00,2
26-04-11 00:00,2
25-04-11 23:00,3
25-04-11 22:00,5
25-04-11 21:00,7
25-04-11 20:00,4
25-04-11 19:00,5
25-04-11 18:00,6
25-04-11 17:00,5
25-04-11 16:00,7
25-04-11 15:00,3
25-04-11 14:00,4
25-04-11 13:00,2
25-04-11 12:00,3
25-04-11 11:00,3
25-04-11 10:00,2
25-04-11 09:00,2
25-04-11 08:00,2
25-04-11 07:00,3
25-04-11 06:00,4
25-04-11 05:00,2
25-04-11 04:00,1
25-04-11 03:00,1
25-04-11 02:00,1
25-04-11 01:00,1
25-04-11 00:00,3
24-04-11 23:00,4
24-04-11 22:00,7
24-04-11 21:00,6
24-04-11 20:00,2
24-04-11 19:00,3
24-04-11 18:00,5
24-04-11 17:00,5
24-04-11 16:00,3
24-04-11 15:00,5
24-04-11 14:00,5
24-04-11 13:00,5
24-04-11 12:00,2
24-04-11 11:00,6
24-04-11 10:00,3
24-04-11 09:00,3
24-04-11 08:00,6
24-04-11 07:00,2
24-04-11 06:00,4
24-04-11 05:00,7
24-04-11 04:00,6
24-04-11 03:00,2
24-04-11 02:00,1
24-04-11 01:00,1
24-04-11 00:00,3
23-04-11 23:00,1
23-04-11 22:00,2
23-04-11 21:00,2
23-04-11 20:00,3
23-04-11 19:00,3
23-04-11 18:00,3
23-04-11 17:00,5
23-04-11 16:00,8
23-04-11 15:00,5
23-04-11 14:00,8
23-04-11 13:00,5
23-04-11 12:00,7
23-04-11 11:00,12
23-04-11 10:00,13
23-04-11 09:00,11
23-04-11 08:00,18
23-04-11 07:00,24
23-04-11 06:00,21
23-04-11 05:00,11
23-04-11 04:00,2
23-04-11 03:00,1
23-04-11 02:00,1
23-04-11 01:00,2
23-04-11 00:00,1
22-04-11 23:00,2
