Datum Zeit,Leipzig-West NO2
,µg/m³
01-07-11 00:00,20
30-06-11 23:00,25
30-06-11 22:00,17
30-06-11 21:00,13
30-06-11 20:00,9
30-06-11 19:00,9
30-06-11 18:00,10
30-06-11 17:00,13
30-06-11 16:00,15
30-06-11 15:00,15
30-06-11 14:00,
30-06-11 13:00,17
30-06-11 12:00,17
30-06-11 11:00,17
30-06-11 10:00,16
30-06-11 09:00,18
30-06-11 08:00,15
30-06-11 07:00,15
30-06-11 06:00,12
30-06-11 05:00,9
30-06-11 04:00,7
30-06-11 03:00,7
30-06-11 02:00,9
30-06-11 01:00,10
30-06-11 00:00,9
29-06-11 23:00,11
29-06-11 22:00,16
29-06-11 21:00,20
29-06-11 20:00,12
29-06-11 19:00,10
29-06-11 18:00,8
29-06-11 17:00,9
29-06-11 16:00,12
29-06-11 15:00,9
29-06-11 14:00,9
29-06-11 13:00,9
29-06-11 12:00,10
29-06-11 11:00,22
29-06-11 10:00,18
29-06-11 09:00,29
29-06-11 08:00,34
29-06-11 07:00,37
29-06-11 06:00,32
29-06-11 05:00,27
29-06-11 04:00,14
29-06-11 03:00,11
29-06-11 02:00,11
29-06-11 01:00,18
29-06-11 00:00,15
28-06-11 23:00,15
28-06-11 22:00,14
28-06-11 21:00,11
28-06-11 20:00,10
28-06-11 19:00,8
28-06-11 18:00,8
28-06-11 17:00,8
28-06-11 16:00,7
28-06-11 15:00,9
28-06-11 14:00,9
28-06-11 13:00,9
28-06-11 12:00,9
28-06-11 11:00,12
28-06-11 10:00,15
28-06-11 09:00,17
28-06-11 08:00,26
28-06-11 07:00,33
28-06-11 06:00,29
28-06-11 05:00,20
28-06-11 04:00,13
28-06-11 03:00,13
28-06-11 02:00,11
28-06-11 01:00,11
28-06-11 00:00,13
27-06-11 23:00,16
27-06-11 22:00,18
27-06-11 21:00,12
27-06-11 20:00,8
27-06-11 19:00,7
27-06-11 18:00,7
27-06-11 17:00,8
27-06-11 16:00,9
27-06-11 15:00,8
27-06-11 14:00,7
27-06-11 13:00,10
27-06-11 12:00,8
27-06-11 11:00,10
27-06-11 10:00,14
27-06-11 09:00,25
27-06-11 08:00,42
27-06-11 07:00,39
27-06-11 06:00,33
27-06-11 05:00,35
27-06-11 04:00,33
27-06-11 03:00,38
27-06-11 02:00,34
27-06-11 01:00,29
27-06-11 00:00,26
26-06-11 23:00,28
26-06-11 22:00,27
26-06-11 21:00,9
26-06-11 20:00,8
26-06-11 19:00,6
26-06-11 18:00,7
26-06-11 17:00,7
26-06-11 16:00,9
26-06-11 15:00,7
26-06-11 14:00,7
26-06-11 13:00,7
26-06-11 12:00,6
26-06-11 11:00,8
26-06-11 10:00,10
26-06-11 09:00,10
26-06-11 08:00,13
26-06-11 07:00,12
26-06-11 06:00,12
26-06-11 05:00,9
26-06-11 04:00,8
26-06-11 03:00,9
26-06-11 02:00,9
26-06-11 01:00,9
26-06-11 00:00,9
25-06-11 23:00,9
25-06-11 22:00,9
25-06-11 21:00,9
25-06-11 20:00,10
25-06-11 19:00,11
25-06-11 18:00,9
25-06-11 17:00,10
25-06-11 16:00,12
25-06-11 15:00,10
25-06-11 14:00,9
25-06-11 13:00,8
25-06-11 12:00,8
25-06-11 11:00,10
25-06-11 10:00,9
25-06-11 09:00,8
25-06-11 08:00,10
25-06-11 07:00,12
25-06-11 06:00,16
25-06-11 05:00,12
25-06-11 04:00,8
25-06-11 03:00,10
25-06-11 02:00,10
25-06-11 01:00,9
25-06-11 00:00,9
24-06-11 23:00,14
24-06-11 22:00,14
24-06-11 21:00,14
24-06-11 20:00,17
24-06-11 19:00,13
24-06-11 18:00,12
24-06-11 17:00,10
24-06-11 16:00,10
24-06-11 15:00,9
24-06-11 14:00,11
24-06-11 13:00,10
24-06-11 12:00,9
24-06-11 11:00,15
24-06-11 10:00,14
24-06-11 09:00,16
24-06-11 08:00,17
