Datum Zeit,Leipzig-West PM2.5
,µg/m³
31-08-11,7.22
30-08-11,3.89
29-08-11,4.76
28-08-11,3.52
27-08-11,2.96
26-08-11,19.32
25-08-11,9.55
24-08-11,9.46
23-08-11,12.90
22-08-11,12.97
21-08-11,12.62
20-08-11,11.58
19-08-11,7.25
18-08-11,11.99
17-08-11,8.57
16-08-11,9.50
15-08-11,7.14
14-08-11,5.73
13-08-11,8.21
12-08-11,5.96
11-08-11,5.76
10-08-11,3.60
09-08-11,3.10
08-08-11,3.43
07-08-11,5.32
06-08-11,8.21
05-08-11,8.21
04-08-11,9.30
03-08-11,12.63
02-08-11,7.69
01-08-11,8.34

