Datum Zeit,Bautzen NO
,µg/m³
01-10-11 00:00,11
30-09-11 23:00,6
30-09-11 22:00,18
30-09-11 21:00,23
30-09-11 20:00,30
30-09-11 19:00,80
30-09-11 18:00,71
30-09-11 17:00,25
30-09-11 16:00,16
30-09-11 15:00,13
30-09-11 14:00,9
30-09-11 13:00,7
30-09-11 12:00,10
30-09-11 11:00,14
30-09-11 10:00,16
30-09-11 09:00,27
30-09-11 08:00,55
30-09-11 07:00,103
30-09-11 06:00,77
30-09-11 05:00,36
30-09-11 04:00,11
30-09-11 03:00,4
30-09-11 02:00,3
30-09-11 01:00,1
30-09-11 00:00,4
29-09-11 23:00,3
29-09-11 22:00,7
29-09-11 21:00,15
29-09-11 20:00,34
29-09-11 19:00,79
29-09-11 18:00,67
29-09-11 17:00,18
29-09-11 16:00,12
29-09-11 15:00,10
29-09-11 14:00,17
29-09-11 13:00,16
29-09-11 12:00,16
29-09-11 11:00,14
29-09-11 10:00,25
29-09-11 09:00,27
29-09-11 08:00,59
29-09-11 07:00,85
29-09-11 06:00,53
29-09-11 05:00,34
29-09-11 04:00,12
29-09-11 03:00,5
29-09-11 02:00,2
29-09-11 01:00,1
29-09-11 00:00,3
28-09-11 23:00,6
28-09-11 22:00,8
28-09-11 21:00,21
28-09-11 20:00,32
28-09-11 19:00,25
28-09-11 18:00,31
28-09-11 17:00,15
28-09-11 16:00,9
28-09-11 15:00,10
28-09-11 14:00,6
28-09-11 13:00,8
28-09-11 12:00,4
28-09-11 11:00,7
28-09-11 10:00,14
28-09-11 09:00,13
28-09-11 08:00,29
28-09-11 07:00,32
28-09-11 06:00,34
28-09-11 05:00,11
28-09-11 04:00,3
28-09-11 03:00,2
28-09-11 02:00,1
28-09-11 01:00,1
28-09-11 00:00,1
27-09-11 23:00,1
27-09-11 22:00,5
27-09-11 21:00,5
27-09-11 20:00,2
27-09-11 19:00,2
27-09-11 18:00,4
27-09-11 17:00,5
27-09-11 16:00,4
27-09-11 15:00,7
27-09-11 14:00,11
27-09-11 13:00,4
27-09-11 12:00,7
27-09-11 11:00,6
27-09-11 10:00,7
27-09-11 09:00,18
27-09-11 08:00,37
27-09-11 07:00,127
27-09-11 06:00,54
27-09-11 05:00,27
27-09-11 04:00,6
27-09-11 03:00,3
27-09-11 02:00,1
27-09-11 01:00,1
27-09-11 00:00,1
26-09-11 23:00,3
26-09-11 22:00,2
26-09-11 21:00,5
26-09-11 20:00,13
26-09-11 19:00,32
26-09-11 18:00,16
26-09-11 17:00,1
26-09-11 16:00,1
26-09-11 15:00,4
26-09-11 14:00,4
26-09-11 13:00,4
26-09-11 12:00,2
26-09-11 11:00,5
26-09-11 10:00,4
26-09-11 09:00,6
26-09-11 08:00,32
26-09-11 07:00,90
26-09-11 06:00,65
26-09-11 05:00,52
26-09-11 04:00,14
26-09-11 03:00,2
26-09-11 02:00,1
26-09-11 01:00,1
26-09-11 00:00,1
25-09-11 23:00,1
