Datum Zeit,Zittau-Ost SO2
,µg/m³
01-11-11 00:00,1.1
31-10-11 23:00,1.3
31-10-11 22:00,2.4
31-10-11 21:00,1.7
31-10-11 20:00,2.0
31-10-11 19:00,4.0
31-10-11 18:00,3.9
31-10-11 17:00,5.2
31-10-11 16:00,5.6
31-10-11 15:00,8.1
31-10-11 14:00,9.4
31-10-11 13:00,9.6
31-10-11 12:00,11.0
31-10-11 11:00,11.4
31-10-11 10:00,8.2
31-10-11 09:00,7.1
31-10-11 08:00,4.8
31-10-11 07:00,4.4
31-10-11 06:00,5.3
31-10-11 05:00,6.6
31-10-11 04:00,6.1
31-10-11 03:00,6.6
31-10-11 02:00,6.8
31-10-11 01:00,7.2
31-10-11 00:00,7.1
30-10-11 23:00,7.4
30-10-11 22:00,5.5
30-10-11 21:00,4.0
30-10-11 20:00,4.8
30-10-11 19:00,3.4
30-10-11 18:00,2.6
30-10-11 17:00,1.9
30-10-11 16:00,1.9
30-10-11 15:00,1.4
30-10-11 14:00,1.4
30-10-11 13:00,1.1
30-10-11 12:00,1.1
30-10-11 11:00,1.2
30-10-11 10:00,1.2
30-10-11 09:00,1.8
30-10-11 08:00,1.3
30-10-11 07:00,1.1
30-10-11 06:00,2.2
30-10-11 05:00,5.1
30-10-11 04:00,7.8
30-10-11 03:00,12.0
30-10-11 02:00,10.7
30-10-11 01:00,5.7
30-10-11 00:00,2.4
29-10-11 23:00,1.6
29-10-11 22:00,1.0
29-10-11 21:00,1.0
29-10-11 20:00,1.2
29-10-11 19:00,1.0
29-10-11 18:00,1.0
29-10-11 17:00,1.9
29-10-11 16:00,2.3
29-10-11 15:00,2.3
29-10-11 14:00,2.1
29-10-11 13:00,2.6
29-10-11 12:00,2.3
29-10-11 11:00,1.1
29-10-11 10:00,1.0
29-10-11 09:00,1.0
29-10-11 08:00,1.0
29-10-11 07:00,1.0
29-10-11 06:00,1.0
29-10-11 05:00,1.0
29-10-11 04:00,1.0
29-10-11 03:00,1.0
29-10-11 02:00,1.0
29-10-11 01:00,1.0
29-10-11 00:00,1.6
28-10-11 23:00,2.7
28-10-11 22:00,2.8
28-10-11 21:00,3.2
28-10-11 20:00,4.1
28-10-11 19:00,5.1
28-10-11 18:00,4.2
28-10-11 17:00,1.3
28-10-11 16:00,1.2
