Datum Zeit,Glauchau NO
,µg/m³
01-12-11 00:00,41
30-11-11 23:00,74
30-11-11 22:00,22
30-11-11 21:00,35
30-11-11 20:00,54
30-11-11 19:00,51
30-11-11 18:00,63
30-11-11 17:00,177
30-11-11 16:00,143
30-11-11 15:00,64
30-11-11 14:00,38
30-11-11 13:00,32
30-11-11 12:00,39
30-11-11 11:00,27
30-11-11 10:00,24
30-11-11 09:00,17
30-11-11 08:00,32
30-11-11 07:00,14
30-11-11 06:00,7
30-11-11 05:00,3
30-11-11 04:00,1
30-11-11 03:00,2
30-11-11 02:00,1
30-11-11 01:00,1
30-11-11 00:00,1
29-11-11 23:00,12
29-11-11 22:00,41
29-11-11 21:00,58
29-11-11 20:00,40
29-11-11 19:00,84
29-11-11 18:00,97
29-11-11 17:00,29
29-11-11 16:00,25
29-11-11 15:00,18
29-11-11 14:00,42
29-11-11 13:00,83
29-11-11 12:00,131
29-11-11 11:00,169
29-11-11 10:00,202
29-11-11 09:00,230
29-11-11 08:00,127
29-11-11 07:00,70
29-11-11 06:00,37
29-11-11 05:00,41
29-11-11 04:00,71
29-11-11 03:00,84
29-11-11 02:00,86
29-11-11 01:00,80
29-11-11 00:00,66
28-11-11 23:00,80
28-11-11 22:00,72
28-11-11 21:00,95
28-11-11 20:00,126
28-11-11 19:00,185
28-11-11 18:00,243
28-11-11 17:00,230
28-11-11 16:00,157
28-11-11 15:00,30
28-11-11 14:00,13
28-11-11 13:00,12
28-11-11 12:00,14
28-11-11 11:00,20
28-11-11 10:00,35
28-11-11 09:00,84
28-11-11 08:00,107
28-11-11 07:00,39
28-11-11 06:00,14
28-11-11 05:00,7
28-11-11 04:00,1
28-11-11 03:00,3
28-11-11 02:00,1
28-11-11 01:00,2
28-11-11 00:00,1
27-11-11 23:00,1
27-11-11 22:00,1
27-11-11 21:00,2
27-11-11 20:00,4
27-11-11 19:00,1
27-11-11 18:00,2
27-11-11 17:00,2
27-11-11 16:00,2
27-11-11 15:00,2
27-11-11 14:00,3
27-11-11 13:00,4
27-11-11 12:00,3
27-11-11 11:00,2
27-11-11 10:00,2
27-11-11 09:00,1
27-11-11 08:00,1
27-11-11 07:00,1
27-11-11 06:00,1
27-11-11 05:00,1
27-11-11 04:00,1
27-11-11 03:00,1
27-11-11 02:00,1
27-11-11 01:00,1
27-11-11 00:00,1
26-11-11 23:00,1
26-11-11 22:00,2
26-11-11 21:00,2
26-11-11 20:00,2
26-11-11 19:00,4
26-11-11 18:00,4
26-11-11 17:00,5
26-11-11 16:00,6
26-11-11 15:00,5
26-11-11 14:00,6
26-11-11 13:00,7
26-11-11 12:00,9
26-11-11 11:00,14
26-11-11 10:00,11
26-11-11 09:00,12
26-11-11 08:00,4
26-11-11 07:00,4
26-11-11 06:00,2
26-11-11 05:00,3
26-11-11 04:00,2
26-11-11 03:00,2
26-11-11 02:00,5
26-11-11 01:00,6
26-11-11 00:00,7
25-11-11 23:00,5
25-11-11 22:00,4
25-11-11 21:00,4
25-11-11 20:00,6
25-11-11 19:00,13
25-11-11 18:00,13
25-11-11 17:00,17
25-11-11 16:00,26
25-11-11 15:00,22
25-11-11 14:00,14
25-11-11 13:00,14
25-11-11 12:00,26
25-11-11 11:00,126
25-11-11 10:00,169
25-11-11 09:00,180
25-11-11 08:00,144
25-11-11 07:00,120
25-11-11 06:00,86
25-11-11 05:00,48
25-11-11 04:00,38
25-11-11 03:00,29
25-11-11 02:00,29
25-11-11 01:00,39
25-11-11 00:00,61
24-11-11 23:00,103
24-11-11 22:00,118
24-11-11 21:00,100
24-11-11 20:00,83
24-11-11 19:00,93
24-11-11 18:00,209
24-11-11 17:00,183
24-11-11 16:00,65
24-11-11 15:00,36
24-11-11 14:00,32
24-11-11 13:00,32
24-11-11 12:00,43
24-11-11 11:00,37
24-11-11 10:00,48
24-11-11 09:00,65
24-11-11 08:00,148
24-11-11 07:00,140
24-11-11 06:00,71
24-11-11 05:00,17
24-11-11 04:00,4
24-11-11 03:00,28
24-11-11 02:00,23
24-11-11 01:00,25
24-11-11 00:00,48
23-11-11 23:00,104
23-11-11 22:00,102
23-11-11 21:00,122
23-11-11 20:00,181
23-11-11 19:00,232
23-11-11 18:00,293
23-11-11 17:00,258
23-11-11 16:00,289
23-11-11 15:00,84
23-11-11 14:00,64
23-11-11 13:00,46
23-11-11 12:00,53
23-11-11 11:00,62
23-11-11 10:00,81
23-11-11 09:00,69
23-11-11 08:00,77
23-11-11 07:00,69
23-11-11 06:00,44
23-11-11 05:00,27
23-11-11 04:00,44
23-11-11 03:00,20
23-11-11 02:00,7
23-11-11 01:00,17
23-11-11 00:00,75
22-11-11 23:00,94
22-11-11 22:00,114
22-11-11 21:00,158
22-11-11 20:00,192
22-11-11 19:00,249
22-11-11 18:00,304
22-11-11 17:00,254
22-11-11 16:00,347
22-11-11 15:00,101
22-11-11 14:00,40
22-11-11 13:00,36
22-11-11 12:00,52
22-11-11 11:00,68
22-11-11 10:00,142
22-11-11 09:00,173
22-11-11 08:00,100
22-11-11 07:00,108
22-11-11 06:00,60
22-11-11 05:00,24
22-11-11 04:00,17
22-11-11 03:00,24
22-11-11 02:00,35
22-11-11 01:00,38
22-11-11 00:00,46
21-11-11 23:00,78
21-11-11 22:00,113
21-11-11 21:00,93
21-11-11 20:00,169
21-11-11 19:00,229
21-11-11 18:00,223
21-11-11 17:00,189
21-11-11 16:00,66
21-11-11 15:00,27
21-11-11 14:00,23
21-11-11 13:00,23
21-11-11 12:00,20
21-11-11 11:00,37
21-11-11 10:00,72
21-11-11 09:00,95
21-11-11 08:00,166
21-11-11 07:00,142
21-11-11 06:00,98
21-11-11 05:00,68
21-11-11 04:00,67
21-11-11 03:00,43
21-11-11 02:00,33
21-11-11 01:00,41
21-11-11 00:00,44
20-11-11 23:00,38
20-11-11 22:00,16
20-11-11 21:00,28
20-11-11 20:00,53
20-11-11 19:00,68
20-11-11 18:00,54
20-11-11 17:00,25
20-11-11 16:00,10
20-11-11 15:00,9
20-11-11 14:00,7
20-11-11 13:00,9
20-11-11 12:00,12
20-11-11 11:00,25
20-11-11 10:00,27
20-11-11 09:00,18
20-11-11 08:00,15
20-11-11 07:00,12
20-11-11 06:00,20
20-11-11 05:00,10
20-11-11 04:00,18
20-11-11 03:00,12
20-11-11 02:00,11
20-11-11 01:00,14
20-11-11 00:00,13
19-11-11 23:00,3
19-11-11 22:00,9
19-11-11 21:00,45
19-11-11 20:00,143
19-11-11 19:00,145
19-11-11 18:00,166
19-11-11 17:00,115
19-11-11 16:00,23
19-11-11 15:00,33
19-11-11 14:00,26
19-11-11 13:00,20
19-11-11 12:00,29
19-11-11 11:00,54
19-11-11 10:00,71
19-11-11 09:00,71
19-11-11 08:00,87
19-11-11 07:00,64
19-11-11 06:00,62
19-11-11 05:00,73
19-11-11 04:00,78
19-11-11 03:00,78
19-11-11 02:00,122
19-11-11 01:00,148
19-11-11 00:00,145
18-11-11 23:00,166
18-11-11 22:00,120
18-11-11 21:00,143
18-11-11 20:00,193
18-11-11 19:00,214
18-11-11 18:00,177
18-11-11 17:00,91
18-11-11 16:00,31
18-11-11 15:00,22
18-11-11 14:00,24
18-11-11 13:00,25
18-11-11 12:00,31
18-11-11 11:00,31
18-11-11 10:00,45
18-11-11 09:00,42
18-11-11 08:00,112
18-11-11 07:00,136
18-11-11 06:00,91
18-11-11 05:00,52
18-11-11 04:00,28
18-11-11 03:00,16
18-11-11 02:00,26
18-11-11 01:00,35
18-11-11 00:00,4
17-11-11 23:00,29
17-11-11 22:00,45
17-11-11 21:00,80
17-11-11 20:00,79
17-11-11 19:00,100
17-11-11 18:00,78
17-11-11 17:00,63
17-11-11 16:00,41
17-11-11 15:00,22
17-11-11 14:00,22
17-11-11 13:00,30
17-11-11 12:00,25
17-11-11 11:00,22
17-11-11 10:00,22
17-11-11 09:00,24
17-11-11 08:00,106
17-11-11 07:00,83
17-11-11 06:00,54
17-11-11 05:00,28
17-11-11 04:00,45
17-11-11 03:00,21
17-11-11 02:00,15
17-11-11 01:00,14
17-11-11 00:00,12
16-11-11 23:00,7
16-11-11 22:00,6
16-11-11 21:00,6
16-11-11 20:00,8
16-11-11 19:00,4
16-11-11 18:00,8
16-11-11 17:00,5
16-11-11 16:00,6
16-11-11 15:00,13
16-11-11 14:00,7
16-11-11 13:00,11
16-11-11 12:00,13
16-11-11 11:00,10
16-11-11 10:00,4
16-11-11 09:00,2
16-11-11 08:00,1
16-11-11 07:00,2
16-11-11 06:00,2
16-11-11 05:00,1
16-11-11 04:00,1
16-11-11 03:00,1
16-11-11 02:00,4
16-11-11 01:00,10
16-11-11 00:00,21
15-11-11 23:00,26
15-11-11 22:00,21
15-11-11 21:00,12
15-11-11 20:00,7
15-11-11 19:00,13
15-11-11 18:00,12
15-11-11 17:00,17
15-11-11 16:00,14
15-11-11 15:00,13
15-11-11 14:00,25
15-11-11 13:00,26
15-11-11 12:00,44
15-11-11 11:00,54
15-11-11 10:00,68
15-11-11 09:00,67
15-11-11 08:00,79
15-11-11 07:00,92
15-11-11 06:00,123
15-11-11 05:00,179
15-11-11 04:00,149
15-11-11 03:00,143
15-11-11 02:00,160
15-11-11 01:00,170
15-11-11 00:00,157
14-11-11 23:00,155
14-11-11 22:00,158
14-11-11 21:00,214
14-11-11 20:00,240
14-11-11 19:00,291
14-11-11 18:00,316
14-11-11 17:00,324
14-11-11 16:00,194
14-11-11 15:00,70
14-11-11 14:00,60
14-11-11 13:00,76
14-11-11 12:00,87
14-11-11 11:00,90
14-11-11 10:00,121
14-11-11 09:00,147
14-11-11 08:00,84
14-11-11 07:00,86
14-11-11 06:00,65
14-11-11 05:00,66
14-11-11 04:00,67
14-11-11 03:00,54
14-11-11 02:00,56
14-11-11 01:00,61
14-11-11 00:00,55
13-11-11 23:00,75
13-11-11 22:00,88
13-11-11 21:00,103
13-11-11 20:00,131
13-11-11 19:00,110
13-11-11 18:00,96
13-11-11 17:00,82
13-11-11 16:00,36
13-11-11 15:00,10
13-11-11 14:00,5
13-11-11 13:00,7
13-11-11 12:00,11
13-11-11 11:00,22
13-11-11 10:00,23
13-11-11 09:00,38
13-11-11 08:00,33
13-11-11 07:00,35
13-11-11 06:00,34
13-11-11 05:00,38
13-11-11 04:00,36
13-11-11 03:00,48
13-11-11 02:00,59
13-11-11 01:00,66
13-11-11 00:00,65
12-11-11 23:00,62
12-11-11 22:00,60
12-11-11 21:00,99
12-11-11 20:00,111
12-11-11 19:00,109
12-11-11 18:00,123
12-11-11 17:00,60
12-11-11 16:00,6
12-11-11 15:00,12
12-11-11 14:00,13
12-11-11 13:00,13
12-11-11 12:00,19
12-11-11 11:00,25
12-11-11 10:00,66
12-11-11 09:00,68
12-11-11 08:00,38
12-11-11 07:00,31
12-11-11 06:00,22
12-11-11 05:00,12
12-11-11 04:00,22
12-11-11 03:00,3
12-11-11 02:00,2
12-11-11 01:00,3
12-11-11 00:00,25
11-11-11 23:00,5
11-11-11 22:00,11
11-11-11 21:00,28
11-11-11 20:00,30
11-11-11 19:00,21
11-11-11 18:00,3
11-11-11 17:00,4
11-11-11 16:00,7
11-11-11 15:00,10
11-11-11 14:00,8
11-11-11 13:00,8
11-11-11 12:00,9
11-11-11 11:00,70
11-11-11 10:00,49
11-11-11 09:00,61
11-11-11 08:00,72
11-11-11 07:00,44
11-11-11 06:00,25
11-11-11 05:00,8
11-11-11 04:00,14
11-11-11 03:00,4
11-11-11 02:00,2
11-11-11 01:00,7
11-11-11 00:00,3
10-11-11 23:00,4
10-11-11 22:00,3
10-11-11 21:00,3
10-11-11 20:00,5
10-11-11 19:00,12
10-11-11 18:00,14
10-11-11 17:00,13
10-11-11 16:00,14
10-11-11 15:00,16
10-11-11 14:00,31
10-11-11 13:00,26
10-11-11 12:00,19
10-11-11 11:00,41
10-11-11 10:00,43
10-11-11 09:00,59
10-11-11 08:00,76
10-11-11 07:00,65
10-11-11 06:00,42
10-11-11 05:00,37
10-11-11 04:00,38
10-11-11 03:00,39
10-11-11 02:00,41
10-11-11 01:00,32
10-11-11 00:00,39
09-11-11 23:00,49
09-11-11 22:00,64
09-11-11 21:00,93
09-11-11 20:00,141
09-11-11 19:00,250
09-11-11 18:00,199
09-11-11 17:00,98
09-11-11 16:00,29
09-11-11 15:00,22
09-11-11 14:00,27
09-11-11 13:00,31
09-11-11 12:00,35
09-11-11 11:00,62
09-11-11 10:00,169
09-11-11 09:00,193
09-11-11 08:00,171
09-11-11 07:00,134
09-11-11 06:00,114
09-11-11 05:00,91
09-11-11 04:00,62
09-11-11 03:00,68
09-11-11 02:00,57
09-11-11 01:00,81
09-11-11 00:00,92
08-11-11 23:00,78
08-11-11 22:00,91
08-11-11 21:00,70
08-11-11 20:00,114
08-11-11 19:00,88
08-11-11 18:00,25
08-11-11 17:00,27
08-11-11 16:00,38
08-11-11 15:00,40
08-11-11 14:00,26
08-11-11 13:00,33
08-11-11 12:00,64
08-11-11 11:00,149
08-11-11 10:00,193
08-11-11 09:00,229
08-11-11 08:00,179
08-11-11 07:00,148
08-11-11 06:00,94
08-11-11 05:00,59
08-11-11 04:00,44
08-11-11 03:00,42
08-11-11 02:00,42
08-11-11 01:00,57
08-11-11 00:00,67
07-11-11 23:00,87
07-11-11 22:00,78
07-11-11 21:00,61
07-11-11 20:00,148
07-11-11 19:00,134
07-11-11 18:00,95
07-11-11 17:00,119
07-11-11 16:00,
07-11-11 15:00,
07-11-11 14:00,
07-11-11 13:00,
07-11-11 12:00,
07-11-11 11:00,
