Datum Zeit,Chemnitz-Mitte NO2
,µg/m³
01-04-12 00:00,16
31-03-12 23:00,19
31-03-12 22:00,18
31-03-12 21:00,17
31-03-12 20:00,18
31-03-12 19:00,14
31-03-12 18:00,12
31-03-12 17:00,12
31-03-12 16:00,11
31-03-12 15:00,15
31-03-12 14:00,22
31-03-12 13:00,16
31-03-12 12:00,14
31-03-12 11:00,16
31-03-12 10:00,14
31-03-12 09:00,13
31-03-12 08:00,10
31-03-12 07:00,8
31-03-12 06:00,5
31-03-12 05:00,5
31-03-12 04:00,6
31-03-12 03:00,7
31-03-12 02:00,7
31-03-12 01:00,8
31-03-12 00:00,10
30-03-12 23:00,11
30-03-12 22:00,12
30-03-12 21:00,13
30-03-12 20:00,15
30-03-12 19:00,17
30-03-12 18:00,20
30-03-12 17:00,23
30-03-12 16:00,24
30-03-12 15:00,27
30-03-12 14:00,24
30-03-12 13:00,23
30-03-12 12:00,21
30-03-12 11:00,28
30-03-12 10:00,27
30-03-12 09:00,28
30-03-12 08:00,27
30-03-12 07:00,20
30-03-12 06:00,15
30-03-12 05:00,10
30-03-12 04:00,7
30-03-12 03:00,5
30-03-12 02:00,6
30-03-12 01:00,6
30-03-12 00:00,7
29-03-12 23:00,8
29-03-12 22:00,11
29-03-12 21:00,11
29-03-12 20:00,15
29-03-12 19:00,20
29-03-12 18:00,20
29-03-12 17:00,21
29-03-12 16:00,25
29-03-12 15:00,22
29-03-12 14:00,23
29-03-12 13:00,18
29-03-12 12:00,18
29-03-12 11:00,21
29-03-12 10:00,21
29-03-12 09:00,26
29-03-12 08:00,27
29-03-12 07:00,25
29-03-12 06:00,20
29-03-12 05:00,11
29-03-12 04:00,11
29-03-12 03:00,11
29-03-12 02:00,12
29-03-12 01:00,15
29-03-12 00:00,14
28-03-12 23:00,14
28-03-12 22:00,23
28-03-12 21:00,25
28-03-12 20:00,28
28-03-12 19:00,32
28-03-12 18:00,20
28-03-12 17:00,22
28-03-12 16:00,20
28-03-12 15:00,20
28-03-12 14:00,19
28-03-12 13:00,18
28-03-12 12:00,23
28-03-12 11:00,27
28-03-12 10:00,31
28-03-12 09:00,44
28-03-12 08:00,49
28-03-12 07:00,51
28-03-12 06:00,42
28-03-12 05:00,35
28-03-12 04:00,33
28-03-12 03:00,34
28-03-12 02:00,36
28-03-12 01:00,40
28-03-12 00:00,49
27-03-12 23:00,55
27-03-12 22:00,65
27-03-12 21:00,56
27-03-12 20:00,31
27-03-12 19:00,31
27-03-12 18:00,29
27-03-12 17:00,29
27-03-12 16:00,25
27-03-12 15:00,23
27-03-12 14:00,18
27-03-12 13:00,20
27-03-12 12:00,23
27-03-12 11:00,27
27-03-12 10:00,37
27-03-12 09:00,49
27-03-12 08:00,63
27-03-12 07:00,58
27-03-12 06:00,47
27-03-12 05:00,38
27-03-12 04:00,30
27-03-12 03:00,27
27-03-12 02:00,26
27-03-12 01:00,27
27-03-12 00:00,31
26-03-12 23:00,37
26-03-12 22:00,49
26-03-12 21:00,78
26-03-12 20:00,67
26-03-12 19:00,29
26-03-12 18:00,19
26-03-12 17:00,20
26-03-12 16:00,23
26-03-12 15:00,23
26-03-12 14:00,18
26-03-12 13:00,19
26-03-12 12:00,19
26-03-12 11:00,18
26-03-12 10:00,34
26-03-12 09:00,49
26-03-12 08:00,46
26-03-12 07:00,41
26-03-12 06:00,35
26-03-12 05:00,34
26-03-12 04:00,34
26-03-12 03:00,30
26-03-12 02:00,31
26-03-12 01:00,32
26-03-12 00:00,46
25-03-12 23:00,58
25-03-12 22:00,33
25-03-12 21:00,20
25-03-12 20:00,19
25-03-12 19:00,17
25-03-12 18:00,16
25-03-12 17:00,11
25-03-12 16:00,10
25-03-12 15:00,12
25-03-12 14:00,15
25-03-12 13:00,15
25-03-12 12:00,16
25-03-12 11:00,19
25-03-12 10:00,18
25-03-12 09:00,21
25-03-12 08:00,27
25-03-12 07:00,29
25-03-12 06:00,32
25-03-12 05:00,35
25-03-12 04:00,34
25-03-12 03:00,33
25-03-12 02:00,32
25-03-12 01:00,36
25-03-12 00:00,39
24-03-12 23:00,43
24-03-12 22:00,50
24-03-12 21:00,76
24-03-12 20:00,71
24-03-12 19:00,40
24-03-12 18:00,19
24-03-12 17:00,17
24-03-12 16:00,14
24-03-12 15:00,18
24-03-12 14:00,20
24-03-12 13:00,19
24-03-12 12:00,17
24-03-12 11:00,22
24-03-12 10:00,27
24-03-12 09:00,26
24-03-12 08:00,26
24-03-12 07:00,28
24-03-12 06:00,28
24-03-12 05:00,30
24-03-12 04:00,33
24-03-12 03:00,36
24-03-12 02:00,38
24-03-12 01:00,40
24-03-12 00:00,47
23-03-12 23:00,58
23-03-12 22:00,75
23-03-12 21:00,86
23-03-12 20:00,74
23-03-12 19:00,41
23-03-12 18:00,28
23-03-12 17:00,22
23-03-12 16:00,22
23-03-12 15:00,20
23-03-12 14:00,21
23-03-12 13:00,24
23-03-12 12:00,24
23-03-12 11:00,25
23-03-12 10:00,42
23-03-12 09:00,37
23-03-12 08:00,30
23-03-12 07:00,26
23-03-12 06:00,23
23-03-12 05:00,24
23-03-12 04:00,24
23-03-12 03:00,27
23-03-12 02:00,32
23-03-12 01:00,43
23-03-12 00:00,51
22-03-12 23:00,55
22-03-12 22:00,53
22-03-12 21:00,54
22-03-12 20:00,43
22-03-12 19:00,36
22-03-12 18:00,31
22-03-12 17:00,29
22-03-12 16:00,25
22-03-12 15:00,17
22-03-12 14:00,18
22-03-12 13:00,16
22-03-12 12:00,16
22-03-12 11:00,19
22-03-12 10:00,41
22-03-12 09:00,49
22-03-12 08:00,43
22-03-12 07:00,37
22-03-12 06:00,29
22-03-12 05:00,26
22-03-12 04:00,26
22-03-12 03:00,30
22-03-12 02:00,35
22-03-12 01:00,42
22-03-12 00:00,47
21-03-12 23:00,51
21-03-12 22:00,59
21-03-12 21:00,60
21-03-12 20:00,55
21-03-12 19:00,44
21-03-12 18:00,35
21-03-12 17:00,27
21-03-12 16:00,21
21-03-12 15:00,22
21-03-12 14:00,25
21-03-12 13:00,33
21-03-12 12:00,27
21-03-12 11:00,25
21-03-12 10:00,49
21-03-12 09:00,53
21-03-12 08:00,55
21-03-12 07:00,46
21-03-12 06:00,44
21-03-12 05:00,44
21-03-12 04:00,39
21-03-12 03:00,36
21-03-12 02:00,40
21-03-12 01:00,36
21-03-12 00:00,44
20-03-12 23:00,50
20-03-12 22:00,61
20-03-12 21:00,88
20-03-12 20:00,87
20-03-12 19:00,51
20-03-12 18:00,36
20-03-12 17:00,27
20-03-12 16:00,23
20-03-12 15:00,21
20-03-12 14:00,24
20-03-12 13:00,21
20-03-12 12:00,22
20-03-12 11:00,20
20-03-12 10:00,29
20-03-12 09:00,58
20-03-12 08:00,56
20-03-12 07:00,48
20-03-12 06:00,40
20-03-12 05:00,36
20-03-12 04:00,34
20-03-12 03:00,31
20-03-12 02:00,33
20-03-12 01:00,38
20-03-12 00:00,42
19-03-12 23:00,51
19-03-12 22:00,75
19-03-12 21:00,81
19-03-12 20:00,65
19-03-12 19:00,38
19-03-12 18:00,29
19-03-12 17:00,21
19-03-12 16:00,17
19-03-12 15:00,15
19-03-12 14:00,16
19-03-12 13:00,17
19-03-12 12:00,19
19-03-12 11:00,28
19-03-12 10:00,27
19-03-12 09:00,34
19-03-12 08:00,33
19-03-12 07:00,28
19-03-12 06:00,17
19-03-12 05:00,11
19-03-12 04:00,10
19-03-12 03:00,9
19-03-12 02:00,12
19-03-12 01:00,10
19-03-12 00:00,12
18-03-12 23:00,12
18-03-12 22:00,14
18-03-12 21:00,11
18-03-12 20:00,14
18-03-12 19:00,14
18-03-12 18:00,13
18-03-12 17:00,12
18-03-12 16:00,11
18-03-12 15:00,10
18-03-12 14:00,10
18-03-12 13:00,11
18-03-12 12:00,10
18-03-12 11:00,16
18-03-12 10:00,31
18-03-12 09:00,34
18-03-12 08:00,37
18-03-12 07:00,47
18-03-12 06:00,48
18-03-12 05:00,57
18-03-12 04:00,63
18-03-12 03:00,34
18-03-12 02:00,20
18-03-12 01:00,26
18-03-12 00:00,33
17-03-12 23:00,22
17-03-12 22:00,23
17-03-12 21:00,30
17-03-12 20:00,62
17-03-12 19:00,49
17-03-12 18:00,17
17-03-12 17:00,15
17-03-12 16:00,13
17-03-12 15:00,12
17-03-12 14:00,13
17-03-12 13:00,12
17-03-12 12:00,14
17-03-12 11:00,20
17-03-12 10:00,42
17-03-12 09:00,53
17-03-12 08:00,52
17-03-12 07:00,44
17-03-12 06:00,40
17-03-12 05:00,39
17-03-12 04:00,43
17-03-12 03:00,45
17-03-12 02:00,52
17-03-12 01:00,58
17-03-12 00:00,70
16-03-12 23:00,85
16-03-12 22:00,90
16-03-12 21:00,94
16-03-12 20:00,79
16-03-12 19:00,55
16-03-12 18:00,30
16-03-12 17:00,28
16-03-12 16:00,23
16-03-12 15:00,25
16-03-12 14:00,18
16-03-12 13:00,19
16-03-12 12:00,22
16-03-12 11:00,31
16-03-12 10:00,69
16-03-12 09:00,67
16-03-12 08:00,56
16-03-12 07:00,44
16-03-12 06:00,37
16-03-12 05:00,32
16-03-12 04:00,31
16-03-12 03:00,33
16-03-12 02:00,36
16-03-12 01:00,40
16-03-12 00:00,45
15-03-12 23:00,49
15-03-12 22:00,54
15-03-12 21:00,66
15-03-12 20:00,80
15-03-12 19:00,73
15-03-12 18:00,44
15-03-12 17:00,29
15-03-12 16:00,24
15-03-12 15:00,24
15-03-12 14:00,21
15-03-12 13:00,19
15-03-12 12:00,21
15-03-12 11:00,23
15-03-12 10:00,31
15-03-12 09:00,36
15-03-12 08:00,33
15-03-12 07:00,25
15-03-12 06:00,21
15-03-12 05:00,19
15-03-12 04:00,25
15-03-12 03:00,28
15-03-12 02:00,28
15-03-12 01:00,33
15-03-12 00:00,31
14-03-12 23:00,34
14-03-12 22:00,35
14-03-12 21:00,34
14-03-12 20:00,36
14-03-12 19:00,36
14-03-12 18:00,38
14-03-12 17:00,36
14-03-12 16:00,29
14-03-12 15:00,26
14-03-12 14:00,26
14-03-12 13:00,27
14-03-12 12:00,31
14-03-12 11:00,33
14-03-12 10:00,34
14-03-12 09:00,38
14-03-12 08:00,38
14-03-12 07:00,21
14-03-12 06:00,9
14-03-12 05:00,9
14-03-12 04:00,10
14-03-12 03:00,10
14-03-12 02:00,12
14-03-12 01:00,15
14-03-12 00:00,20
13-03-12 23:00,24
13-03-12 22:00,25
13-03-12 21:00,30
13-03-12 20:00,32
13-03-12 19:00,38
13-03-12 18:00,36
13-03-12 17:00,32
13-03-12 16:00,29
13-03-12 15:00,29
13-03-12 14:00,31
13-03-12 13:00,27
13-03-12 12:00,26
13-03-12 11:00,33
13-03-12 10:00,34
13-03-12 09:00,43
13-03-12 08:00,39
13-03-12 07:00,25
13-03-12 06:00,16
13-03-12 05:00,12
13-03-12 04:00,11
13-03-12 03:00,10
13-03-12 02:00,10
13-03-12 01:00,10
13-03-12 00:00,11
12-03-12 23:00,14
12-03-12 22:00,16
12-03-12 21:00,23
12-03-12 20:00,25
12-03-12 19:00,33
12-03-12 18:00,40
12-03-12 17:00,41
12-03-12 16:00,39
12-03-12 15:00,32
12-03-12 14:00,28
12-03-12 13:00,25
12-03-12 12:00,27
12-03-12 11:00,28
12-03-12 10:00,27
12-03-12 09:00,30
12-03-12 08:00,27
12-03-12 07:00,22
12-03-12 06:00,12
12-03-12 05:00,9
12-03-12 04:00,8
12-03-12 03:00,8
12-03-12 02:00,9
12-03-12 01:00,10
12-03-12 00:00,11
11-03-12 23:00,12
11-03-12 22:00,15
11-03-12 21:00,15
11-03-12 20:00,20
11-03-12 19:00,22
11-03-12 18:00,17
11-03-12 17:00,14
11-03-12 16:00,13
11-03-12 15:00,12
11-03-12 14:00,11
11-03-12 13:00,10
11-03-12 12:00,12
11-03-12 11:00,12
11-03-12 10:00,10
11-03-12 09:00,9
11-03-12 08:00,8
11-03-12 07:00,9
11-03-12 06:00,10
11-03-12 05:00,11
11-03-12 04:00,11
11-03-12 03:00,16
11-03-12 02:00,16
11-03-12 01:00,16
11-03-12 00:00,17
10-03-12 23:00,19
10-03-12 22:00,22
10-03-12 21:00,24
