Datum Zeit,Dresden-Bergstraße PM2.5
,µg/m³
30-06-12,18.14
29-06-12,13.73
28-06-12,12.07
27-06-12,12.02
26-06-12,8.25
25-06-12,6.41
24-06-12,10.20
23-06-12,9.75
22-06-12,12.26
21-06-12,16.56
20-06-12,23.34
19-06-12,10.22
18-06-12,14.76
17-06-12,5.70
16-06-12,9.87
15-06-12,12.74
14-06-12,11.51
13-06-12,18.44
12-06-12,11.62
11-06-12,13.80
10-06-12,9.50
09-06-12,7.40
08-06-12,9.66
07-06-12,12.25
06-06-12,11.24
05-06-12,6.40
04-06-12,9.62
03-06-12,12.64
02-06-12,8.19
01-06-12,9.69

