Datum Zeit,Dresden-Winckelmannstr. NO2
,µg/m³
01-07-12 00:00,28
30-06-12 23:00,24
30-06-12 22:00,19
30-06-12 21:00,14
30-06-12 20:00,8
30-06-12 19:00,7
30-06-12 18:00,8
30-06-12 17:00,7
30-06-12 16:00,6
30-06-12 15:00,6
30-06-12 14:00,9
30-06-12 13:00,17
30-06-12 12:00,24
30-06-12 11:00,19
30-06-12 10:00,15
30-06-12 09:00,14
30-06-12 08:00,25
30-06-12 07:00,30
30-06-12 06:00,24
30-06-12 05:00,24
30-06-12 04:00,19
30-06-12 03:00,12
30-06-12 02:00,10
30-06-12 01:00,10
30-06-12 00:00,11
29-06-12 23:00,14
29-06-12 22:00,17
29-06-12 21:00,21
29-06-12 20:00,16
29-06-12 19:00,13
29-06-12 18:00,11
29-06-12 17:00,10
29-06-12 16:00,9
29-06-12 15:00,11
29-06-12 14:00,12
29-06-12 13:00,9
29-06-12 12:00,9
29-06-12 11:00,13
29-06-12 10:00,16
29-06-12 09:00,23
29-06-12 08:00,25
29-06-12 07:00,25
29-06-12 06:00,21
29-06-12 05:00,12
29-06-12 04:00,10
29-06-12 03:00,8
29-06-12 02:00,9
29-06-12 01:00,11
29-06-12 00:00,17
28-06-12 23:00,23
28-06-12 22:00,17
28-06-12 21:00,16
28-06-12 20:00,15
28-06-12 19:00,13
28-06-12 18:00,9
28-06-12 17:00,8
28-06-12 16:00,7
28-06-12 15:00,6
28-06-12 14:00,8
28-06-12 13:00,6
28-06-12 12:00,8
28-06-12 11:00,11
28-06-12 10:00,14
28-06-12 09:00,16
28-06-12 08:00,17
28-06-12 07:00,17
28-06-12 06:00,15
28-06-12 05:00,14
28-06-12 04:00,10
28-06-12 03:00,7
28-06-12 02:00,8
28-06-12 01:00,9
28-06-12 00:00,7
27-06-12 23:00,9
27-06-12 22:00,11
27-06-12 21:00,12
27-06-12 20:00,14
27-06-12 19:00,16
27-06-12 18:00,15
27-06-12 17:00,11
27-06-12 16:00,9
27-06-12 15:00,8
27-06-12 14:00,10
27-06-12 13:00,8
27-06-12 12:00,6
27-06-12 11:00,7
27-06-12 10:00,7
27-06-12 09:00,7
27-06-12 08:00,17
27-06-12 07:00,35
27-06-12 06:00,25
27-06-12 05:00,25
27-06-12 04:00,18
27-06-12 03:00,15
27-06-12 02:00,16
27-06-12 01:00,14
