Datum Zeit,Leipzig-Mitte PM2.5
,µg/m³
31-07-12,11.55
30-07-12,9.62
29-07-12,10.05
28-07-12,20.75
27-07-12,28.48
26-07-12,25.86
25-07-12,22.63
24-07-12,13.06
23-07-12,11.66
22-07-12,8.12
21-07-12,13.71
20-07-12,10.05
19-07-12,10.39
18-07-12,11.91
17-07-12,6.48
16-07-12,8.22
15-07-12,5.15
14-07-12,4.99
13-07-12,7.35
12-07-12,6.96
11-07-12,8.69
10-07-12,9.48
09-07-12,7.92
08-07-12,9.05
07-07-12,9.85
06-07-12,
05-07-12,15.96
04-07-12,14.07
03-07-12,14.85
02-07-12,9.23
01-07-12,8.42

