Datum Zeit,Dresden-Winckelmannstr. PM2.5
,µg/m³
30-09-12,7.71
29-09-12,7.93
28-09-12,5.04
27-09-12,3.97
26-09-12,9.59
25-09-12,5.11
24-09-12,8.56
23-09-12,6.24
22-09-12,8.64
21-09-12,9.23
20-09-12,5.98
19-09-12,4.90
18-09-12,10.10
17-09-12,11.60
16-09-12,6.60
15-09-12,5.51
14-09-12,6.82
13-09-12,12.39
12-09-12,5.65
11-09-12,13.20
10-09-12,12.44
09-09-12,11.14
08-09-12,12.73
07-09-12,7.86
06-09-12,
05-09-12,17.12
04-09-12,16.28
03-09-12,11.61
02-09-12,10.70
01-09-12,10.89

