Datum Zeit,Chemnitz-Leipziger Str. PM2.5
,µg/m³
31-05-13,8.50
30-05-13,7.89
29-05-13,10.64
28-05-13,12.25
27-05-13,4.93
26-05-13,2.09
25-05-13,12.04
24-05-13,12.42
23-05-13,7.63
22-05-13,5.27
21-05-13,5.93
20-05-13,3.31
19-05-13,9.03
18-05-13,7.63
17-05-13,11.98
16-05-13,17.57
15-05-13,18.71
14-05-13,17.64
13-05-13,13.64
12-05-13,8.40
11-05-13,13.70
10-05-13,12.27
09-05-13,11.66
08-05-13,17.29
07-05-13,22.71
06-05-13,20.92
05-05-13,23.73
04-05-13,28.79
03-05-13,20.94
02-05-13,32.67
01-05-13,26.93

