Datum Zeit,Dresden-Nord NO2
,µg/m³
01-09-13 00:00,10
31-08-13 23:00,14
31-08-13 22:00,17
31-08-13 21:00,40
31-08-13 20:00,44
31-08-13 19:00,33
31-08-13 18:00,33
31-08-13 17:00,37
31-08-13 16:00,41
31-08-13 15:00,35
31-08-13 14:00,32
31-08-13 13:00,32
31-08-13 12:00,39
31-08-13 11:00,35
31-08-13 10:00,42
31-08-13 09:00,39
31-08-13 08:00,25
31-08-13 07:00,30
31-08-13 06:00,28
31-08-13 05:00,22
31-08-13 04:00,17
31-08-13 03:00,18
31-08-13 02:00,21
31-08-13 01:00,20
31-08-13 00:00,29
30-08-13 23:00,44
30-08-13 22:00,62
30-08-13 21:00,86
30-08-13 20:00,127
30-08-13 19:00,109
30-08-13 18:00,66
30-08-13 17:00,56
30-08-13 16:00,67
30-08-13 15:00,66
30-08-13 14:00,51
30-08-13 13:00,54
30-08-13 12:00,53
30-08-13 11:00,54
30-08-13 10:00,42
30-08-13 09:00,35
30-08-13 08:00,38
30-08-13 07:00,43
30-08-13 06:00,42
30-08-13 05:00,25
30-08-13 04:00,19
30-08-13 03:00,16
30-08-13 02:00,19
30-08-13 01:00,23
30-08-13 00:00,38
29-08-13 23:00,50
29-08-13 22:00,54
29-08-13 21:00,73
29-08-13 20:00,76
29-08-13 19:00,32
29-08-13 18:00,36
29-08-13 17:00,49
29-08-13 16:00,45
29-08-13 15:00,31
29-08-13 14:00,25
29-08-13 13:00,19
29-08-13 12:00,25
29-08-13 11:00,40
29-08-13 10:00,50
29-08-13 09:00,53
29-08-13 08:00,46
29-08-13 07:00,38
29-08-13 06:00,35
29-08-13 05:00,29
29-08-13 04:00,21
29-08-13 03:00,25
29-08-13 02:00,32
29-08-13 01:00,41
29-08-13 00:00,46
28-08-13 23:00,62
28-08-13 22:00,53
28-08-13 21:00,34
28-08-13 20:00,30
28-08-13 19:00,43
28-08-13 18:00,46
28-08-13 17:00,14
28-08-13 16:00,11
28-08-13 15:00,14
28-08-13 14:00,18
28-08-13 13:00,10
28-08-13 12:00,10
28-08-13 11:00,40
28-08-13 10:00,45
28-08-13 09:00,45
28-08-13 08:00,61
28-08-13 07:00,59
28-08-13 06:00,59
28-08-13 05:00,45
28-08-13 04:00,34
28-08-13 03:00,34
28-08-13 02:00,37
28-08-13 01:00,44
28-08-13 00:00,49
27-08-13 23:00,23
27-08-13 22:00,17
27-08-13 21:00,22
27-08-13 20:00,24
27-08-13 19:00,17
27-08-13 18:00,16
27-08-13 17:00,17
27-08-13 16:00,22
27-08-13 15:00,17
27-08-13 14:00,20
27-08-13 13:00,20
27-08-13 12:00,15
27-08-13 11:00,19
27-08-13 10:00,26
27-08-13 09:00,32
27-08-13 08:00,36
27-08-13 07:00,35
27-08-13 06:00,35
27-08-13 05:00,35
27-08-13 04:00,27
27-08-13 03:00,14
27-08-13 02:00,10
27-08-13 01:00,10
27-08-13 00:00,13
