Datum Zeit,Zinnwald NO2
,µg/m³
01-10-13 00:00,5
30-09-13 23:00,5
30-09-13 22:00,5
30-09-13 21:00,6
30-09-13 20:00,10
30-09-13 19:00,11
30-09-13 18:00,10
30-09-13 17:00,6
30-09-13 16:00,3
30-09-13 15:00,3
30-09-13 14:00,3
30-09-13 13:00,3
30-09-13 12:00,3
30-09-13 11:00,4
30-09-13 10:00,3
30-09-13 09:00,3
30-09-13 08:00,3
30-09-13 07:00,3
30-09-13 06:00,3
30-09-13 05:00,3
30-09-13 04:00,3
30-09-13 03:00,3
30-09-13 02:00,3
30-09-13 01:00,3
30-09-13 00:00,4
29-09-13 23:00,4
29-09-13 22:00,4
29-09-13 21:00,3
29-09-13 20:00,4
29-09-13 19:00,7
29-09-13 18:00,5
29-09-13 17:00,4
29-09-13 16:00,3
29-09-13 15:00,2
29-09-13 14:00,2
29-09-13 13:00,2
29-09-13 12:00,2
29-09-13 11:00,4
29-09-13 10:00,3
29-09-13 09:00,4
29-09-13 08:00,4
29-09-13 07:00,8
29-09-13 06:00,4
29-09-13 05:00,3
29-09-13 04:00,3
29-09-13 03:00,3
29-09-13 02:00,3
29-09-13 01:00,4
29-09-13 00:00,5
28-09-13 23:00,12
28-09-13 22:00,5
28-09-13 21:00,6
28-09-13 20:00,7
28-09-13 19:00,9
28-09-13 18:00,8
28-09-13 17:00,6
28-09-13 16:00,17
28-09-13 15:00,16
28-09-13 14:00,12
28-09-13 13:00,13
28-09-13 12:00,11
28-09-13 11:00,7
28-09-13 10:00,4
28-09-13 09:00,4
28-09-13 08:00,4
28-09-13 07:00,4
28-09-13 06:00,4
28-09-13 05:00,3
28-09-13 04:00,3
28-09-13 03:00,3
28-09-13 02:00,5
28-09-13 01:00,18
28-09-13 00:00,11
27-09-13 23:00,10
27-09-13 22:00,11
27-09-13 21:00,19
27-09-13 20:00,8
27-09-13 19:00,7
27-09-13 18:00,9
27-09-13 17:00,9
27-09-13 16:00,7
27-09-13 15:00,9
27-09-13 14:00,5
27-09-13 13:00,4
27-09-13 12:00,5
27-09-13 11:00,3
27-09-13 10:00,3
27-09-13 09:00,4
27-09-13 08:00,4
27-09-13 07:00,4
27-09-13 06:00,4
27-09-13 05:00,4
27-09-13 04:00,4
27-09-13 03:00,4
27-09-13 02:00,4
27-09-13 01:00,4
27-09-13 00:00,4
26-09-13 23:00,5
26-09-13 22:00,6
26-09-13 21:00,6
26-09-13 20:00,7
