Datum Zeit,Dresden-Nord PM2.5
,µg/m³
30-11-13,5.44
29-11-13,8.62
28-11-13,8.09
27-11-13,15.14
26-11-13,12.25
25-11-13,13.19
24-11-13,6.73
23-11-13,17.11
22-11-13,17.63
21-11-13,10.05
20-11-13,16.20
19-11-13,28.60
18-11-13,28.79
17-11-13,17.26
16-11-13,37.69
15-11-13,30.11
14-11-13,15.16
13-11-13,18.33
12-11-13,16.20
11-11-13,13.10
10-11-13,6.85
09-11-13,5.35
08-11-13,6.02
07-11-13,4.20
06-11-13,7.65
05-11-13,7.30
04-11-13,3.53
03-11-13,3.59
02-11-13,12.42
01-11-13,23.29

