Datum Zeit,Dresden-Bergstraße NO
,µg/m³
01-04-14 00:00,17
31-03-14 23:00,43
31-03-14 22:00,43
31-03-14 21:00,61
31-03-14 20:00,106
31-03-14 19:00,85
31-03-14 18:00,57
31-03-14 17:00,57
31-03-14 16:00,80
31-03-14 15:00,
31-03-14 14:00,
31-03-14 13:00,
31-03-14 12:00,
31-03-14 11:00,
31-03-14 10:00,261
31-03-14 09:00,215
31-03-14 08:00,250
31-03-14 07:00,243
31-03-14 06:00,243
31-03-14 05:00,117
31-03-14 04:00,60
31-03-14 03:00,29
31-03-14 02:00,5
31-03-14 01:00,18
31-03-14 00:00,45
30-03-14 23:00,43
30-03-14 22:00,50
30-03-14 21:00,58
30-03-14 20:00,80
30-03-14 19:00,116
30-03-14 18:00,40
30-03-14 17:00,37
30-03-14 16:00,35
30-03-14 15:00,57
30-03-14 14:00,41
30-03-14 13:00,27
30-03-14 12:00,23
30-03-14 11:00,51
30-03-14 10:00,36
30-03-14 09:00,36
30-03-14 08:00,91
30-03-14 07:00,43
30-03-14 06:00,33
30-03-14 05:00,10
30-03-14 04:00,15
30-03-14 03:00,11
30-03-14 02:00,6
30-03-14 01:00,19
30-03-14 00:00,56
29-03-14 23:00,67
29-03-14 22:00,87
29-03-14 21:00,76
29-03-14 20:00,50
29-03-14 19:00,117
29-03-14 18:00,102
29-03-14 17:00,54
29-03-14 16:00,37
29-03-14 15:00,38
29-03-14 14:00,50
29-03-14 13:00,64
29-03-14 12:00,95
29-03-14 11:00,75
29-03-14 10:00,97
29-03-14 09:00,79
29-03-14 08:00,38
29-03-14 07:00,20
29-03-14 06:00,19
29-03-14 05:00,12
29-03-14 04:00,8
29-03-14 03:00,12
29-03-14 02:00,65
29-03-14 01:00,118
29-03-14 00:00,165
28-03-14 23:00,121
28-03-14 22:00,247
28-03-14 21:00,255
28-03-14 20:00,175
28-03-14 19:00,188
28-03-14 18:00,170
28-03-14 17:00,140
28-03-14 16:00,138
28-03-14 15:00,186
28-03-14 14:00,157
28-03-14 13:00,125
28-03-14 12:00,143
28-03-14 11:00,220
28-03-14 10:00,213
28-03-14 09:00,173
28-03-14 08:00,161
28-03-14 07:00,155
28-03-14 06:00,67
28-03-14 05:00,39
28-03-14 04:00,10
28-03-14 03:00,9
28-03-14 02:00,8
28-03-14 01:00,43
28-03-14 00:00,24
27-03-14 23:00,41
27-03-14 22:00,26
27-03-14 21:00,27
27-03-14 20:00,25
27-03-14 19:00,66
27-03-14 18:00,115
27-03-14 17:00,85
27-03-14 16:00,85
27-03-14 15:00,77
27-03-14 14:00,76
27-03-14 13:00,73
27-03-14 12:00,88
27-03-14 11:00,119
27-03-14 10:00,137
27-03-14 09:00,144
27-03-14 08:00,156
27-03-14 07:00,224
27-03-14 06:00,132
27-03-14 05:00,60
27-03-14 04:00,17
27-03-14 03:00,13
27-03-14 02:00,32
27-03-14 01:00,21
27-03-14 00:00,59
26-03-14 23:00,37
26-03-14 22:00,6
26-03-14 21:00,10
26-03-14 20:00,34
26-03-14 19:00,66
26-03-14 18:00,111
26-03-14 17:00,146
26-03-14 16:00,81
26-03-14 15:00,66
26-03-14 14:00,74
26-03-14 13:00,46
26-03-14 12:00,51
26-03-14 11:00,92
26-03-14 10:00,121
26-03-14 09:00,140
26-03-14 08:00,101
26-03-14 07:00,76
26-03-14 06:00,43
26-03-14 05:00,11
26-03-14 04:00,3
26-03-14 03:00,6
26-03-14 02:00,18
26-03-14 01:00,25
26-03-14 00:00,56
25-03-14 23:00,63
25-03-14 22:00,78
25-03-14 21:00,96
25-03-14 20:00,118
25-03-14 19:00,115
25-03-14 18:00,82
25-03-14 17:00,185
25-03-14 16:00,117
25-03-14 15:00,67
25-03-14 14:00,81
25-03-14 13:00,69
25-03-14 12:00,100
25-03-14 11:00,97
25-03-14 10:00,69
25-03-14 09:00,99
25-03-14 08:00,113
25-03-14 07:00,86
25-03-14 06:00,35
25-03-14 05:00,13
25-03-14 04:00,4
25-03-14 03:00,3
25-03-14 02:00,5
25-03-14 01:00,16
25-03-14 00:00,9
24-03-14 23:00,12
24-03-14 22:00,30
24-03-14 21:00,38
24-03-14 20:00,75
24-03-14 19:00,91
24-03-14 18:00,133
24-03-14 17:00,114
24-03-14 16:00,95
24-03-14 15:00,108
24-03-14 14:00,62
24-03-14 13:00,60
24-03-14 12:00,51
24-03-14 11:00,48
24-03-14 10:00,47
24-03-14 09:00,77
24-03-14 08:00,94
24-03-14 07:00,88
24-03-14 06:00,37
24-03-14 05:00,12
24-03-14 04:00,6
24-03-14 03:00,8
24-03-14 02:00,3
24-03-14 01:00,22
24-03-14 00:00,24
23-03-14 23:00,36
23-03-14 22:00,41
23-03-14 21:00,43
23-03-14 20:00,30
23-03-14 19:00,57
23-03-14 18:00,69
23-03-14 17:00,77
23-03-14 16:00,108
23-03-14 15:00,73
23-03-14 14:00,75
23-03-14 13:00,57
23-03-14 12:00,37
23-03-14 11:00,49
23-03-14 10:00,25
23-03-14 09:00,26
23-03-14 08:00,8
23-03-14 07:00,10
23-03-14 06:00,4
23-03-14 05:00,2
23-03-14 04:00,7
23-03-14 03:00,13
23-03-14 02:00,16
23-03-14 01:00,20
23-03-14 00:00,29
22-03-14 23:00,32
22-03-14 22:00,51
22-03-14 21:00,74
22-03-14 20:00,101
22-03-14 19:00,60
22-03-14 18:00,161
22-03-14 17:00,123
22-03-14 16:00,32
22-03-14 15:00,34
22-03-14 14:00,64
22-03-14 13:00,74
22-03-14 12:00,56
22-03-14 11:00,68
22-03-14 10:00,82
22-03-14 09:00,114
22-03-14 08:00,90
22-03-14 07:00,43
22-03-14 06:00,6
22-03-14 05:00,10
22-03-14 04:00,6
22-03-14 03:00,5
22-03-14 02:00,5
22-03-14 01:00,9
22-03-14 00:00,14
21-03-14 23:00,15
21-03-14 22:00,24
21-03-14 21:00,39
21-03-14 20:00,46
21-03-14 19:00,74
21-03-14 18:00,117
21-03-14 17:00,106
21-03-14 16:00,111
21-03-14 15:00,79
21-03-14 14:00,103
21-03-14 13:00,72
21-03-14 12:00,70
21-03-14 11:00,91
21-03-14 10:00,120
21-03-14 09:00,123
21-03-14 08:00,120
21-03-14 07:00,49
21-03-14 06:00,56
21-03-14 05:00,22
21-03-14 04:00,6
21-03-14 03:00,4
21-03-14 02:00,10
21-03-14 01:00,17
21-03-14 00:00,24
20-03-14 23:00,30
20-03-14 22:00,62
20-03-14 21:00,13
20-03-14 20:00,72
20-03-14 19:00,149
20-03-14 18:00,113
20-03-14 17:00,120
20-03-14 16:00,144
20-03-14 15:00,119
20-03-14 14:00,135
20-03-14 13:00,111
20-03-14 12:00,58
20-03-14 11:00,62
20-03-14 10:00,80
20-03-14 09:00,155
20-03-14 08:00,181
20-03-14 07:00,77
20-03-14 06:00,42
20-03-14 05:00,18
20-03-14 04:00,2
20-03-14 03:00,5
20-03-14 02:00,6
20-03-14 01:00,7
20-03-14 00:00,13
19-03-14 23:00,17
19-03-14 22:00,35
19-03-14 21:00,49
19-03-14 20:00,57
19-03-14 19:00,70
19-03-14 18:00,93
19-03-14 17:00,88
19-03-14 16:00,81
19-03-14 15:00,57
19-03-14 14:00,51
19-03-14 13:00,44
19-03-14 12:00,46
19-03-14 11:00,49
19-03-14 10:00,55
19-03-14 09:00,66
19-03-14 08:00,65
19-03-14 07:00,47
19-03-14 06:00,31
19-03-14 05:00,5
19-03-14 04:00,4
19-03-14 03:00,3
19-03-14 02:00,5
19-03-14 01:00,9
19-03-14 00:00,26
18-03-14 23:00,32
18-03-14 22:00,43
18-03-14 21:00,43
18-03-14 20:00,56
18-03-14 19:00,81
18-03-14 18:00,135
18-03-14 17:00,132
18-03-14 16:00,93
18-03-14 15:00,64
18-03-14 14:00,66
18-03-14 13:00,38
18-03-14 12:00,63
18-03-14 11:00,54
18-03-14 10:00,95
18-03-14 09:00,147
18-03-14 08:00,133
18-03-14 07:00,90
18-03-14 06:00,54
18-03-14 05:00,21
18-03-14 04:00,6
18-03-14 03:00,6
18-03-14 02:00,6
18-03-14 01:00,10
18-03-14 00:00,14
17-03-14 23:00,18
17-03-14 22:00,26
17-03-14 21:00,35
17-03-14 20:00,31
17-03-14 19:00,30
17-03-14 18:00,44
17-03-14 17:00,50
17-03-14 16:00,43
17-03-14 15:00,44
17-03-14 14:00,36
17-03-14 13:00,37
17-03-14 12:00,41
