Datum Zeit,Fichtelberg SO2
,µg/m³
01-04-14 00:00,7.0
31-03-14 23:00,8.1
31-03-14 22:00,11.3
31-03-14 21:00,11.8
31-03-14 20:00,5.5
31-03-14 19:00,5.0
31-03-14 18:00,4.9
31-03-14 17:00,4.2
31-03-14 16:00,5.3
31-03-14 15:00,8.7
31-03-14 14:00,15.9
31-03-14 13:00,20.8
31-03-14 12:00,11.6
31-03-14 11:00,6.7
31-03-14 10:00,7.5
31-03-14 09:00,6.9
31-03-14 08:00,6.3
31-03-14 07:00,5.1
31-03-14 06:00,3.8
31-03-14 05:00,3.8
31-03-14 04:00,3.9
31-03-14 03:00,4.1
31-03-14 02:00,4.7
31-03-14 01:00,4.9
31-03-14 00:00,5.7
30-03-14 23:00,8.5
30-03-14 22:00,14.6
30-03-14 21:00,13.4
30-03-14 20:00,10.1
30-03-14 19:00,10.8
30-03-14 18:00,10.0
30-03-14 17:00,9.7
30-03-14 16:00,10.6
30-03-14 15:00,14.3
30-03-14 14:00,12.7
30-03-14 13:00,11.9
30-03-14 12:00,13.3
30-03-14 11:00,9.9
30-03-14 10:00,8.8
30-03-14 09:00,7.5
30-03-14 08:00,5.4
30-03-14 07:00,3.8
30-03-14 06:00,3.8
30-03-14 05:00,3.5
30-03-14 04:00,3.5
30-03-14 03:00,3.3
30-03-14 02:00,3.3
30-03-14 01:00,3.8
30-03-14 00:00,5.0
29-03-14 23:00,8.6
29-03-14 22:00,7.4
29-03-14 21:00,6.8
29-03-14 20:00,6.7
29-03-14 19:00,6.8
29-03-14 18:00,8.1
29-03-14 17:00,8.7
29-03-14 16:00,9.6
29-03-14 15:00,12.8
29-03-14 14:00,10.4
29-03-14 13:00,8.2
29-03-14 12:00,6.4
29-03-14 11:00,6.3
29-03-14 10:00,6.9
29-03-14 09:00,10.2
29-03-14 08:00,6.3
29-03-14 07:00,4.0
29-03-14 06:00,4.1
29-03-14 05:00,3.1
29-03-14 04:00,2.9
29-03-14 03:00,3.5
29-03-14 02:00,8.3
29-03-14 01:00,6.9
29-03-14 00:00,7.5
28-03-14 23:00,5.9
28-03-14 22:00,10.7
28-03-14 21:00,5.2
28-03-14 20:00,4.1
28-03-14 19:00,5.9
28-03-14 18:00,8.6
28-03-14 17:00,15.2
28-03-14 16:00,12.5
28-03-14 15:00,7.8
28-03-14 14:00,11.7
28-03-14 13:00,13.7
28-03-14 12:00,17.5
28-03-14 11:00,18.1
28-03-14 10:00,9.0
28-03-14 09:00,29.6
28-03-14 08:00,18.9
28-03-14 07:00,18.8
28-03-14 06:00,10.1
28-03-14 05:00,16.2
28-03-14 04:00,28.4
28-03-14 03:00,29.0
28-03-14 02:00,32.6
28-03-14 01:00,32.8
28-03-14 00:00,17.6
27-03-14 23:00,15.0
27-03-14 22:00,17.8
27-03-14 21:00,19.3
27-03-14 20:00,29.0
27-03-14 19:00,17.2
27-03-14 18:00,16.9
27-03-14 17:00,6.8
27-03-14 16:00,5.1
27-03-14 15:00,4.5
