Datum Zeit,Zwickau-Werdauer Straße NO
,µg/m³
01-09-14 00:00,1
31-08-14 23:00,2
31-08-14 22:00,1
31-08-14 21:00,2
31-08-14 20:00,7
31-08-14 19:00,6
31-08-14 18:00,9
31-08-14 17:00,7
31-08-14 16:00,9
31-08-14 15:00,3
31-08-14 14:00,6
31-08-14 13:00,3
31-08-14 12:00,4
31-08-14 11:00,4
31-08-14 10:00,6
31-08-14 09:00,4
31-08-14 08:00,3
31-08-14 07:00,3
31-08-14 06:00,1
31-08-14 05:00,2
31-08-14 04:00,2
31-08-14 03:00,1
31-08-14 02:00,3
31-08-14 01:00,3
31-08-14 00:00,5
30-08-14 23:00,5
30-08-14 22:00,9
30-08-14 21:00,11
30-08-14 20:00,5
30-08-14 19:00,6
30-08-14 18:00,6
30-08-14 17:00,10
30-08-14 16:00,9
30-08-14 15:00,7
30-08-14 14:00,9
30-08-14 13:00,8
30-08-14 12:00,10
30-08-14 11:00,13
30-08-14 10:00,15
30-08-14 09:00,16
30-08-14 08:00,20
30-08-14 07:00,26
30-08-14 06:00,15
30-08-14 05:00,7
30-08-14 04:00,3
30-08-14 03:00,3
30-08-14 02:00,2
30-08-14 01:00,4
30-08-14 00:00,2
29-08-14 23:00,4
29-08-14 22:00,9
29-08-14 21:00,13
29-08-14 20:00,19
29-08-14 19:00,13
29-08-14 18:00,6
29-08-14 17:00,9
29-08-14 16:00,18
29-08-14 15:00,10
29-08-14 14:00,9
29-08-14 13:00,8
29-08-14 12:00,13
29-08-14 11:00,27
29-08-14 10:00,20
29-08-14 09:00,25
29-08-14 08:00,21
29-08-14 07:00,37
29-08-14 06:00,33
29-08-14 05:00,7
29-08-14 04:00,3
29-08-14 03:00,1
29-08-14 02:00,1
29-08-14 01:00,3
29-08-14 00:00,2
28-08-14 23:00,2
28-08-14 22:00,3
28-08-14 21:00,9
28-08-14 20:00,16
28-08-14 19:00,9
28-08-14 18:00,5
28-08-14 17:00,7
28-08-14 16:00,9
28-08-14 15:00,10
28-08-14 14:00,9
28-08-14 13:00,6
28-08-14 12:00,6
28-08-14 11:00,12
28-08-14 10:00,31
28-08-14 09:00,35
28-08-14 08:00,33
28-08-14 07:00,53
28-08-14 06:00,31
28-08-14 05:00,13
28-08-14 04:00,3
28-08-14 03:00,1
28-08-14 02:00,1
28-08-14 01:00,1
28-08-14 00:00,1
27-08-14 23:00,2
27-08-14 22:00,7
27-08-14 21:00,12
27-08-14 20:00,13
27-08-14 19:00,1
27-08-14 18:00,5
27-08-14 17:00,8
27-08-14 16:00,14
27-08-14 15:00,16
27-08-14 14:00,15
27-08-14 13:00,16
27-08-14 12:00,14
27-08-14 11:00,20
27-08-14 10:00,19
27-08-14 09:00,22
27-08-14 08:00,32
27-08-14 07:00,32
27-08-14 06:00,45
27-08-14 05:00,12
27-08-14 04:00,5
27-08-14 03:00,2
27-08-14 02:00,1
27-08-14 01:00,4
27-08-14 00:00,3
26-08-14 23:00,2
26-08-14 22:00,11
26-08-14 21:00,14
26-08-14 20:00,15
26-08-14 19:00,12
26-08-14 18:00,31
26-08-14 17:00,31
26-08-14 16:00,19
26-08-14 15:00,28
26-08-14 14:00,32
26-08-14 13:00,32
26-08-14 12:00,24
26-08-14 11:00,36
26-08-14 10:00,28
26-08-14 09:00,37
26-08-14 08:00,38
26-08-14 07:00,21
26-08-14 06:00,22
26-08-14 05:00,12
26-08-14 04:00,1
26-08-14 03:00,1
26-08-14 02:00,1
26-08-14 01:00,1
26-08-14 00:00,1
25-08-14 23:00,2
25-08-14 22:00,2
25-08-14 21:00,5
25-08-14 20:00,5
25-08-14 19:00,7
25-08-14 18:00,5
25-08-14 17:00,8
25-08-14 16:00,7
25-08-14 15:00,7
25-08-14 14:00,6
25-08-14 13:00,7
25-08-14 12:00,7
