Datum Zeit,Annaberg-Buchholz NO2
,µg/m³
01-10-14 00:00,10
30-09-14 23:00,13
30-09-14 22:00,16
30-09-14 21:00,23
30-09-14 20:00,36
30-09-14 19:00,45
30-09-14 18:00,42
30-09-14 17:00,42
30-09-14 16:00,31
30-09-14 15:00,28
30-09-14 14:00,25
30-09-14 13:00,21
30-09-14 12:00,26
30-09-14 11:00,49
30-09-14 10:00,45
30-09-14 09:00,27
30-09-14 08:00,29
30-09-14 07:00,27
30-09-14 06:00,23
30-09-14 05:00,21
30-09-14 04:00,13
30-09-14 03:00,6
30-09-14 02:00,4
30-09-14 01:00,6
30-09-14 00:00,11
29-09-14 23:00,12
29-09-14 22:00,18
29-09-14 21:00,23
29-09-14 20:00,27
29-09-14 19:00,44
29-09-14 18:00,54
29-09-14 17:00,49
29-09-14 16:00,37
29-09-14 15:00,20
29-09-14 14:00,14
29-09-14 13:00,17
29-09-14 12:00,16
29-09-14 11:00,17
29-09-14 10:00,41
29-09-14 09:00,35
29-09-14 08:00,32
29-09-14 07:00,29
29-09-14 06:00,25
29-09-14 05:00,19
29-09-14 04:00,14
29-09-14 03:00,7
29-09-14 02:00,5
29-09-14 01:00,5
29-09-14 00:00,7
28-09-14 23:00,11
28-09-14 22:00,16
28-09-14 21:00,20
28-09-14 20:00,28
28-09-14 19:00,20
28-09-14 18:00,19
28-09-14 17:00,14
28-09-14 16:00,11
28-09-14 15:00,9
28-09-14 14:00,11
28-09-14 13:00,9
28-09-14 12:00,7
28-09-14 11:00,11
28-09-14 10:00,17
28-09-14 09:00,11
28-09-14 08:00,9
28-09-14 07:00,8
28-09-14 06:00,7
28-09-14 05:00,5
28-09-14 04:00,7
28-09-14 03:00,4
28-09-14 02:00,5
28-09-14 01:00,7
28-09-14 00:00,9
27-09-14 23:00,9
27-09-14 22:00,14
27-09-14 21:00,18
27-09-14 20:00,25
27-09-14 19:00,26
27-09-14 18:00,32
27-09-14 17:00,17
27-09-14 16:00,13
27-09-14 15:00,6
27-09-14 14:00,6
27-09-14 13:00,6
27-09-14 12:00,11
27-09-14 11:00,10
27-09-14 10:00,10
27-09-14 09:00,11
27-09-14 08:00,18
27-09-14 07:00,20
27-09-14 06:00,10
27-09-14 05:00,6
27-09-14 04:00,6
27-09-14 03:00,6
27-09-14 02:00,6
27-09-14 01:00,5
27-09-14 00:00,6
26-09-14 23:00,8
26-09-14 22:00,8
26-09-14 21:00,8
26-09-14 20:00,11
26-09-14 19:00,16
26-09-14 18:00,17
26-09-14 17:00,23
26-09-14 16:00,20
26-09-14 15:00,20
26-09-14 14:00,17
26-09-14 13:00,18
26-09-14 12:00,18
26-09-14 11:00,19
26-09-14 10:00,17
26-09-14 09:00,16
26-09-14 08:00,16
26-09-14 07:00,22
26-09-14 06:00,16
26-09-14 05:00,11
26-09-14 04:00,7
26-09-14 03:00,6
26-09-14 02:00,7
26-09-14 01:00,6
26-09-14 00:00,9
25-09-14 23:00,17
25-09-14 22:00,27
25-09-14 21:00,31
25-09-14 20:00,31
25-09-14 19:00,36
25-09-14 18:00,25
25-09-14 17:00,16
25-09-14 16:00,26
25-09-14 15:00,18
25-09-14 14:00,14
25-09-14 13:00,14
25-09-14 12:00,14
25-09-14 11:00,15
25-09-14 10:00,13
25-09-14 09:00,17
25-09-14 08:00,19
25-09-14 07:00,25
25-09-14 06:00,21
25-09-14 05:00,27
25-09-14 04:00,19
25-09-14 03:00,9
25-09-14 02:00,8
25-09-14 01:00,11
25-09-14 00:00,13
24-09-14 23:00,14
24-09-14 22:00,18
24-09-14 21:00,24
24-09-14 20:00,29
24-09-14 19:00,29
24-09-14 18:00,31
24-09-14 17:00,26
24-09-14 16:00,25
24-09-14 15:00,23
24-09-14 14:00,18
24-09-14 13:00,19
24-09-14 12:00,15
24-09-14 11:00,14
24-09-14 10:00,21
24-09-14 09:00,33
24-09-14 08:00,23
24-09-14 07:00,23
24-09-14 06:00,26
24-09-14 05:00,18
24-09-14 04:00,14
24-09-14 03:00,5
24-09-14 02:00,4
24-09-14 01:00,4
24-09-14 00:00,6
23-09-14 23:00,6
23-09-14 22:00,11
23-09-14 21:00,16
23-09-14 20:00,22
23-09-14 19:00,34
23-09-14 18:00,33
23-09-14 17:00,16
23-09-14 16:00,14
23-09-14 15:00,14
23-09-14 14:00,9
23-09-14 13:00,12
23-09-14 12:00,13
23-09-14 11:00,18
23-09-14 10:00,20
23-09-14 09:00,11
23-09-14 08:00,8
23-09-14 07:00,11
23-09-14 06:00,8
23-09-14 05:00,6
23-09-14 04:00,3
23-09-14 03:00,1
23-09-14 02:00,2
23-09-14 01:00,3
23-09-14 00:00,3
22-09-14 23:00,3
22-09-14 22:00,4
22-09-14 21:00,4
22-09-14 20:00,6
22-09-14 19:00,13
22-09-14 18:00,13
22-09-14 17:00,12
22-09-14 16:00,10
22-09-14 15:00,16
22-09-14 14:00,12
22-09-14 13:00,7
22-09-14 12:00,8
22-09-14 11:00,10
22-09-14 10:00,10
22-09-14 09:00,10
22-09-14 08:00,14
22-09-14 07:00,19
22-09-14 06:00,16
22-09-14 05:00,5
22-09-14 04:00,2
22-09-14 03:00,1
22-09-14 02:00,1
22-09-14 01:00,2
22-09-14 00:00,2
21-09-14 23:00,2
21-09-14 22:00,3
21-09-14 21:00,4
21-09-14 20:00,4
21-09-14 19:00,5
21-09-14 18:00,8
21-09-14 17:00,24
21-09-14 16:00,13
21-09-14 15:00,9
21-09-14 14:00,10
21-09-14 13:00,10
21-09-14 12:00,8
21-09-14 11:00,6
21-09-14 10:00,4
21-09-14 09:00,5
21-09-14 08:00,9
21-09-14 07:00,11
21-09-14 06:00,7
21-09-14 05:00,6
21-09-14 04:00,8
21-09-14 03:00,5
21-09-14 02:00,7
21-09-14 01:00,9
21-09-14 00:00,9
20-09-14 23:00,9
20-09-14 22:00,15
20-09-14 21:00,17
20-09-14 20:00,20
20-09-14 19:00,18
20-09-14 18:00,20
20-09-14 17:00,21
20-09-14 16:00,7
20-09-14 15:00,11
20-09-14 14:00,7
20-09-14 13:00,7
20-09-14 12:00,8
20-09-14 11:00,11
20-09-14 10:00,13
20-09-14 09:00,25
20-09-14 08:00,17
20-09-14 07:00,13
20-09-14 06:00,15
20-09-14 05:00,10
20-09-14 04:00,14
20-09-14 03:00,7
20-09-14 02:00,7
20-09-14 01:00,10
20-09-14 00:00,18
19-09-14 23:00,22
19-09-14 22:00,26
19-09-14 21:00,22
19-09-14 20:00,27
19-09-14 19:00,31
19-09-14 18:00,29
19-09-14 17:00,27
19-09-14 16:00,24
19-09-14 15:00,23
19-09-14 14:00,24
19-09-14 13:00,21
19-09-14 12:00,19
19-09-14 11:00,25
19-09-14 10:00,26
19-09-14 09:00,46
19-09-14 08:00,53
19-09-14 07:00,54
19-09-14 06:00,45
19-09-14 05:00,43
19-09-14 04:00,38
19-09-14 03:00,23
19-09-14 02:00,14
19-09-14 01:00,17
19-09-14 00:00,28
18-09-14 23:00,30
18-09-14 22:00,43
18-09-14 21:00,53
18-09-14 20:00,63
18-09-14 19:00,63
18-09-14 18:00,63
18-09-14 17:00,44
18-09-14 16:00,36
18-09-14 15:00,32
18-09-14 14:00,27
18-09-14 13:00,25
18-09-14 12:00,30
18-09-14 11:00,27
18-09-14 10:00,21
18-09-14 09:00,24
18-09-14 08:00,38
18-09-14 07:00,57
18-09-14 06:00,47
18-09-14 05:00,16
18-09-14 04:00,16
18-09-14 03:00,21
18-09-14 02:00,13
18-09-14 01:00,13
18-09-14 00:00,19
17-09-14 23:00,27
17-09-14 22:00,38
17-09-14 21:00,54
17-09-14 20:00,56
17-09-14 19:00,66
17-09-14 18:00,42
17-09-14 17:00,31
17-09-14 16:00,29
17-09-14 15:00,28
17-09-14 14:00,28
17-09-14 13:00,26
17-09-14 12:00,19
17-09-14 11:00,26
17-09-14 10:00,26
17-09-14 09:00,23
17-09-14 08:00,33
17-09-14 07:00,31
17-09-14 06:00,26
17-09-14 05:00,25
17-09-14 04:00,22
17-09-14 03:00,25
17-09-14 02:00,21
17-09-14 01:00,18
17-09-14 00:00,20
16-09-14 23:00,14
16-09-14 22:00,16
16-09-14 21:00,23
16-09-14 20:00,20
16-09-14 19:00,31
16-09-14 18:00,43
16-09-14 17:00,37
16-09-14 16:00,34
16-09-14 15:00,25
16-09-14 14:00,28
16-09-14 13:00,28
16-09-14 12:00,23
16-09-14 11:00,23
16-09-14 10:00,23
16-09-14 09:00,36
16-09-14 08:00,35
16-09-14 07:00,36
16-09-14 06:00,27
16-09-14 05:00,18
16-09-14 04:00,17
16-09-14 03:00,11
16-09-14 02:00,8
16-09-14 01:00,6
16-09-14 00:00,9
15-09-14 23:00,9
15-09-14 22:00,14
15-09-14 21:00,17
15-09-14 20:00,31
15-09-14 19:00,47
15-09-14 18:00,60
15-09-14 17:00,29
15-09-14 16:00,22
15-09-14 15:00,25
15-09-14 14:00,27
15-09-14 13:00,24
15-09-14 12:00,25
15-09-14 11:00,27
15-09-14 10:00,35
15-09-14 09:00,40
15-09-14 08:00,34
15-09-14 07:00,32
15-09-14 06:00,24
15-09-14 05:00,14
15-09-14 04:00,12
15-09-14 03:00,9
15-09-14 02:00,7
15-09-14 01:00,6
15-09-14 00:00,7
14-09-14 23:00,7
14-09-14 22:00,13
14-09-14 21:00,19
14-09-14 20:00,15
14-09-14 19:00,18
14-09-14 18:00,11
14-09-14 17:00,11
14-09-14 16:00,10
14-09-14 15:00,11
14-09-14 14:00,10
14-09-14 13:00,10
14-09-14 12:00,8
14-09-14 11:00,9
14-09-14 10:00,7
14-09-14 09:00,6
14-09-14 08:00,6
14-09-14 07:00,4
14-09-14 06:00,8
14-09-14 05:00,5
14-09-14 04:00,4
14-09-14 03:00,4
14-09-14 02:00,9
14-09-14 01:00,6
14-09-14 00:00,8
13-09-14 23:00,15
13-09-14 22:00,12
13-09-14 21:00,14
13-09-14 20:00,17
13-09-14 19:00,24
13-09-14 18:00,17
13-09-14 17:00,11
13-09-14 16:00,11
13-09-14 15:00,14
13-09-14 14:00,12
13-09-14 13:00,15
13-09-14 12:00,13
13-09-14 11:00,18
13-09-14 10:00,15
13-09-14 09:00,11
13-09-14 08:00,9
13-09-14 07:00,17
13-09-14 06:00,11
13-09-14 05:00,11
13-09-14 04:00,13
13-09-14 03:00,12
13-09-14 02:00,11
13-09-14 01:00,7
13-09-14 00:00,11
12-09-14 23:00,19
12-09-14 22:00,32
12-09-14 21:00,21
12-09-14 20:00,22
12-09-14 19:00,32
12-09-14 18:00,25
12-09-14 17:00,20
12-09-14 16:00,16
12-09-14 15:00,20
12-09-14 14:00,26
12-09-14 13:00,26
12-09-14 12:00,25
12-09-14 11:00,22
12-09-14 10:00,20
12-09-14 09:00,18
