Datum Zeit,Freiberg NO2
,µg/m³
01-12-14 00:00,12
30-11-14 23:00,13
30-11-14 22:00,16
30-11-14 21:00,20
30-11-14 20:00,21
30-11-14 19:00,20
30-11-14 18:00,21
30-11-14 17:00,21
30-11-14 16:00,19
30-11-14 15:00,19
30-11-14 14:00,15
30-11-14 13:00,14
30-11-14 12:00,18
30-11-14 11:00,13
30-11-14 10:00,12
30-11-14 09:00,11
30-11-14 08:00,9
30-11-14 07:00,8
30-11-14 06:00,10
30-11-14 05:00,14
30-11-14 04:00,12
30-11-14 03:00,10
30-11-14 02:00,11
30-11-14 01:00,12
30-11-14 00:00,12
29-11-14 23:00,16
29-11-14 22:00,18
29-11-14 21:00,18
29-11-14 20:00,21
29-11-14 19:00,30
29-11-14 18:00,27
29-11-14 17:00,28
29-11-14 16:00,21
29-11-14 15:00,25
29-11-14 14:00,20
29-11-14 13:00,18
29-11-14 12:00,21
29-11-14 11:00,24
29-11-14 10:00,18
29-11-14 09:00,18
29-11-14 08:00,16
29-11-14 07:00,13
29-11-14 06:00,14
29-11-14 05:00,11
29-11-14 04:00,13
29-11-14 03:00,10
29-11-14 02:00,11
29-11-14 01:00,15
29-11-14 00:00,14
28-11-14 23:00,15
28-11-14 22:00,19
28-11-14 21:00,22
28-11-14 20:00,26
28-11-14 19:00,26
28-11-14 18:00,33
28-11-14 17:00,34
28-11-14 16:00,34
28-11-14 15:00,30
28-11-14 14:00,27
28-11-14 13:00,25
28-11-14 12:00,28
28-11-14 11:00,31
28-11-14 10:00,31
28-11-14 09:00,34
28-11-14 08:00,33
28-11-14 07:00,26
28-11-14 06:00,17
28-11-14 05:00,10
28-11-14 04:00,8
28-11-14 03:00,8
28-11-14 02:00,9
28-11-14 01:00,9
28-11-14 00:00,12
27-11-14 23:00,15
27-11-14 22:00,21
27-11-14 21:00,30
27-11-14 20:00,39
27-11-14 19:00,43
27-11-14 18:00,44
27-11-14 17:00,44
27-11-14 16:00,39
27-11-14 15:00,27
27-11-14 14:00,25
27-11-14 13:00,23
27-11-14 12:00,25
27-11-14 11:00,23
27-11-14 10:00,32
27-11-14 09:00,45
