Datum Zeit,Annaberg-Buchholz PM2.5
,µg/m³
31-12-14,12.05
30-12-14,9.02
29-12-14,10.21
28-12-14,28.28
27-12-14,12.29
26-12-14,10.51
25-12-14,3.86
24-12-14,3.61
23-12-14,2.82
22-12-14,2.41
21-12-14,5.15
20-12-14,2.93
19-12-14,1.83
18-12-14,3.17
17-12-14,7.27
16-12-14,7.60
15-12-14,7.01
14-12-14,9.30
13-12-14,6.84
12-12-14,2.54
11-12-14,4.13
10-12-14,9.74
09-12-14,23.73
08-12-14,14.52
07-12-14,14.26
06-12-14,18.16
05-12-14,14.31
04-12-14,12.82
03-12-14,23.04
02-12-14,21.62
01-12-14,14.58

