Datum Zeit,Plauen-Sued NO
,µg/m³
01-03-15 00:00,4
28-02-15 23:00,4
28-02-15 22:00,6
28-02-15 21:00,52
28-02-15 20:00,64
28-02-15 19:00,72
28-02-15 18:00,56
28-02-15 17:00,15
28-02-15 16:00,7
28-02-15 15:00,17
28-02-15 14:00,12
28-02-15 13:00,44
28-02-15 12:00,20
28-02-15 11:00,18
28-02-15 10:00,12
28-02-15 09:00,28
28-02-15 08:00,48
28-02-15 07:00,25
28-02-15 06:00,30
28-02-15 05:00,10
28-02-15 04:00,1
28-02-15 03:00,2
28-02-15 02:00,2
28-02-15 01:00,10
28-02-15 00:00,12
27-02-15 23:00,22
27-02-15 22:00,43
27-02-15 21:00,45
27-02-15 20:00,46
27-02-15 19:00,60
27-02-15 18:00,115
27-02-15 17:00,39
27-02-15 16:00,10
27-02-15 15:00,15
27-02-15 14:00,15
27-02-15 13:00,12
27-02-15 12:00,32
27-02-15 11:00,31
27-02-15 10:00,49
27-02-15 09:00,50
27-02-15 08:00,60
27-02-15 07:00,92
27-02-15 06:00,21
27-02-15 05:00,20
27-02-15 04:00,8
27-02-15 03:00,10
27-02-15 02:00,15
27-02-15 01:00,45
27-02-15 00:00,17
26-02-15 23:00,39
26-02-15 22:00,39
26-02-15 21:00,65
26-02-15 20:00,50
26-02-15 19:00,123
26-02-15 18:00,93
26-02-15 17:00,43
26-02-15 16:00,23
26-02-15 15:00,26
26-02-15 14:00,18
26-02-15 13:00,18
26-02-15 12:00,40
26-02-15 11:00,50
26-02-15 10:00,45
26-02-15 09:00,135
26-02-15 08:00,203
26-02-15 07:00,162
26-02-15 06:00,120
26-02-15 05:00,63
26-02-15 04:00,31
26-02-15 03:00,25
26-02-15 02:00,11
26-02-15 01:00,17
26-02-15 00:00,9
25-02-15 23:00,33
25-02-15 22:00,52
25-02-15 21:00,46
25-02-15 20:00,65
25-02-15 19:00,141
25-02-15 18:00,95
25-02-15 17:00,26
25-02-15 16:00,23
25-02-15 15:00,22
25-02-15 14:00,25
25-02-15 13:00,21
25-02-15 12:00,15
25-02-15 11:00,23
25-02-15 10:00,40
25-02-15 09:00,199
25-02-15 08:00,295
25-02-15 07:00,241
25-02-15 06:00,180
25-02-15 05:00,74
25-02-15 04:00,17
25-02-15 03:00,11
25-02-15 02:00,19
25-02-15 01:00,16
25-02-15 00:00,22
24-02-15 23:00,18
24-02-15 22:00,46
24-02-15 21:00,32
24-02-15 20:00,94
24-02-15 19:00,95
24-02-15 18:00,37
24-02-15 17:00,23
24-02-15 16:00,14
24-02-15 15:00,16
24-02-15 14:00,16
24-02-15 13:00,13
24-02-15 12:00,12
24-02-15 11:00,11
24-02-15 10:00,15
24-02-15 09:00,45
24-02-15 08:00,117
24-02-15 07:00,44
24-02-15 06:00,12
24-02-15 05:00,8
24-02-15 04:00,4
24-02-15 03:00,2
24-02-15 02:00,2
24-02-15 01:00,3
24-02-15 00:00,3
23-02-15 23:00,2
23-02-15 22:00,5
23-02-15 21:00,14
23-02-15 20:00,14
23-02-15 19:00,36
23-02-15 18:00,18
23-02-15 17:00,39
23-02-15 16:00,32
23-02-15 15:00,24
23-02-15 14:00,21
23-02-15 13:00,27
23-02-15 12:00,20
23-02-15 11:00,27
23-02-15 10:00,28
23-02-15 09:00,57
23-02-15 08:00,54
23-02-15 07:00,47
23-02-15 06:00,33
23-02-15 05:00,13
23-02-15 04:00,11
23-02-15 03:00,1
23-02-15 02:00,15
23-02-15 01:00,18
23-02-15 00:00,6
22-02-15 23:00,80
22-02-15 22:00,19
22-02-15 21:00,46
22-02-15 20:00,55
22-02-15 19:00,60
22-02-15 18:00,22
22-02-15 17:00,15
22-02-15 16:00,8
22-02-15 15:00,4
22-02-15 14:00,7
22-02-15 13:00,7
22-02-15 12:00,21
22-02-15 11:00,5
22-02-15 10:00,13
22-02-15 09:00,28
22-02-15 08:00,14
22-02-15 07:00,31
22-02-15 06:00,10
22-02-15 05:00,6
22-02-15 04:00,14
22-02-15 03:00,5
22-02-15 02:00,11
22-02-15 01:00,7
22-02-15 00:00,15
21-02-15 23:00,25
21-02-15 22:00,22
21-02-15 21:00,16
21-02-15 20:00,11
21-02-15 19:00,7
21-02-15 18:00,19
21-02-15 17:00,7
21-02-15 16:00,3
21-02-15 15:00,8
21-02-15 14:00,9
21-02-15 13:00,8
21-02-15 12:00,8
21-02-15 11:00,11
21-02-15 10:00,19
21-02-15 09:00,9
21-02-15 08:00,4
21-02-15 07:00,3
21-02-15 06:00,2
21-02-15 05:00,2
21-02-15 04:00,1
21-02-15 03:00,3
21-02-15 02:00,1
21-02-15 01:00,3
21-02-15 00:00,1
20-02-15 23:00,4
20-02-15 22:00,5
20-02-15 21:00,6
20-02-15 20:00,17
20-02-15 19:00,20
20-02-15 18:00,30
20-02-15 17:00,25
20-02-15 16:00,15
20-02-15 15:00,16
20-02-15 14:00,16
20-02-15 13:00,16
20-02-15 12:00,17
20-02-15 11:00,22
20-02-15 10:00,15
20-02-15 09:00,13
20-02-15 08:00,25
20-02-15 07:00,28
20-02-15 06:00,10
20-02-15 05:00,3
20-02-15 04:00,2
20-02-15 03:00,2
20-02-15 02:00,1
20-02-15 01:00,1
20-02-15 00:00,2
19-02-15 23:00,2
19-02-15 22:00,2
19-02-15 21:00,6
19-02-15 20:00,6
19-02-15 19:00,13
19-02-15 18:00,16
19-02-15 17:00,20
19-02-15 16:00,34
19-02-15 15:00,11
19-02-15 14:00,18
19-02-15 13:00,10
19-02-15 12:00,9
19-02-15 11:00,20
19-02-15 10:00,15
19-02-15 09:00,30
19-02-15 08:00,29
19-02-15 07:00,17
19-02-15 06:00,12
19-02-15 05:00,6
19-02-15 04:00,1
19-02-15 03:00,1
19-02-15 02:00,1
19-02-15 01:00,1
19-02-15 00:00,1
18-02-15 23:00,6
18-02-15 22:00,40
18-02-15 21:00,74
18-02-15 20:00,73
18-02-15 19:00,110
18-02-15 18:00,34
18-02-15 17:00,44
18-02-15 16:00,29
18-02-15 15:00,52
18-02-15 14:00,53
18-02-15 13:00,62
18-02-15 12:00,54
18-02-15 11:00,103
18-02-15 10:00,61
18-02-15 09:00,96
18-02-15 08:00,161
18-02-15 07:00,114
18-02-15 06:00,63
18-02-15 05:00,14
18-02-15 04:00,11
18-02-15 03:00,6
18-02-15 02:00,6
18-02-15 01:00,2
18-02-15 00:00,4
17-02-15 23:00,8
17-02-15 22:00,14
17-02-15 21:00,5
17-02-15 20:00,25
17-02-15 19:00,26
17-02-15 18:00,34
17-02-15 17:00,26
17-02-15 16:00,57
17-02-15 15:00,31
17-02-15 14:00,22
17-02-15 13:00,40
17-02-15 12:00,28
17-02-15 11:00,44
17-02-15 10:00,24
17-02-15 09:00,11
17-02-15 08:00,18
17-02-15 07:00,71
17-02-15 06:00,53
17-02-15 05:00,14
17-02-15 04:00,13
17-02-15 03:00,14
17-02-15 02:00,13
17-02-15 01:00,9
17-02-15 00:00,9
16-02-15 23:00,14
16-02-15 22:00,22
16-02-15 21:00,33
16-02-15 20:00,55
16-02-15 19:00,69
16-02-15 18:00,146
16-02-15 17:00,58
16-02-15 16:00,24
16-02-15 15:00,24
