Datum Zeit,Borna NO2
,µg/m³
01-05-15 00:00,8
30-04-15 23:00,11
30-04-15 22:00,13
30-04-15 21:00,9
30-04-15 20:00,13
30-04-15 19:00,39
30-04-15 18:00,26
30-04-15 17:00,15
30-04-15 16:00,31
30-04-15 15:00,30
30-04-15 14:00,24
30-04-15 13:00,30
30-04-15 12:00,25
30-04-15 11:00,27
30-04-15 10:00,30
30-04-15 09:00,29
30-04-15 08:00,35
30-04-15 07:00,55
30-04-15 06:00,42
30-04-15 05:00,32
30-04-15 04:00,22
30-04-15 03:00,20
30-04-15 02:00,14
30-04-15 01:00,18
30-04-15 00:00,21
29-04-15 23:00,23
29-04-15 22:00,24
29-04-15 21:00,24
29-04-15 20:00,28
29-04-15 19:00,32
29-04-15 18:00,34
29-04-15 17:00,34
29-04-15 16:00,29
29-04-15 15:00,29
29-04-15 14:00,23
29-04-15 13:00,22
29-04-15 12:00,24
29-04-15 11:00,26
29-04-15 10:00,25
29-04-15 09:00,32
29-04-15 08:00,
29-04-15 07:00,46
29-04-15 06:00,35
29-04-15 05:00,21
29-04-15 04:00,18
29-04-15 03:00,21
29-04-15 02:00,14
29-04-15 01:00,16
29-04-15 00:00,13
28-04-15 23:00,10
28-04-15 22:00,14
28-04-15 21:00,27
28-04-15 20:00,36
28-04-15 19:00,22
28-04-15 18:00,
28-04-15 17:00,
28-04-15 16:00,20
28-04-15 15:00,25
28-04-15 14:00,17
28-04-15 13:00,18
28-04-15 12:00,12
28-04-15 11:00,11
28-04-15 10:00,13
28-04-15 09:00,12
28-04-15 08:00,16
28-04-15 07:00,13
28-04-15 06:00,8
28-04-15 05:00,4
28-04-15 04:00,3
28-04-15 03:00,3
28-04-15 02:00,2
28-04-15 01:00,3
28-04-15 00:00,3
27-04-15 23:00,2
27-04-15 22:00,4
27-04-15 21:00,6
27-04-15 20:00,8
27-04-15 19:00,8
27-04-15 18:00,7
27-04-15 17:00,11
27-04-15 16:00,11
27-04-15 15:00,13
27-04-15 14:00,17
27-04-15 13:00,15
27-04-15 12:00,12
27-04-15 11:00,22
27-04-15 10:00,40
27-04-15 09:00,49
27-04-15 08:00,56
27-04-15 07:00,31
27-04-15 06:00,37
27-04-15 05:00,33
27-04-15 04:00,24
27-04-15 03:00,21
27-04-15 02:00,16
27-04-15 01:00,12
27-04-15 00:00,11
26-04-15 23:00,14
26-04-15 22:00,14
26-04-15 21:00,18
26-04-15 20:00,14
26-04-15 19:00,5
26-04-15 18:00,16
26-04-15 17:00,11
26-04-15 16:00,9
26-04-15 15:00,6
26-04-15 14:00,7
26-04-15 13:00,5
26-04-15 12:00,5
26-04-15 11:00,6
26-04-15 10:00,6
26-04-15 09:00,8
26-04-15 08:00,12
26-04-15 07:00,17
26-04-15 06:00,17
26-04-15 05:00,13
26-04-15 04:00,12
26-04-15 03:00,10
26-04-15 02:00,7
26-04-15 01:00,8
