Datum Zeit,Plauen-DWD O3
,µg/m³
01-09-15 00:00,60
31-08-15 23:00,68
31-08-15 22:00,85
31-08-15 21:00,108
31-08-15 20:00,100
31-08-15 19:00,121
31-08-15 18:00,138
31-08-15 17:00,143
31-08-15 16:00,138
31-08-15 15:00,146
31-08-15 14:00,144
31-08-15 13:00,137
31-08-15 12:00,146
31-08-15 11:00,131
31-08-15 10:00,120
31-08-15 09:00,56
31-08-15 08:00,28
31-08-15 07:00,10
31-08-15 06:00,13
31-08-15 05:00,10
31-08-15 04:00,12
31-08-15 03:00,24
31-08-15 02:00,31
31-08-15 01:00,29
31-08-15 00:00,35
30-08-15 23:00,43
30-08-15 22:00,42
30-08-15 21:00,46
30-08-15 20:00,63
30-08-15 19:00,103
30-08-15 18:00,118
30-08-15 17:00,120
30-08-15 16:00,121
30-08-15 15:00,121
30-08-15 14:00,124
30-08-15 13:00,118
30-08-15 12:00,110
30-08-15 11:00,84
30-08-15 10:00,55
30-08-15 09:00,33
30-08-15 08:00,11
30-08-15 07:00,4
30-08-15 06:00,2
30-08-15 05:00,2
30-08-15 04:00,2
30-08-15 03:00,2
30-08-15 02:00,5
30-08-15 01:00,10
30-08-15 00:00,14
29-08-15 23:00,29
29-08-15 22:00,49
29-08-15 21:00,69
29-08-15 20:00,80
29-08-15 19:00,91
29-08-15 18:00,90
29-08-15 17:00,90
29-08-15 16:00,89
29-08-15 15:00,84
29-08-15 14:00,70
29-08-15 13:00,55
29-08-15 12:00,42
29-08-15 11:00,38
29-08-15 10:00,23
29-08-15 09:00,18
29-08-15 08:00,16
29-08-15 07:00,12
29-08-15 06:00,9
29-08-15 05:00,8
29-08-15 04:00,4
29-08-15 03:00,2
29-08-15 02:00,3
29-08-15 01:00,4
29-08-15 00:00,4
28-08-15 23:00,4
28-08-15 22:00,7
28-08-15 21:00,8
28-08-15 20:00,11
28-08-15 19:00,18
28-08-15 18:00,16
28-08-15 17:00,14
28-08-15 16:00,13
28-08-15 15:00,17
28-08-15 14:00,20
28-08-15 13:00,23
28-08-15 12:00,24
28-08-15 11:00,26
28-08-15 10:00,47
28-08-15 09:00,45
28-08-15 08:00,42
28-08-15 07:00,40
28-08-15 06:00,46
28-08-15 05:00,34
28-08-15 04:00,42
28-08-15 03:00,50
28-08-15 02:00,57
28-08-15 01:00,65
28-08-15 00:00,89
27-08-15 23:00,94
27-08-15 22:00,105
27-08-15 21:00,105
27-08-15 20:00,115
27-08-15 19:00,116
27-08-15 18:00,119
27-08-15 17:00,116
27-08-15 16:00,108
27-08-15 15:00,105
27-08-15 14:00,103
27-08-15 13:00,102
27-08-15 12:00,97
27-08-15 11:00,86
27-08-15 10:00,71
27-08-15 09:00,65
27-08-15 08:00,67
27-08-15 07:00,69
27-08-15 06:00,67
27-08-15 05:00,71
27-08-15 04:00,74
27-08-15 03:00,71
27-08-15 02:00,61
27-08-15 01:00,54
27-08-15 00:00,56
26-08-15 23:00,51
26-08-15 22:00,57
26-08-15 21:00,47
26-08-15 20:00,61
26-08-15 19:00,90
26-08-15 18:00,96
26-08-15 17:00,95
26-08-15 16:00,95
26-08-15 15:00,
26-08-15 14:00,
26-08-15 13:00,
26-08-15 12:00,73
26-08-15 11:00,72
26-08-15 10:00,66
26-08-15 09:00,41
26-08-15 08:00,37
26-08-15 07:00,31
26-08-15 06:00,22
26-08-15 05:00,26
26-08-15 04:00,34
26-08-15 03:00,35
26-08-15 02:00,19
26-08-15 01:00,28
26-08-15 00:00,31
25-08-15 23:00,35
25-08-15 22:00,38
25-08-15 21:00,37
25-08-15 20:00,34
25-08-15 19:00,47
25-08-15 18:00,59
25-08-15 17:00,65
25-08-15 16:00,64
25-08-15 15:00,59
25-08-15 14:00,56
25-08-15 13:00,56
25-08-15 12:00,57
25-08-15 11:00,58
25-08-15 10:00,55
25-08-15 09:00,58
25-08-15 08:00,50
25-08-15 07:00,42
25-08-15 06:00,42
25-08-15 05:00,43
25-08-15 04:00,43
25-08-15 03:00,53
25-08-15 02:00,61
25-08-15 01:00,62
25-08-15 00:00,63
24-08-15 23:00,65
24-08-15 22:00,67
24-08-15 21:00,65
24-08-15 20:00,81
24-08-15 19:00,88
24-08-15 18:00,91
24-08-15 17:00,95
24-08-15 16:00,98
24-08-15 15:00,95
24-08-15 14:00,94
24-08-15 13:00,95
24-08-15 12:00,89
24-08-15 11:00,82
24-08-15 10:00,68
24-08-15 09:00,54
24-08-15 08:00,45
24-08-15 07:00,47
24-08-15 06:00,48
24-08-15 05:00,53
24-08-15 04:00,57
24-08-15 03:00,65
24-08-15 02:00,75
24-08-15 01:00,80
24-08-15 00:00,81
23-08-15 23:00,74
23-08-15 22:00,59
23-08-15 21:00,68
23-08-15 20:00,88
23-08-15 19:00,98
23-08-15 18:00,107
23-08-15 17:00,110
23-08-15 16:00,113
23-08-15 15:00,112
23-08-15 14:00,109
23-08-15 13:00,107
23-08-15 12:00,103
23-08-15 11:00,84
23-08-15 10:00,65
23-08-15 09:00,41
23-08-15 08:00,28
23-08-15 07:00,13
23-08-15 06:00,9
23-08-15 05:00,11
23-08-15 04:00,12
23-08-15 03:00,20
23-08-15 02:00,22
23-08-15 01:00,23
23-08-15 00:00,29
22-08-15 23:00,42
22-08-15 22:00,63
22-08-15 21:00,90
22-08-15 20:00,109
22-08-15 19:00,120
22-08-15 18:00,124
22-08-15 17:00,129
22-08-15 16:00,125
22-08-15 15:00,123
22-08-15 14:00,119
22-08-15 13:00,116
22-08-15 12:00,109
22-08-15 11:00,90
22-08-15 10:00,65
22-08-15 09:00,40
22-08-15 08:00,17
22-08-15 07:00,11
22-08-15 06:00,7
22-08-15 05:00,6
22-08-15 04:00,5
22-08-15 03:00,6
22-08-15 02:00,11
22-08-15 01:00,19
22-08-15 00:00,26
21-08-15 23:00,39
21-08-15 22:00,53
21-08-15 21:00,85
21-08-15 20:00,102
21-08-15 19:00,117
21-08-15 18:00,122
21-08-15 17:00,124
21-08-15 16:00,121
21-08-15 15:00,115
21-08-15 14:00,108
21-08-15 13:00,97
21-08-15 12:00,92
21-08-15 11:00,79
21-08-15 10:00,58
21-08-15 09:00,24
21-08-15 08:00,4
21-08-15 07:00,3
21-08-15 06:00,2
21-08-15 05:00,1
21-08-15 04:00,3
21-08-15 03:00,8
21-08-15 02:00,10
21-08-15 01:00,20
21-08-15 00:00,24
20-08-15 23:00,34
20-08-15 22:00,41
20-08-15 21:00,57
20-08-15 20:00,51
20-08-15 19:00,49
20-08-15 18:00,53
20-08-15 17:00,55
20-08-15 16:00,58
20-08-15 15:00,64
20-08-15 14:00,58
20-08-15 13:00,55
20-08-15 12:00,52
20-08-15 11:00,43
20-08-15 10:00,35
20-08-15 09:00,32
20-08-15 08:00,32
20-08-15 07:00,29
20-08-15 06:00,34
20-08-15 05:00,38
20-08-15 04:00,41
20-08-15 03:00,41
20-08-15 02:00,44
20-08-15 01:00,43
20-08-15 00:00,33
19-08-15 23:00,30
19-08-15 22:00,25
19-08-15 21:00,30
19-08-15 20:00,39
19-08-15 19:00,40
19-08-15 18:00,40
19-08-15 17:00,38
19-08-15 16:00,53
19-08-15 15:00,57
19-08-15 14:00,42
19-08-15 13:00,41
19-08-15 12:00,39
19-08-15 11:00,34
19-08-15 10:00,46
19-08-15 09:00,38
19-08-15 08:00,20
19-08-15 07:00,10
19-08-15 06:00,17
19-08-15 05:00,9
19-08-15 04:00,2
19-08-15 03:00,3
19-08-15 02:00,6
19-08-15 01:00,10
19-08-15 00:00,19
18-08-15 23:00,16
18-08-15 22:00,33
18-08-15 21:00,40
18-08-15 20:00,41
18-08-15 19:00,42
18-08-15 18:00,40
18-08-15 17:00,42
18-08-15 16:00,41
18-08-15 15:00,40
18-08-15 14:00,39
18-08-15 13:00,38
18-08-15 12:00,39
18-08-15 11:00,34
18-08-15 10:00,31
18-08-15 09:00,26
18-08-15 08:00,12
18-08-15 07:00,11
18-08-15 06:00,12
18-08-15 05:00,12
18-08-15 04:00,18
18-08-15 03:00,24
18-08-15 02:00,18
18-08-15 01:00,19
18-08-15 00:00,22
17-08-15 23:00,22
17-08-15 22:00,27
17-08-15 21:00,28
17-08-15 20:00,29
17-08-15 19:00,32
17-08-15 18:00,32
17-08-15 17:00,25
17-08-15 16:00,22
17-08-15 15:00,20
17-08-15 14:00,22
17-08-15 13:00,20
17-08-15 12:00,22
17-08-15 11:00,26
17-08-15 10:00,25
17-08-15 09:00,23
17-08-15 08:00,20
17-08-15 07:00,21
17-08-15 06:00,23
17-08-15 05:00,25
17-08-15 04:00,23
17-08-15 03:00,33
17-08-15 02:00,33
17-08-15 01:00,42
17-08-15 00:00,39
16-08-15 23:00,34
16-08-15 22:00,34
16-08-15 21:00,25
16-08-15 20:00,31
16-08-15 19:00,55
16-08-15 18:00,68
16-08-15 17:00,73
16-08-15 16:00,79
16-08-15 15:00,93
16-08-15 14:00,87
16-08-15 13:00,73
16-08-15 12:00,81
16-08-15 11:00,74
16-08-15 10:00,53
16-08-15 09:00,47
16-08-15 08:00,38
16-08-15 07:00,39
16-08-15 06:00,41
16-08-15 05:00,50
16-08-15 04:00,53
16-08-15 03:00,33
16-08-15 02:00,36
16-08-15 01:00,38
16-08-15 00:00,46
15-08-15 23:00,68
15-08-15 22:00,86
15-08-15 21:00,90
15-08-15 20:00,100
15-08-15 19:00,103
15-08-15 18:00,103
15-08-15 17:00,111
15-08-15 16:00,110
15-08-15 15:00,108
15-08-15 14:00,108
15-08-15 13:00,103
15-08-15 12:00,92
15-08-15 11:00,90
15-08-15 10:00,79
15-08-15 09:00,60
15-08-15 08:00,49
15-08-15 07:00,47
15-08-15 06:00,36
15-08-15 05:00,29
15-08-15 04:00,34
15-08-15 03:00,46
15-08-15 02:00,59
15-08-15 01:00,88
15-08-15 00:00,89
14-08-15 23:00,92
14-08-15 22:00,101
14-08-15 21:00,126
14-08-15 20:00,139
14-08-15 19:00,147
14-08-15 18:00,154
14-08-15 17:00,169
