Datum Zeit,Leipzig-Thekla O3
,µg/m³
01-02-16 00:00,40
31-01-16 23:00,40
31-01-16 22:00,34
31-01-16 21:00,41
31-01-16 20:00,44
31-01-16 19:00,56
31-01-16 18:00,59
31-01-16 17:00,58
31-01-16 16:00,59
31-01-16 15:00,62
31-01-16 14:00,61
31-01-16 13:00,59
31-01-16 12:00,59
31-01-16 11:00,56
31-01-16 10:00,55
31-01-16 09:00,55
31-01-16 08:00,55
31-01-16 07:00,53
31-01-16 06:00,55
31-01-16 05:00,57
31-01-16 04:00,56
31-01-16 03:00,62
31-01-16 02:00,64
31-01-16 01:00,60
31-01-16 00:00,64
30-01-16 23:00,56
30-01-16 22:00,51
30-01-16 21:00,49
30-01-16 20:00,51
30-01-16 19:00,51
30-01-16 18:00,52
30-01-16 17:00,56
30-01-16 16:00,58
30-01-16 15:00,61
30-01-16 14:00,61
30-01-16 13:00,59
30-01-16 12:00,60
30-01-16 11:00,59
30-01-16 10:00,58
30-01-16 09:00,57
30-01-16 08:00,57
30-01-16 07:00,59
30-01-16 06:00,59
30-01-16 05:00,54
30-01-16 04:00,54
30-01-16 03:00,55
30-01-16 02:00,55
30-01-16 01:00,53
30-01-16 00:00,51
29-01-16 23:00,50
29-01-16 22:00,48
29-01-16 21:00,50
29-01-16 20:00,47
29-01-16 19:00,51
29-01-16 18:00,48
29-01-16 17:00,47
29-01-16 16:00,51
29-01-16 15:00,52
29-01-16 14:00,49
29-01-16 13:00,44
29-01-16 12:00,42
29-01-16 11:00,35
29-01-16 10:00,28
29-01-16 09:00,24
29-01-16 08:00,19
29-01-16 07:00,18
29-01-16 06:00,26
29-01-16 05:00,27
29-01-16 04:00,29
29-01-16 03:00,23
29-01-16 02:00,17
29-01-16 01:00,16
29-01-16 00:00,7
28-01-16 23:00,2
28-01-16 22:00,4
28-01-16 21:00,8
28-01-16 20:00,7
28-01-16 19:00,23
28-01-16 18:00,28
28-01-16 17:00,42
28-01-16 16:00,52
28-01-16 15:00,63
28-01-16 14:00,66
28-01-16 13:00,60
28-01-16 12:00,50
28-01-16 11:00,41
28-01-16 10:00,54
28-01-16 09:00,62
28-01-16 08:00,48
28-01-16 07:00,53
28-01-16 06:00,53
28-01-16 05:00,48
28-01-16 04:00,53
28-01-16 03:00,52
28-01-16 02:00,55
28-01-16 01:00,57
28-01-16 00:00,56
27-01-16 23:00,56
27-01-16 22:00,56
27-01-16 21:00,52
27-01-16 20:00,45
27-01-16 19:00,47
27-01-16 18:00,49
27-01-16 17:00,48
27-01-16 16:00,50
27-01-16 15:00,54
27-01-16 14:00,48
27-01-16 13:00,50
27-01-16 12:00,48
27-01-16 11:00,48
27-01-16 10:00,45
27-01-16 09:00,41
27-01-16 08:00,34
27-01-16 07:00,43
27-01-16 06:00,42
27-01-16 05:00,42
27-01-16 04:00,47
27-01-16 03:00,48
27-01-16 02:00,39
27-01-16 01:00,25
27-01-16 00:00,25
26-01-16 23:00,26
26-01-16 22:00,21
26-01-16 21:00,27
26-01-16 20:00,28
26-01-16 19:00,23
26-01-16 18:00,23
26-01-16 17:00,20
26-01-16 16:00,10
26-01-16 15:00,20
26-01-16 14:00,28
26-01-16 13:00,20
26-01-16 12:00,18
26-01-16 11:00,15
26-01-16 10:00,7
26-01-16 09:00,1
26-01-16 08:00,5
26-01-16 07:00,7
26-01-16 06:00,22
26-01-16 05:00,27
26-01-16 04:00,21
26-01-16 03:00,23
26-01-16 02:00,21
26-01-16 01:00,14
26-01-16 00:00,21
25-01-16 23:00,21
25-01-16 22:00,18
25-01-16 21:00,4
25-01-16 20:00,4
25-01-16 19:00,3
25-01-16 18:00,7
25-01-16 17:00,11
25-01-16 16:00,11
25-01-16 15:00,13
25-01-16 14:00,15
25-01-16 13:00,12
25-01-16 12:00,7
25-01-16 11:00,7
25-01-16 10:00,6
25-01-16 09:00,3
25-01-16 08:00,4
25-01-16 07:00,8
25-01-16 06:00,14
25-01-16 05:00,17
25-01-16 04:00,19
25-01-16 03:00,15
25-01-16 02:00,20
25-01-16 01:00,19
25-01-16 00:00,25
24-01-16 23:00,26
24-01-16 22:00,31
24-01-16 21:00,33
24-01-16 20:00,32
24-01-16 19:00,32
24-01-16 18:00,29
24-01-16 17:00,37
24-01-16 16:00,39
24-01-16 15:00,37
24-01-16 14:00,35
24-01-16 13:00,30
24-01-16 12:00,28
24-01-16 11:00,26
24-01-16 10:00,21
24-01-16 09:00,20
24-01-16 08:00,20
24-01-16 07:00,13
24-01-16 06:00,13
24-01-16 05:00,16
24-01-16 04:00,17
24-01-16 03:00,20
24-01-16 02:00,22
24-01-16 01:00,10
24-01-16 00:00,9
23-01-16 23:00,8
23-01-16 22:00,9
23-01-16 21:00,13
23-01-16 20:00,19
23-01-16 19:00,22
23-01-16 18:00,22
23-01-16 17:00,11
23-01-16 16:00,21
23-01-16 15:00,21
23-01-16 14:00,21
23-01-16 13:00,17
23-01-16 12:00,15
23-01-16 11:00,9
23-01-16 10:00,10
23-01-16 09:00,13
