Datum Zeit,Chemnitz-Mitte O3
,µg/m³
01-07-16 00:00,29
30-06-16 23:00,38
30-06-16 22:00,33
30-06-16 21:00,52
30-06-16 20:00,59
30-06-16 19:00,67
30-06-16 18:00,64
30-06-16 17:00,66
30-06-16 16:00,73
30-06-16 15:00,66
30-06-16 14:00,63
30-06-16 13:00,68
30-06-16 12:00,72
30-06-16 11:00,70
30-06-16 10:00,67
30-06-16 09:00,46
30-06-16 08:00,22
30-06-16 07:00,9
30-06-16 06:00,10
30-06-16 05:00,24
30-06-16 04:00,32
30-06-16 03:00,26
30-06-16 02:00,28
30-06-16 01:00,31
30-06-16 00:00,39
29-06-16 23:00,44
29-06-16 22:00,45
29-06-16 21:00,63
29-06-16 20:00,84
29-06-16 19:00,91
29-06-16 18:00,86
29-06-16 17:00,86
29-06-16 16:00,83
29-06-16 15:00,79
29-06-16 14:00,73
29-06-16 13:00,69
29-06-16 12:00,62
29-06-16 11:00,60
29-06-16 10:00,58
29-06-16 09:00,44
29-06-16 08:00,34
29-06-16 07:00,15
29-06-16 06:00,31
29-06-16 05:00,34
29-06-16 04:00,31
29-06-16 03:00,41
29-06-16 02:00,44
29-06-16 01:00,42
29-06-16 00:00,46
28-06-16 23:00,49
28-06-16 22:00,48
28-06-16 21:00,66
28-06-16 20:00,82
28-06-16 19:00,87
28-06-16 18:00,87
28-06-16 17:00,86
28-06-16 16:00,84
28-06-16 15:00,84
28-06-16 14:00,79
28-06-16 13:00,72
28-06-16 12:00,57
28-06-16 11:00,36
28-06-16 10:00,37
28-06-16 09:00,30
28-06-16 08:00,31
28-06-16 07:00,23
28-06-16 06:00,20
28-06-16 05:00,37
28-06-16 04:00,48
28-06-16 03:00,55
28-06-16 02:00,58
28-06-16 01:00,60
28-06-16 00:00,62
27-06-16 23:00,61
27-06-16 22:00,68
27-06-16 21:00,80
27-06-16 20:00,86
27-06-16 19:00,87
27-06-16 18:00,85
27-06-16 17:00,88
27-06-16 16:00,88
27-06-16 15:00,89
27-06-16 14:00,88
27-06-16 13:00,83
27-06-16 12:00,85
27-06-16 11:00,76
27-06-16 10:00,68
27-06-16 09:00,59
27-06-16 08:00,46
27-06-16 07:00,33
27-06-16 06:00,24
27-06-16 05:00,24
27-06-16 04:00,35
27-06-16 03:00,42
27-06-16 02:00,43
27-06-16 01:00,42
27-06-16 00:00,38
26-06-16 23:00,42
26-06-16 22:00,45
26-06-16 21:00,60
26-06-16 20:00,78
26-06-16 19:00,88
26-06-16 18:00,85
26-06-16 17:00,86
26-06-16 16:00,87
26-06-16 15:00,89
26-06-16 14:00,87
26-06-16 13:00,87
26-06-16 12:00,83
26-06-16 11:00,77
26-06-16 10:00,72
26-06-16 09:00,65
26-06-16 08:00,62
26-06-16 07:00,58
26-06-16 06:00,57
26-06-16 05:00,60
26-06-16 04:00,61
26-06-16 03:00,59
26-06-16 02:00,45
26-06-16 01:00,42
26-06-16 00:00,53
25-06-16 23:00,75
25-06-16 22:00,32
25-06-16 21:00,52
25-06-16 20:00,64
25-06-16 19:00,83
25-06-16 18:00,70
25-06-16 17:00,62
25-06-16 16:00,61
25-06-16 15:00,66
25-06-16 14:00,69
25-06-16 13:00,85
25-06-16 12:00,110
25-06-16 11:00,102
25-06-16 10:00,78
25-06-16 09:00,72
25-06-16 08:00,62
25-06-16 07:00,53
25-06-16 06:00,42
25-06-16 05:00,42
25-06-16 04:00,43
25-06-16 03:00,47
25-06-16 02:00,37
25-06-16 01:00,39
25-06-16 00:00,36
24-06-16 23:00,51
24-06-16 22:00,98
24-06-16 21:00,132
24-06-16 20:00,150
24-06-16 19:00,150
24-06-16 18:00,147
24-06-16 17:00,134
