Datum Zeit,Leipzig-Mitte NO
,µg/m³
01-07-16 00:00,23
30-06-16 23:00,35
30-06-16 22:00,20
30-06-16 21:00,43
30-06-16 20:00,65
30-06-16 19:00,52
30-06-16 18:00,49
30-06-16 17:00,52
30-06-16 16:00,100
30-06-16 15:00,65
30-06-16 14:00,54
30-06-16 13:00,69
30-06-16 12:00,77
30-06-16 11:00,108
30-06-16 10:00,81
30-06-16 09:00,109
30-06-16 08:00,112
30-06-16 07:00,110
30-06-16 06:00,80
30-06-16 05:00,25
30-06-16 04:00,8
30-06-16 03:00,10
30-06-16 02:00,3
30-06-16 01:00,7
30-06-16 00:00,10
29-06-16 23:00,19
29-06-16 22:00,30
29-06-16 21:00,42
29-06-16 20:00,59
29-06-16 19:00,53
29-06-16 18:00,47
29-06-16 17:00,51
29-06-16 16:00,57
29-06-16 15:00,57
29-06-16 14:00,62
29-06-16 13:00,57
29-06-16 12:00,46
29-06-16 11:00,56
29-06-16 10:00,52
29-06-16 09:00,65
29-06-16 08:00,101
29-06-16 07:00,78
29-06-16 06:00,41
29-06-16 05:00,22
29-06-16 04:00,6
29-06-16 03:00,5
29-06-16 02:00,6
29-06-16 01:00,6
29-06-16 00:00,2
28-06-16 23:00,3
28-06-16 22:00,6
28-06-16 21:00,4
28-06-16 20:00,18
28-06-16 19:00,20
28-06-16 18:00,30
28-06-16 17:00,65
28-06-16 16:00,63
28-06-16 15:00,44
28-06-16 14:00,51
28-06-16 13:00,62
28-06-16 12:00,47
28-06-16 11:00,49
28-06-16 10:00,74
28-06-16 09:00,64
28-06-16 08:00,82
28-06-16 07:00,73
28-06-16 06:00,56
28-06-16 05:00,24
28-06-16 04:00,10
28-06-16 03:00,10
28-06-16 02:00,3
28-06-16 01:00,6
28-06-16 00:00,9
27-06-16 23:00,11
27-06-16 22:00,15
27-06-16 21:00,20
27-06-16 20:00,23
27-06-16 19:00,30
27-06-16 18:00,39
27-06-16 17:00,59
27-06-16 16:00,69
27-06-16 15:00,63
27-06-16 14:00,60
27-06-16 13:00,51
27-06-16 12:00,69
27-06-16 11:00,61
27-06-16 10:00,62
27-06-16 09:00,82
27-06-16 08:00,74
27-06-16 07:00,74
27-06-16 06:00,62
27-06-16 05:00,42
27-06-16 04:00,13
27-06-16 03:00,5
27-06-16 02:00,7
27-06-16 01:00,17
27-06-16 00:00,49
26-06-16 23:00,26
26-06-16 22:00,26
26-06-16 21:00,40
26-06-16 20:00,42
26-06-16 19:00,21
26-06-16 18:00,25
26-06-16 17:00,33
26-06-16 16:00,28
26-06-16 15:00,23
26-06-16 14:00,32
26-06-16 13:00,24
26-06-16 12:00,26
26-06-16 11:00,26
26-06-16 10:00,23
26-06-16 09:00,16
26-06-16 08:00,8
26-06-16 07:00,9
26-06-16 06:00,6
26-06-16 05:00,5
26-06-16 04:00,9
26-06-16 03:00,8
26-06-16 02:00,14
26-06-16 01:00,19
26-06-16 00:00,24
25-06-16 23:00,18
25-06-16 22:00,22
25-06-16 21:00,21
25-06-16 20:00,20
25-06-16 19:00,33
25-06-16 18:00,41
25-06-16 17:00,42
25-06-16 16:00,38
25-06-16 15:00,47
25-06-16 14:00,37
25-06-16 13:00,38
25-06-16 12:00,38
25-06-16 11:00,34
25-06-16 10:00,36
25-06-16 09:00,42
25-06-16 08:00,25
25-06-16 07:00,23
25-06-16 06:00,13
25-06-16 05:00,12
25-06-16 04:00,8
25-06-16 03:00,18
25-06-16 02:00,8
25-06-16 01:00,11
25-06-16 00:00,25
24-06-16 23:00,42
24-06-16 22:00,16
24-06-16 21:00,23
24-06-16 20:00,23
24-06-16 19:00,10
24-06-16 18:00,12
24-06-16 17:00,17
24-06-16 16:00,16
24-06-16 15:00,20
24-06-16 14:00,29
24-06-16 13:00,43
24-06-16 12:00,36
24-06-16 11:00,30
24-06-16 10:00,41
24-06-16 09:00,45
24-06-16 08:00,95
24-06-16 07:00,131
24-06-16 06:00,77
24-06-16 05:00,17
24-06-16 04:00,5
24-06-16 03:00,8
24-06-16 02:00,3
24-06-16 01:00,2
24-06-16 00:00,2
23-06-16 23:00,14
23-06-16 22:00,22
23-06-16 21:00,7
23-06-16 20:00,10
23-06-16 19:00,11
23-06-16 18:00,19
23-06-16 17:00,17
23-06-16 16:00,29
23-06-16 15:00,27
23-06-16 14:00,31
23-06-16 13:00,34
23-06-16 12:00,40
23-06-16 11:00,35
23-06-16 10:00,37
23-06-16 09:00,49
23-06-16 08:00,95
23-06-16 07:00,94
23-06-16 06:00,87
23-06-16 05:00,16
23-06-16 04:00,10
23-06-16 03:00,9
23-06-16 02:00,1
23-06-16 01:00,3
23-06-16 00:00,11
22-06-16 23:00,14
22-06-16 22:00,14
22-06-16 21:00,19
22-06-16 20:00,50
22-06-16 19:00,36
22-06-16 18:00,48
22-06-16 17:00,57
22-06-16 16:00,67
22-06-16 15:00,69
22-06-16 14:00,65
22-06-16 13:00,61
22-06-16 12:00,52
22-06-16 11:00,59
22-06-16 10:00,68
22-06-16 09:00,98
22-06-16 08:00,112
22-06-16 07:00,111
22-06-16 06:00,28
22-06-16 05:00,12
22-06-16 04:00,7
22-06-16 03:00,5
22-06-16 02:00,4
22-06-16 01:00,8
22-06-16 00:00,8
21-06-16 23:00,8
21-06-16 22:00,7
21-06-16 21:00,10
21-06-16 20:00,24
21-06-16 19:00,28
21-06-16 18:00,46
21-06-16 17:00,64
21-06-16 16:00,69
21-06-16 15:00,64
21-06-16 14:00,58
21-06-16 13:00,70
21-06-16 12:00,53
21-06-16 11:00,56
21-06-16 10:00,73
21-06-16 09:00,80
21-06-16 08:00,76
21-06-16 07:00,94
21-06-16 06:00,68
21-06-16 05:00,26
21-06-16 04:00,4
