Datum Zeit,Brockau NO2
,µg/m³
01-11-16 00:00,
31-10-16 23:00,
31-10-16 22:00,9
31-10-16 21:00,8
31-10-16 20:00,12
31-10-16 19:00,10
31-10-16 18:00,7
31-10-16 17:00,5
31-10-16 16:00,5
31-10-16 15:00,4
31-10-16 14:00,4
31-10-16 13:00,6
31-10-16 12:00,6
31-10-16 11:00,6
31-10-16 10:00,7
31-10-16 09:00,5
31-10-16 08:00,5
31-10-16 07:00,4
31-10-16 06:00,5
31-10-16 05:00,5
31-10-16 04:00,4
31-10-16 03:00,5
31-10-16 02:00,6
31-10-16 01:00,5
31-10-16 00:00,6
30-10-16 23:00,6
30-10-16 22:00,6
30-10-16 21:00,9
30-10-16 20:00,10
30-10-16 19:00,11
30-10-16 18:00,11
30-10-16 17:00,9
30-10-16 16:00,6
30-10-16 15:00,5
30-10-16 14:00,5
30-10-16 13:00,5
30-10-16 12:00,5
30-10-16 11:00,4
30-10-16 10:00,4
30-10-16 09:00,5
30-10-16 08:00,4
30-10-16 07:00,5
30-10-16 06:00,5
30-10-16 05:00,6
30-10-16 04:00,6
30-10-16 03:00,6
30-10-16 02:00,6
30-10-16 01:00,6
30-10-16 00:00,7
29-10-16 23:00,7
29-10-16 22:00,7
29-10-16 21:00,7
29-10-16 20:00,7
29-10-16 19:00,6
29-10-16 18:00,7
29-10-16 17:00,7
29-10-16 16:00,5
29-10-16 15:00,5
29-10-16 14:00,5
29-10-16 13:00,5
29-10-16 12:00,4
29-10-16 11:00,5
29-10-16 10:00,6
29-10-16 09:00,7
29-10-16 08:00,6
29-10-16 07:00,7
29-10-16 06:00,8
29-10-16 05:00,9
29-10-16 04:00,9
29-10-16 03:00,11
29-10-16 02:00,11
29-10-16 01:00,10
29-10-16 00:00,11
28-10-16 23:00,11
28-10-16 22:00,15
28-10-16 21:00,14
28-10-16 20:00,17
28-10-16 19:00,13
28-10-16 18:00,12
28-10-16 17:00,12
28-10-16 16:00,11
28-10-16 15:00,9
28-10-16 14:00,8
28-10-16 13:00,8
28-10-16 12:00,9
28-10-16 11:00,14
28-10-16 10:00,18
28-10-16 09:00,19
28-10-16 08:00,21
28-10-16 07:00,17
28-10-16 06:00,16
28-10-16 05:00,15
28-10-16 04:00,13
28-10-16 03:00,16
28-10-16 02:00,20
28-10-16 01:00,19
28-10-16 00:00,18
27-10-16 23:00,21
27-10-16 22:00,22
27-10-16 21:00,21
27-10-16 20:00,18
27-10-16 19:00,15
27-10-16 18:00,20
27-10-16 17:00,15
27-10-16 16:00,8
27-10-16 15:00,6
27-10-16 14:00,10
27-10-16 13:00,18
27-10-16 12:00,19
27-10-16 11:00,23
27-10-16 10:00,24
27-10-16 09:00,22
27-10-16 08:00,18
27-10-16 07:00,14
27-10-16 06:00,11
27-10-16 05:00,11
27-10-16 04:00,15
27-10-16 03:00,17
27-10-16 02:00,15
27-10-16 01:00,14
27-10-16 00:00,15
26-10-16 23:00,15
26-10-16 22:00,16
26-10-16 21:00,20
26-10-16 20:00,16
26-10-16 19:00,14
26-10-16 18:00,11
26-10-16 17:00,10
26-10-16 16:00,10
26-10-16 15:00,9
26-10-16 14:00,10
26-10-16 13:00,9
26-10-16 12:00,9
26-10-16 11:00,9
26-10-16 10:00,8
26-10-16 09:00,9
26-10-16 08:00,7
26-10-16 07:00,6
26-10-16 06:00,5
26-10-16 05:00,6
26-10-16 04:00,7
26-10-16 03:00,11
26-10-16 02:00,17
26-10-16 01:00,21
26-10-16 00:00,22
25-10-16 23:00,23
25-10-16 22:00,29
25-10-16 21:00,26
25-10-16 20:00,28
25-10-16 19:00,25
25-10-16 18:00,25
25-10-16 17:00,23
25-10-16 16:00,24
25-10-16 15:00,18
25-10-16 14:00,18
25-10-16 13:00,17
25-10-16 12:00,17
25-10-16 11:00,17
25-10-16 10:00,17
25-10-16 09:00,19
25-10-16 08:00,20
25-10-16 07:00,21
25-10-16 06:00,21
25-10-16 05:00,24
25-10-16 04:00,21
25-10-16 03:00,18
25-10-16 02:00,15
25-10-16 01:00,15
25-10-16 00:00,14
24-10-16 23:00,16
24-10-16 22:00,14
24-10-16 21:00,13
24-10-16 20:00,13
24-10-16 19:00,14
24-10-16 18:00,14
24-10-16 17:00,18
24-10-16 16:00,14
24-10-16 15:00,17
24-10-16 14:00,17
24-10-16 13:00,14
24-10-16 12:00,12
24-10-16 11:00,11
24-10-16 10:00,10
24-10-16 09:00,12
24-10-16 08:00,15
24-10-16 07:00,14
24-10-16 06:00,11
24-10-16 05:00,11
24-10-16 04:00,11
24-10-16 03:00,10
24-10-16 02:00,10
24-10-16 01:00,13
24-10-16 00:00,13
23-10-16 23:00,12
23-10-16 22:00,14
23-10-16 21:00,18
23-10-16 20:00,21
23-10-16 19:00,15
23-10-16 18:00,11
23-10-16 17:00,8
