Datum Zeit,Zwickau-Werdauer Straße NO2
,µg/m³
01-01-17 00:00,
31-12-16 23:00,
31-12-16 22:00,
31-12-16 21:00,
31-12-16 20:00,
31-12-16 19:00,
31-12-16 18:00,
31-12-16 17:00,
31-12-16 16:00,
31-12-16 15:00,
31-12-16 14:00,
31-12-16 13:00,
31-12-16 12:00,
31-12-16 11:00,
31-12-16 10:00,
31-12-16 09:00,
31-12-16 08:00,
31-12-16 07:00,
31-12-16 06:00,
31-12-16 05:00,
31-12-16 04:00,
31-12-16 03:00,
31-12-16 02:00,
31-12-16 01:00,
31-12-16 00:00,
30-12-16 23:00,
30-12-16 22:00,
30-12-16 21:00,
30-12-16 20:00,
30-12-16 19:00,
30-12-16 18:00,
30-12-16 17:00,
30-12-16 16:00,
30-12-16 15:00,
30-12-16 14:00,
30-12-16 13:00,
30-12-16 12:00,
30-12-16 11:00,
30-12-16 10:00,
30-12-16 09:00,
30-12-16 08:00,
30-12-16 07:00,
30-12-16 06:00,
30-12-16 05:00,
30-12-16 04:00,
30-12-16 03:00,
30-12-16 02:00,
30-12-16 01:00,
30-12-16 00:00,
29-12-16 23:00,
29-12-16 22:00,
29-12-16 21:00,
29-12-16 20:00,
29-12-16 19:00,
29-12-16 18:00,
29-12-16 17:00,47
29-12-16 16:00,45
29-12-16 15:00,39
29-12-16 14:00,38
29-12-16 13:00,42
29-12-16 12:00,50
29-12-16 11:00,32
29-12-16 10:00,39
29-12-16 09:00,36
29-12-16 08:00,36
29-12-16 07:00,34
29-12-16 06:00,24
29-12-16 05:00,18
29-12-16 04:00,16
29-12-16 03:00,15
29-12-16 02:00,14
29-12-16 01:00,15
29-12-16 00:00,12
28-12-16 23:00,16
28-12-16 22:00,16
28-12-16 21:00,19
28-12-16 20:00,17
28-12-16 19:00,18
28-12-16 18:00,15
28-12-16 17:00,15
28-12-16 16:00,14
28-12-16 15:00,14
28-12-16 14:00,13
28-12-16 13:00,14
28-12-16 12:00,15
28-12-16 11:00,14
28-12-16 10:00,12
28-12-16 09:00,12
28-12-16 08:00,16
28-12-16 07:00,12
28-12-16 06:00,11
28-12-16 05:00,7
28-12-16 04:00,7
28-12-16 03:00,10
28-12-16 02:00,8
28-12-16 01:00,9
28-12-16 00:00,11
27-12-16 23:00,13
27-12-16 22:00,12
27-12-16 21:00,12
27-12-16 20:00,20
27-12-16 19:00,24
27-12-16 18:00,25
27-12-16 17:00,24
27-12-16 16:00,26
27-12-16 15:00,24
27-12-16 14:00,21
27-12-16 13:00,17
27-12-16 12:00,23
27-12-16 11:00,20
27-12-16 10:00,18
27-12-16 09:00,16
27-12-16 08:00,16
27-12-16 07:00,12
27-12-16 06:00,11
27-12-16 05:00,6
27-12-16 04:00,6
27-12-16 03:00,6
27-12-16 02:00,7
27-12-16 01:00,7
27-12-16 00:00,10
26-12-16 23:00,8
26-12-16 22:00,13
26-12-16 21:00,13
26-12-16 20:00,12
26-12-16 19:00,10
26-12-16 18:00,16
26-12-16 17:00,20
26-12-16 16:00,16
26-12-16 15:00,9
26-12-16 14:00,9
26-12-16 13:00,9
26-12-16 12:00,10
26-12-16 11:00,9
26-12-16 10:00,7
26-12-16 09:00,5
26-12-16 08:00,6
26-12-16 07:00,6
26-12-16 06:00,6
26-12-16 05:00,5
26-12-16 04:00,6
26-12-16 03:00,7
26-12-16 02:00,7
26-12-16 01:00,8
26-12-16 00:00,10
25-12-16 23:00,13
25-12-16 22:00,10
25-12-16 21:00,15
25-12-16 20:00,13
25-12-16 19:00,12
25-12-16 18:00,13
25-12-16 17:00,9
25-12-16 16:00,9
25-12-16 15:00,9
25-12-16 14:00,7
25-12-16 13:00,7
25-12-16 12:00,9
25-12-16 11:00,7
25-12-16 10:00,5
25-12-16 09:00,4
25-12-16 08:00,5
25-12-16 07:00,4
25-12-16 06:00,5
25-12-16 05:00,4
25-12-16 04:00,4
25-12-16 03:00,4
25-12-16 02:00,5
25-12-16 01:00,5
25-12-16 00:00,7
24-12-16 23:00,7
24-12-16 22:00,8
24-12-16 21:00,8
24-12-16 20:00,7
24-12-16 19:00,9
24-12-16 18:00,11
24-12-16 17:00,12
24-12-16 16:00,13
24-12-16 15:00,13
24-12-16 14:00,11
24-12-16 13:00,15
24-12-16 12:00,17
24-12-16 11:00,16
24-12-16 10:00,13
24-12-16 09:00,12
24-12-16 08:00,13
24-12-16 07:00,15
24-12-16 06:00,20
24-12-16 05:00,22
24-12-16 04:00,26
24-12-16 03:00,26
24-12-16 02:00,24
24-12-16 01:00,30
24-12-16 00:00,30
23-12-16 23:00,27
23-12-16 22:00,26
23-12-16 21:00,43
23-12-16 20:00,48
23-12-16 19:00,49
23-12-16 18:00,50
23-12-16 17:00,50
23-12-16 16:00,38
23-12-16 15:00,35
23-12-16 14:00,33
23-12-16 13:00,35
23-12-16 12:00,34
23-12-16 11:00,32
23-12-16 10:00,37
23-12-16 09:00,38
23-12-16 08:00,41
23-12-16 07:00,40
23-12-16 06:00,37
23-12-16 05:00,36
23-12-16 04:00,35
23-12-16 03:00,34
23-12-16 02:00,36
23-12-16 01:00,37
23-12-16 00:00,36
22-12-16 23:00,34
22-12-16 22:00,31
22-12-16 21:00,31
22-12-16 20:00,37
22-12-16 19:00,39
22-12-16 18:00,46
22-12-16 17:00,53
22-12-16 16:00,51
22-12-16 15:00,42
22-12-16 14:00,27
22-12-16 13:00,23
22-12-16 12:00,27
22-12-16 11:00,36
22-12-16 10:00,35
22-12-16 09:00,62
22-12-16 08:00,67
22-12-16 07:00,44
22-12-16 06:00,39
22-12-16 05:00,31
22-12-16 04:00,31
22-12-16 03:00,30
22-12-16 02:00,30
22-12-16 01:00,32
22-12-16 00:00,35
21-12-16 23:00,32
21-12-16 22:00,34
21-12-16 21:00,27
21-12-16 20:00,27
21-12-16 19:00,31
21-12-16 18:00,40
21-12-16 17:00,42
21-12-16 16:00,37
21-12-16 15:00,26
21-12-16 14:00,23
21-12-16 13:00,21
21-12-16 12:00,22
21-12-16 11:00,31
21-12-16 10:00,40
21-12-16 09:00,38
21-12-16 08:00,36
21-12-16 07:00,33
21-12-16 06:00,29
21-12-16 05:00,28
21-12-16 04:00,29
21-12-16 03:00,29
21-12-16 02:00,30
21-12-16 01:00,33
21-12-16 00:00,35
20-12-16 23:00,40
20-12-16 22:00,44
20-12-16 21:00,49
20-12-16 20:00,47
20-12-16 19:00,56
20-12-16 18:00,66
20-12-16 17:00,54
20-12-16 16:00,44
20-12-16 15:00,50
20-12-16 14:00,51
20-12-16 13:00,49
20-12-16 12:00,57
20-12-16 11:00,56
20-12-16 10:00,47
20-12-16 09:00,48
20-12-16 08:00,39
20-12-16 07:00,34
20-12-16 06:00,31
20-12-16 05:00,30
20-12-16 04:00,30
20-12-16 03:00,28
20-12-16 02:00,33
20-12-16 01:00,34
20-12-16 00:00,38
19-12-16 23:00,42
19-12-16 22:00,40
19-12-16 21:00,44
19-12-16 20:00,45
19-12-16 19:00,50
