Datum Zeit,Brockau NO
,µg/m³
01-03-17 00:00,
28-02-17 23:00,
28-02-17 22:00,
28-02-17 21:00,
28-02-17 20:00,
28-02-17 19:00,
28-02-17 18:00,
28-02-17 17:00,
28-02-17 16:00,
28-02-17 15:00,
28-02-17 14:00,
28-02-17 13:00,
28-02-17 12:00,
28-02-17 11:00,
28-02-17 10:00,
28-02-17 09:00,
28-02-17 08:00,
28-02-17 07:00,
28-02-17 06:00,
28-02-17 05:00,
28-02-17 04:00,
28-02-17 03:00,
28-02-17 02:00,
28-02-17 01:00,
28-02-17 00:00,
27-02-17 23:00,
27-02-17 22:00,
27-02-17 21:00,
27-02-17 20:00,
27-02-17 19:00,
27-02-17 18:00,
27-02-17 17:00,
27-02-17 16:00,
27-02-17 15:00,
27-02-17 14:00,
27-02-17 13:00,
27-02-17 12:00,
27-02-17 11:00,
27-02-17 10:00,
27-02-17 09:00,
27-02-17 08:00,
27-02-17 07:00,
27-02-17 06:00,
27-02-17 05:00,
27-02-17 04:00,
27-02-17 03:00,
27-02-17 02:00,
27-02-17 01:00,
27-02-17 00:00,
26-02-17 23:00,
26-02-17 22:00,
26-02-17 21:00,
26-02-17 20:00,
26-02-17 19:00,
26-02-17 18:00,
26-02-17 17:00,
26-02-17 16:00,
26-02-17 15:00,
26-02-17 14:00,
26-02-17 13:00,
26-02-17 12:00,
26-02-17 11:00,
26-02-17 10:00,
26-02-17 09:00,
26-02-17 08:00,
26-02-17 07:00,
26-02-17 06:00,
26-02-17 05:00,
26-02-17 04:00,
26-02-17 03:00,
26-02-17 02:00,
26-02-17 01:00,
26-02-17 00:00,
25-02-17 23:00,
25-02-17 22:00,
25-02-17 21:00,
25-02-17 20:00,
25-02-17 19:00,
25-02-17 18:00,
25-02-17 17:00,
25-02-17 16:00,
25-02-17 15:00,
25-02-17 14:00,
25-02-17 13:00,
25-02-17 12:00,
25-02-17 11:00,
25-02-17 10:00,
25-02-17 09:00,
25-02-17 08:00,
25-02-17 07:00,
25-02-17 06:00,
25-02-17 05:00,
25-02-17 04:00,
25-02-17 03:00,
25-02-17 02:00,
25-02-17 01:00,
25-02-17 00:00,
24-02-17 23:00,
24-02-17 22:00,
24-02-17 21:00,
24-02-17 20:00,
24-02-17 19:00,
24-02-17 18:00,
24-02-17 17:00,
24-02-17 16:00,
24-02-17 15:00,
24-02-17 14:00,
24-02-17 13:00,
24-02-17 12:00,
24-02-17 11:00,
24-02-17 10:00,
24-02-17 09:00,
24-02-17 08:00,
24-02-17 07:00,
24-02-17 06:00,
24-02-17 05:00,
24-02-17 04:00,
24-02-17 03:00,
24-02-17 02:00,
24-02-17 01:00,
24-02-17 00:00,
23-02-17 23:00,
23-02-17 22:00,
23-02-17 21:00,
23-02-17 20:00,
23-02-17 19:00,
23-02-17 18:00,
23-02-17 17:00,1
23-02-17 16:00,1
23-02-17 15:00,1
23-02-17 14:00,1
23-02-17 13:00,1
23-02-17 12:00,1
23-02-17 11:00,26
23-02-17 10:00,1
23-02-17 09:00,1
23-02-17 08:00,1
23-02-17 07:00,1
23-02-17 06:00,1
23-02-17 05:00,1
23-02-17 04:00,1
23-02-17 03:00,1
23-02-17 02:00,1
23-02-17 01:00,1
23-02-17 00:00,1
22-02-17 23:00,1
22-02-17 22:00,1
22-02-17 21:00,1
22-02-17 20:00,1
22-02-17 19:00,1
22-02-17 18:00,1
22-02-17 17:00,1
22-02-17 16:00,
22-02-17 15:00,
22-02-17 14:00,
22-02-17 13:00,
22-02-17 12:00,
22-02-17 11:00,1
22-02-17 10:00,1
22-02-17 09:00,1
22-02-17 08:00,1
22-02-17 07:00,1
22-02-17 06:00,1
22-02-17 05:00,1
22-02-17 04:00,1
22-02-17 03:00,1
22-02-17 02:00,1
22-02-17 01:00,1
22-02-17 00:00,1
21-02-17 23:00,1
21-02-17 22:00,1
21-02-17 21:00,1
21-02-17 20:00,1
21-02-17 19:00,1
21-02-17 18:00,1
21-02-17 17:00,1
21-02-17 16:00,1
21-02-17 15:00,1
21-02-17 14:00,1
21-02-17 13:00,1
21-02-17 12:00,1
21-02-17 11:00,1
21-02-17 10:00,1
21-02-17 09:00,1
21-02-17 08:00,1
21-02-17 07:00,1
21-02-17 06:00,1
21-02-17 05:00,1
21-02-17 04:00,1
21-02-17 03:00,1
21-02-17 02:00,1
21-02-17 01:00,1
21-02-17 00:00,1
20-02-17 23:00,1
20-02-17 22:00,1
20-02-17 21:00,1
20-02-17 20:00,1
20-02-17 19:00,1
20-02-17 18:00,1
20-02-17 17:00,1
20-02-17 16:00,1
20-02-17 15:00,1
20-02-17 14:00,1
20-02-17 13:00,1
20-02-17 12:00,2
20-02-17 11:00,3
20-02-17 10:00,2
20-02-17 09:00,2
20-02-17 08:00,1
20-02-17 07:00,1
20-02-17 06:00,1
20-02-17 05:00,1
20-02-17 04:00,1
20-02-17 03:00,1
20-02-17 02:00,1
20-02-17 01:00,1
20-02-17 00:00,1
19-02-17 23:00,1
19-02-17 22:00,1
19-02-17 21:00,1
19-02-17 20:00,1
19-02-17 19:00,1
19-02-17 18:00,1
19-02-17 17:00,1
19-02-17 16:00,1
19-02-17 15:00,1
19-02-17 14:00,1
19-02-17 13:00,1
19-02-17 12:00,1
19-02-17 11:00,3
19-02-17 10:00,3
19-02-17 09:00,1
19-02-17 08:00,1
19-02-17 07:00,1
19-02-17 06:00,1
19-02-17 05:00,1
19-02-17 04:00,1
19-02-17 03:00,1
19-02-17 02:00,1
19-02-17 01:00,1
19-02-17 00:00,1
18-02-17 23:00,1
18-02-17 22:00,1
18-02-17 21:00,1
18-02-17 20:00,1
18-02-17 19:00,1
18-02-17 18:00,1
18-02-17 17:00,1
18-02-17 16:00,1
18-02-17 15:00,1
18-02-17 14:00,1
18-02-17 13:00,1
18-02-17 12:00,1
18-02-17 11:00,1
18-02-17 10:00,1
18-02-17 09:00,1
18-02-17 08:00,1
18-02-17 07:00,1
18-02-17 06:00,1
18-02-17 05:00,1
18-02-17 04:00,1
18-02-17 03:00,1
18-02-17 02:00,1
18-02-17 01:00,1
18-02-17 00:00,1
17-02-17 23:00,1
17-02-17 22:00,1
17-02-17 21:00,1
17-02-17 20:00,1
17-02-17 19:00,1
17-02-17 18:00,1
17-02-17 17:00,1
17-02-17 16:00,1
17-02-17 15:00,1
17-02-17 14:00,1
17-02-17 13:00,2
17-02-17 12:00,3
17-02-17 11:00,5
17-02-17 10:00,3
17-02-17 09:00,1
17-02-17 08:00,1
17-02-17 07:00,1
17-02-17 06:00,1
17-02-17 05:00,1
17-02-17 04:00,1
17-02-17 03:00,1
17-02-17 02:00,1
17-02-17 01:00,1
17-02-17 00:00,1
16-02-17 23:00,1
16-02-17 22:00,1
16-02-17 21:00,1
16-02-17 20:00,1
16-02-17 19:00,1
16-02-17 18:00,1
16-02-17 17:00,2
16-02-17 16:00,4
16-02-17 15:00,6
16-02-17 14:00,10
16-02-17 13:00,11
16-02-17 12:00,12
16-02-17 11:00,11
16-02-17 10:00,10
16-02-17 09:00,8
16-02-17 08:00,2
16-02-17 07:00,1
16-02-17 06:00,1
16-02-17 05:00,1
16-02-17 04:00,1
16-02-17 03:00,1
16-02-17 02:00,1
16-02-17 01:00,1
16-02-17 00:00,1
15-02-17 23:00,1
15-02-17 22:00,1
15-02-17 21:00,1
15-02-17 20:00,1
15-02-17 19:00,1
15-02-17 18:00,1
15-02-17 17:00,1
15-02-17 16:00,2
15-02-17 15:00,2
15-02-17 14:00,3
15-02-17 13:00,3
15-02-17 12:00,5
15-02-17 11:00,6
15-02-17 10:00,5
15-02-17 09:00,2
15-02-17 08:00,1
15-02-17 07:00,1
15-02-17 06:00,1
15-02-17 05:00,1
15-02-17 04:00,1
15-02-17 03:00,1
15-02-17 02:00,1
15-02-17 01:00,1
15-02-17 00:00,1
14-02-17 23:00,1
14-02-17 22:00,1
14-02-17 21:00,1
14-02-17 20:00,1
14-02-17 19:00,2
14-02-17 18:00,2
14-02-17 17:00,2
14-02-17 16:00,3
14-02-17 15:00,4
14-02-17 14:00,3
14-02-17 13:00,7
14-02-17 12:00,10
14-02-17 11:00,8
14-02-17 10:00,11
14-02-17 09:00,8
14-02-17 08:00,5
14-02-17 07:00,5
14-02-17 06:00,1
14-02-17 05:00,1
14-02-17 04:00,1
14-02-17 03:00,1
14-02-17 02:00,1
14-02-17 01:00,1
14-02-17 00:00,1
13-02-17 23:00,1
13-02-17 22:00,1
13-02-17 21:00,1
13-02-17 20:00,1
13-02-17 19:00,1
13-02-17 18:00,1
13-02-17 17:00,1
13-02-17 16:00,2
13-02-17 15:00,6
13-02-17 14:00,9
13-02-17 13:00,11
13-02-17 12:00,13
13-02-17 11:00,13
13-02-17 10:00,13
13-02-17 09:00,9
13-02-17 08:00,2
13-02-17 07:00,1
13-02-17 06:00,1
13-02-17 05:00,1
13-02-17 04:00,1
13-02-17 03:00,1
13-02-17 02:00,1
13-02-17 01:00,1
13-02-17 00:00,1
12-02-17 23:00,1
12-02-17 22:00,1
12-02-17 21:00,1
12-02-17 20:00,1
12-02-17 19:00,1
12-02-17 18:00,1
12-02-17 17:00,1
12-02-17 16:00,1
12-02-17 15:00,1
12-02-17 14:00,1
12-02-17 13:00,1
12-02-17 12:00,1
12-02-17 11:00,3
12-02-17 10:00,2
12-02-17 09:00,1
12-02-17 08:00,1
12-02-17 07:00,1
12-02-17 06:00,1
12-02-17 05:00,1
12-02-17 04:00,1
12-02-17 03:00,1
12-02-17 02:00,1
12-02-17 01:00,1
12-02-17 00:00,1
11-02-17 23:00,1
11-02-17 22:00,1
11-02-17 21:00,1
11-02-17 20:00,1
11-02-17 19:00,1
11-02-17 18:00,1
11-02-17 17:00,1
11-02-17 16:00,1
11-02-17 15:00,1
11-02-17 14:00,2
11-02-17 13:00,2
11-02-17 12:00,3
11-02-17 11:00,6
11-02-17 10:00,9
11-02-17 09:00,5
11-02-17 08:00,1
11-02-17 07:00,1
11-02-17 06:00,1
11-02-17 05:00,1
11-02-17 04:00,2
11-02-17 03:00,1
11-02-17 02:00,1
11-02-17 01:00,1
11-02-17 00:00,1
10-02-17 23:00,1
10-02-17 22:00,1
10-02-17 21:00,1
10-02-17 20:00,1
10-02-17 19:00,1
10-02-17 18:00,1
10-02-17 17:00,1
10-02-17 16:00,2
10-02-17 15:00,2
10-02-17 14:00,2
10-02-17 13:00,3
10-02-17 12:00,4
10-02-17 11:00,5
10-02-17 10:00,7
10-02-17 09:00,5
10-02-17 08:00,3
10-02-17 07:00,1
10-02-17 06:00,1
10-02-17 05:00,1
10-02-17 04:00,1
10-02-17 03:00,1
10-02-17 02:00,1
10-02-17 01:00,1
10-02-17 00:00,1
09-02-17 23:00,1
09-02-17 22:00,1
09-02-17 21:00,1
09-02-17 20:00,1
09-02-17 19:00,1
09-02-17 18:00,1
09-02-17 17:00,2
09-02-17 16:00,3
09-02-17 15:00,3
09-02-17 14:00,4
09-02-17 13:00,6
09-02-17 12:00,6
09-02-17 11:00,5
09-02-17 10:00,4
09-02-17 09:00,2
09-02-17 08:00,1
09-02-17 07:00,1
09-02-17 06:00,1
