Datum Zeit,Dresden-Nord O3
,µg/m³
01-04-17 00:00,
31-03-17 23:00,
31-03-17 22:00,
31-03-17 21:00,
31-03-17 20:00,
31-03-17 19:00,
31-03-17 18:00,
31-03-17 17:00,
31-03-17 16:00,
31-03-17 15:00,
31-03-17 14:00,
31-03-17 13:00,
31-03-17 12:00,
31-03-17 11:00,
31-03-17 10:00,
31-03-17 09:00,
31-03-17 08:00,
31-03-17 07:00,
31-03-17 06:00,
31-03-17 05:00,
31-03-17 04:00,
31-03-17 03:00,
31-03-17 02:00,
31-03-17 01:00,
31-03-17 00:00,
30-03-17 23:00,
30-03-17 22:00,
30-03-17 21:00,
30-03-17 20:00,
30-03-17 19:00,
30-03-17 18:00,
30-03-17 17:00,
30-03-17 16:00,
30-03-17 15:00,
30-03-17 14:00,
30-03-17 13:00,
30-03-17 12:00,
30-03-17 11:00,
30-03-17 10:00,
30-03-17 09:00,
30-03-17 08:00,
30-03-17 07:00,
30-03-17 06:00,
30-03-17 05:00,
30-03-17 04:00,
30-03-17 03:00,
30-03-17 02:00,
30-03-17 01:00,
30-03-17 00:00,
29-03-17 23:00,
29-03-17 22:00,
29-03-17 21:00,
29-03-17 20:00,
29-03-17 19:00,
29-03-17 18:00,
29-03-17 17:00,
29-03-17 16:00,
29-03-17 15:00,
29-03-17 14:00,
29-03-17 13:00,
29-03-17 12:00,
29-03-17 11:00,
29-03-17 10:00,
29-03-17 09:00,
29-03-17 08:00,
29-03-17 07:00,
29-03-17 06:00,
29-03-17 05:00,
29-03-17 04:00,
29-03-17 03:00,
29-03-17 02:00,
29-03-17 01:00,
29-03-17 00:00,
28-03-17 23:00,
28-03-17 22:00,
28-03-17 21:00,
28-03-17 20:00,
28-03-17 19:00,
28-03-17 18:00,
28-03-17 17:00,
28-03-17 16:00,
28-03-17 15:00,
28-03-17 14:00,
28-03-17 13:00,
28-03-17 12:00,
28-03-17 11:00,
28-03-17 10:00,
28-03-17 09:00,
28-03-17 08:00,
28-03-17 07:00,
28-03-17 06:00,
28-03-17 05:00,
28-03-17 04:00,
28-03-17 03:00,
28-03-17 02:00,
28-03-17 01:00,
28-03-17 00:00,
27-03-17 23:00,
27-03-17 22:00,
27-03-17 21:00,
27-03-17 20:00,
27-03-17 19:00,
27-03-17 18:00,
27-03-17 17:00,
27-03-17 16:00,
27-03-17 15:00,
27-03-17 14:00,
27-03-17 13:00,
27-03-17 12:00,
27-03-17 11:00,
27-03-17 10:00,
27-03-17 09:00,
27-03-17 08:00,
27-03-17 07:00,
27-03-17 06:00,
27-03-17 05:00,
27-03-17 04:00,
27-03-17 03:00,
27-03-17 02:00,
27-03-17 01:00,
27-03-17 00:00,
26-03-17 23:00,
26-03-17 22:00,
26-03-17 21:00,
26-03-17 20:00,
26-03-17 19:00,
26-03-17 18:00,
26-03-17 17:00,
26-03-17 16:00,
26-03-17 15:00,
26-03-17 14:00,
26-03-17 13:00,
26-03-17 12:00,
26-03-17 11:00,
26-03-17 10:00,
26-03-17 09:00,
26-03-17 08:00,
26-03-17 07:00,
26-03-17 06:00,
26-03-17 05:00,
26-03-17 04:00,
26-03-17 03:00,
26-03-17 02:00,
26-03-17 01:00,
26-03-17 00:00,
25-03-17 23:00,
25-03-17 22:00,
25-03-17 21:00,
25-03-17 20:00,
25-03-17 19:00,
25-03-17 18:00,
25-03-17 17:00,
25-03-17 16:00,
25-03-17 15:00,
25-03-17 14:00,
25-03-17 13:00,
25-03-17 12:00,
25-03-17 11:00,
25-03-17 10:00,
25-03-17 09:00,
25-03-17 08:00,
25-03-17 07:00,
25-03-17 06:00,
25-03-17 05:00,
25-03-17 04:00,
25-03-17 03:00,
25-03-17 02:00,
25-03-17 01:00,
25-03-17 00:00,
24-03-17 23:00,
24-03-17 22:00,
24-03-17 21:00,
24-03-17 20:00,
24-03-17 19:00,
24-03-17 18:00,
24-03-17 17:00,
24-03-17 16:00,
24-03-17 15:00,
24-03-17 14:00,
24-03-17 13:00,
24-03-17 12:00,
24-03-17 11:00,
24-03-17 10:00,
24-03-17 09:00,
24-03-17 08:00,
24-03-17 07:00,
24-03-17 06:00,
24-03-17 05:00,27
24-03-17 04:00,30
24-03-17 03:00,35
24-03-17 02:00,37
24-03-17 01:00,33
24-03-17 00:00,33
23-03-17 23:00,34
23-03-17 22:00,30
23-03-17 21:00,38
23-03-17 20:00,40
23-03-17 19:00,39
23-03-17 18:00,45
23-03-17 17:00,46
23-03-17 16:00,46
23-03-17 15:00,48
23-03-17 14:00,47
23-03-17 13:00,50
23-03-17 12:00,54
23-03-17 11:00,46
23-03-17 10:00,42
23-03-17 09:00,35
23-03-17 08:00,32
23-03-17 07:00,49
23-03-17 06:00,54
23-03-17 05:00,57
23-03-17 04:00,59
23-03-17 03:00,61
23-03-17 02:00,61
23-03-17 01:00,62
23-03-17 00:00,62
22-03-17 23:00,64
22-03-17 22:00,65
22-03-17 21:00,60
22-03-17 20:00,63
22-03-17 19:00,64
22-03-17 18:00,64
22-03-17 17:00,64
22-03-17 16:00,65
22-03-17 15:00,71
22-03-17 14:00,71
22-03-17 13:00,73
22-03-17 12:00,69
22-03-17 11:00,56
22-03-17 10:00,33
22-03-17 09:00,20
22-03-17 08:00,15
22-03-17 07:00,12
22-03-17 06:00,17
22-03-17 05:00,30
22-03-17 04:00,44
22-03-17 03:00,51
22-03-17 02:00,55
22-03-17 01:00,59
22-03-17 00:00,53
21-03-17 23:00,56
21-03-17 22:00,58
21-03-17 21:00,60
21-03-17 20:00,47
21-03-17 19:00,36
21-03-17 18:00,37
21-03-17 17:00,32
21-03-17 16:00,30
21-03-17 15:00,35
21-03-17 14:00,40
21-03-17 13:00,46
21-03-17 12:00,44
21-03-17 11:00,47
21-03-17 10:00,42
21-03-17 09:00,38
21-03-17 08:00,31
21-03-17 07:00,31
21-03-17 06:00,51
21-03-17 05:00,58
21-03-17 04:00,60
21-03-17 03:00,64
21-03-17 02:00,63
21-03-17 01:00,64
21-03-17 00:00,50
20-03-17 23:00,40
20-03-17 22:00,38
20-03-17 21:00,32
20-03-17 20:00,21
20-03-17 19:00,30
20-03-17 18:00,40
20-03-17 17:00,43
20-03-17 16:00,42
20-03-17 15:00,47
20-03-17 14:00,49
20-03-17 13:00,50
20-03-17 12:00,43
20-03-17 11:00,45
20-03-17 10:00,41
20-03-17 09:00,33
20-03-17 08:00,33
