Datum Zeit,Leipzig-Mitte NO2
,µg/m³
01-04-17 00:00,
31-03-17 23:00,
31-03-17 22:00,
31-03-17 21:00,
31-03-17 20:00,
31-03-17 19:00,
31-03-17 18:00,
31-03-17 17:00,
31-03-17 16:00,
31-03-17 15:00,
31-03-17 14:00,
31-03-17 13:00,
31-03-17 12:00,
31-03-17 11:00,
31-03-17 10:00,
31-03-17 09:00,
31-03-17 08:00,
31-03-17 07:00,
31-03-17 06:00,
31-03-17 05:00,
31-03-17 04:00,
31-03-17 03:00,
31-03-17 02:00,
31-03-17 01:00,
31-03-17 00:00,
30-03-17 23:00,
30-03-17 22:00,43
30-03-17 21:00,48
30-03-17 20:00,44
30-03-17 19:00,35
30-03-17 18:00,44
30-03-17 17:00,62
30-03-17 16:00,51
30-03-17 15:00,46
30-03-17 14:00,40
30-03-17 13:00,40
30-03-17 12:00,47
30-03-17 11:00,53
30-03-17 10:00,60
30-03-17 09:00,71
30-03-17 08:00,80
30-03-17 07:00,81
30-03-17 06:00,58
30-03-17 05:00,34
30-03-17 04:00,24
30-03-17 03:00,16
30-03-17 02:00,15
30-03-17 01:00,21
30-03-17 00:00,21
29-03-17 23:00,37
29-03-17 22:00,41
29-03-17 21:00,43
29-03-17 20:00,57
29-03-17 19:00,55
29-03-17 18:00,60
29-03-17 17:00,58
29-03-17 16:00,57
29-03-17 15:00,53
29-03-17 14:00,48
29-03-17 13:00,45
29-03-17 12:00,34
29-03-17 11:00,40
29-03-17 10:00,37
29-03-17 09:00,49
29-03-17 08:00,63
29-03-17 07:00,76
29-03-17 06:00,64
29-03-17 05:00,47
29-03-17 04:00,54
29-03-17 03:00,44
29-03-17 02:00,51
29-03-17 01:00,59
29-03-17 00:00,47
28-03-17 23:00,46
28-03-17 22:00,61
28-03-17 21:00,80
28-03-17 20:00,107
28-03-17 19:00,86
28-03-17 18:00,68
28-03-17 17:00,55
28-03-17 16:00,58
28-03-17 15:00,55
28-03-17 14:00,49
28-03-17 13:00,55
28-03-17 12:00,55
28-03-17 11:00,59
28-03-17 10:00,68
28-03-17 09:00,65
28-03-17 08:00,84
28-03-17 07:00,82
28-03-17 06:00,66
28-03-17 05:00,65
28-03-17 04:00,55
28-03-17 03:00,57
28-03-17 02:00,44
28-03-17 01:00,69
28-03-17 00:00,87
27-03-17 23:00,97
27-03-17 22:00,90
27-03-17 21:00,93
27-03-17 20:00,72
27-03-17 19:00,39
27-03-17 18:00,39
27-03-17 17:00,32
27-03-17 16:00,34
27-03-17 15:00,31
27-03-17 14:00,30
27-03-17 13:00,34
27-03-17 12:00,40
27-03-17 11:00,52
27-03-17 10:00,57
27-03-17 09:00,73
27-03-17 08:00,69
27-03-17 07:00,65
27-03-17 06:00,55
27-03-17 05:00,51
27-03-17 04:00,29
27-03-17 03:00,52
27-03-17 02:00,62
27-03-17 01:00,67
27-03-17 00:00,73
26-03-17 23:00,49
26-03-17 22:00,46
26-03-17 21:00,47
26-03-17 20:00,33
26-03-17 19:00,25
26-03-17 18:00,18
26-03-17 17:00,17
26-03-17 16:00,12
26-03-17 15:00,13
26-03-17 14:00,12
26-03-17 13:00,15
26-03-17 12:00,18
26-03-17 11:00,18
26-03-17 10:00,15
26-03-17 09:00,25
26-03-17 08:00,42
26-03-17 07:00,35
26-03-17 06:00,32
26-03-17 05:00,34
26-03-17 04:00,23
26-03-17 03:00,30
26-03-17 02:00,31
26-03-17 01:00,27
26-03-17 00:00,32
25-03-17 23:00,26
25-03-17 22:00,37
25-03-17 21:00,73
25-03-17 20:00,75
25-03-17 19:00,76
25-03-17 18:00,57
25-03-17 17:00,49
25-03-17 16:00,57
25-03-17 15:00,47
25-03-17 14:00,39
25-03-17 13:00,41
25-03-17 12:00,40
25-03-17 11:00,49
25-03-17 10:00,57
25-03-17 09:00,71
25-03-17 08:00,66
25-03-17 07:00,63
25-03-17 06:00,72
25-03-17 05:00,68
25-03-17 04:00,53
25-03-17 03:00,50
25-03-17 02:00,66
25-03-17 01:00,72
25-03-17 00:00,58
24-03-17 23:00,65
24-03-17 22:00,82
24-03-17 21:00,81
24-03-17 20:00,85
24-03-17 19:00,56
24-03-17 18:00,40
24-03-17 17:00,32
24-03-17 16:00,29
24-03-17 15:00,23
24-03-17 14:00,27
24-03-17 13:00,24
24-03-17 12:00,25
24-03-17 11:00,24
24-03-17 10:00,33
24-03-17 09:00,40
24-03-17 08:00,48
24-03-17 07:00,51
24-03-17 06:00,40
24-03-17 05:00,27
24-03-17 04:00,20
24-03-17 03:00,20
24-03-17 02:00,24
24-03-17 01:00,21
24-03-17 00:00,26
23-03-17 23:00,23
23-03-17 22:00,24
23-03-17 21:00,27
23-03-17 20:00,34
23-03-17 19:00,39
23-03-17 18:00,33
23-03-17 17:00,28
23-03-17 16:00,31
23-03-17 15:00,28
23-03-17 14:00,25
23-03-17 13:00,27
23-03-17 12:00,38
23-03-17 11:00,37
23-03-17 10:00,41
23-03-17 09:00,51
23-03-17 08:00,42
23-03-17 07:00,31
23-03-17 06:00,17
23-03-17 05:00,11
23-03-17 04:00,10
23-03-17 03:00,10
23-03-17 02:00,11
23-03-17 01:00,13
23-03-17 00:00,21
22-03-17 23:00,17
22-03-17 22:00,19
22-03-17 21:00,22
22-03-17 20:00,25
22-03-17 19:00,25
22-03-17 18:00,27
22-03-17 17:00,21
22-03-17 16:00,20
22-03-17 15:00,22
22-03-17 14:00,23
22-03-17 13:00,19
22-03-17 12:00,22
22-03-17 11:00,23
22-03-17 10:00,35
22-03-17 09:00,55
22-03-17 08:00,74
22-03-17 07:00,52
22-03-17 06:00,32
22-03-17 05:00,30
22-03-17 04:00,27
22-03-17 03:00,18
22-03-17 02:00,30
22-03-17 01:00,24
22-03-17 00:00,31
21-03-17 23:00,36
21-03-17 22:00,37
21-03-17 21:00,56
21-03-17 20:00,74
21-03-17 19:00,66
21-03-17 18:00,63
21-03-17 17:00,63
21-03-17 16:00,59
21-03-17 15:00,61
21-03-17 14:00,60
21-03-17 13:00,52
21-03-17 12:00,46
21-03-17 11:00,36
21-03-17 10:00,38
21-03-17 09:00,50
21-03-17 08:00,52
21-03-17 07:00,41
21-03-17 06:00,30
21-03-17 05:00,13
21-03-17 04:00,10
21-03-17 03:00,8
21-03-17 02:00,11
21-03-17 01:00,15
21-03-17 00:00,23
20-03-17 23:00,32
20-03-17 22:00,31
20-03-17 21:00,36
