Datum Zeit,Annaberg-Buchholz NO
,µg/m³
01-08-17 00:00,
31-07-17 23:00,
31-07-17 22:00,
31-07-17 21:00,
31-07-17 20:00,
31-07-17 19:00,
31-07-17 18:00,
31-07-17 17:00,
31-07-17 16:00,
31-07-17 15:00,
31-07-17 14:00,
31-07-17 13:00,
31-07-17 12:00,
31-07-17 11:00,
31-07-17 10:00,
31-07-17 09:00,
31-07-17 08:00,
31-07-17 07:00,
31-07-17 06:00,
31-07-17 05:00,
31-07-17 04:00,
31-07-17 03:00,
31-07-17 02:00,
31-07-17 01:00,
31-07-17 00:00,
30-07-17 23:00,
30-07-17 22:00,
30-07-17 21:00,
30-07-17 20:00,
30-07-17 19:00,
30-07-17 18:00,
30-07-17 17:00,
30-07-17 16:00,
30-07-17 15:00,
30-07-17 14:00,
30-07-17 13:00,
30-07-17 12:00,
30-07-17 11:00,
30-07-17 10:00,
30-07-17 09:00,
30-07-17 08:00,
30-07-17 07:00,
30-07-17 06:00,
30-07-17 05:00,
30-07-17 04:00,
30-07-17 03:00,
30-07-17 02:00,
30-07-17 01:00,
30-07-17 00:00,
29-07-17 23:00,
29-07-17 22:00,
29-07-17 21:00,
29-07-17 20:00,
29-07-17 19:00,
29-07-17 18:00,
29-07-17 17:00,
29-07-17 16:00,
29-07-17 15:00,
29-07-17 14:00,
29-07-17 13:00,
29-07-17 12:00,
29-07-17 11:00,
29-07-17 10:00,
29-07-17 09:00,
29-07-17 08:00,
29-07-17 07:00,
29-07-17 06:00,
29-07-17 05:00,
29-07-17 04:00,
29-07-17 03:00,
29-07-17 02:00,
29-07-17 01:00,
29-07-17 00:00,
28-07-17 23:00,
28-07-17 22:00,
28-07-17 21:00,
28-07-17 20:00,
28-07-17 19:00,
28-07-17 18:00,
28-07-17 17:00,
28-07-17 16:00,
28-07-17 15:00,5
28-07-17 14:00,5
28-07-17 13:00,6
28-07-17 12:00,4
28-07-17 11:00,7
28-07-17 10:00,5
28-07-17 09:00,9
28-07-17 08:00,12
28-07-17 07:00,40
28-07-17 06:00,54
28-07-17 05:00,30
28-07-17 04:00,4
28-07-17 03:00,2
28-07-17 02:00,1
28-07-17 01:00,1
28-07-17 00:00,2
27-07-17 23:00,8
27-07-17 22:00,6
27-07-17 21:00,14
27-07-17 20:00,8
27-07-17 19:00,7
27-07-17 18:00,7
27-07-17 17:00,9
27-07-17 16:00,9
27-07-17 15:00,8
27-07-17 14:00,
27-07-17 13:00,
27-07-17 12:00,
27-07-17 11:00,
27-07-17 10:00,
27-07-17 09:00,7
27-07-17 08:00,6
27-07-17 07:00,12
27-07-17 06:00,14
27-07-17 05:00,5
27-07-17 04:00,2
27-07-17 03:00,1
27-07-17 02:00,1
27-07-17 01:00,1
27-07-17 00:00,1
26-07-17 23:00,1
26-07-17 22:00,2
26-07-17 21:00,1
26-07-17 20:00,2
26-07-17 19:00,2
26-07-17 18:00,4
26-07-17 17:00,4
26-07-17 16:00,5
26-07-17 15:00,6
26-07-17 14:00,12
26-07-17 13:00,8
26-07-17 12:00,7
26-07-17 11:00,9
26-07-17 10:00,9
26-07-17 09:00,8
26-07-17 08:00,9
26-07-17 07:00,14
26-07-17 06:00,14
26-07-17 05:00,16
26-07-17 04:00,2
26-07-17 03:00,1
26-07-17 02:00,1
26-07-17 01:00,1
26-07-17 00:00,1
25-07-17 23:00,1
25-07-17 22:00,1
25-07-17 21:00,2
25-07-17 20:00,3
25-07-17 19:00,6
25-07-17 18:00,9
25-07-17 17:00,6
25-07-17 16:00,8
25-07-17 15:00,9
25-07-17 14:00,6
25-07-17 13:00,6
25-07-17 12:00,5
25-07-17 11:00,6
25-07-17 10:00,9
25-07-17 09:00,7
25-07-17 08:00,5
25-07-17 07:00,9
25-07-17 06:00,7
25-07-17 05:00,5
25-07-17 04:00,2
25-07-17 03:00,2
25-07-17 02:00,1
25-07-17 01:00,1
25-07-17 00:00,1
24-07-17 23:00,1
24-07-17 22:00,1
24-07-17 21:00,2
24-07-17 20:00,3
24-07-17 19:00,4
24-07-17 18:00,6
24-07-17 17:00,8
24-07-17 16:00,19
24-07-17 15:00,21
24-07-17 14:00,14
24-07-17 13:00,15
24-07-17 12:00,11
24-07-17 11:00,12
24-07-17 10:00,19
24-07-17 09:00,15
24-07-17 08:00,18
24-07-17 07:00,32
24-07-17 06:00,36
24-07-17 05:00,16
24-07-17 04:00,4
24-07-17 03:00,2
24-07-17 02:00,1
24-07-17 01:00,1
24-07-17 00:00,2
23-07-17 23:00,3
23-07-17 22:00,3
23-07-17 21:00,4
23-07-17 20:00,3
23-07-17 19:00,2
23-07-17 18:00,3
23-07-17 17:00,3
23-07-17 16:00,2
23-07-17 15:00,3
23-07-17 14:00,3
23-07-17 13:00,3
23-07-17 12:00,3
23-07-17 11:00,3
23-07-17 10:00,5
23-07-17 09:00,3
23-07-17 08:00,4
23-07-17 07:00,2
23-07-17 06:00,2
23-07-17 05:00,1
23-07-17 04:00,1
23-07-17 03:00,1
23-07-17 02:00,2
23-07-17 01:00,2
23-07-17 00:00,3
22-07-17 23:00,7
22-07-17 22:00,4
22-07-17 21:00,5
22-07-17 20:00,6
22-07-17 19:00,6
22-07-17 18:00,7
22-07-17 17:00,6
22-07-17 16:00,9
22-07-17 15:00,4
22-07-17 14:00,4
22-07-17 13:00,3
22-07-17 12:00,5
22-07-17 11:00,4
22-07-17 10:00,8
22-07-17 09:00,8
22-07-17 08:00,6
22-07-17 07:00,5
22-07-17 06:00,5
22-07-17 05:00,7
22-07-17 04:00,2
22-07-17 03:00,2
22-07-17 02:00,2
22-07-17 01:00,2
22-07-17 00:00,3
21-07-17 23:00,4
21-07-17 22:00,3
21-07-17 21:00,6
21-07-17 20:00,7
21-07-17 19:00,5
21-07-17 18:00,7
21-07-17 17:00,9
21-07-17 16:00,4
21-07-17 15:00,6
21-07-17 14:00,6
21-07-17 13:00,9
21-07-17 12:00,7
21-07-17 11:00,10
21-07-17 10:00,13
21-07-17 09:00,8
21-07-17 08:00,9
21-07-17 07:00,25
21-07-17 06:00,23
21-07-17 05:00,13
21-07-17 04:00,2
21-07-17 03:00,1
21-07-17 02:00,1
21-07-17 01:00,2
21-07-17 00:00,1
20-07-17 23:00,2
20-07-17 22:00,3
20-07-17 21:00,4
20-07-17 20:00,3
20-07-17 19:00,4
20-07-17 18:00,6
20-07-17 17:00,5
20-07-17 16:00,4
20-07-17 15:00,8
20-07-17 14:00,10
20-07-17 13:00,6
20-07-17 12:00,6
20-07-17 11:00,5
20-07-17 10:00,7
20-07-17 09:00,7
20-07-17 08:00,9
20-07-17 07:00,19
20-07-17 06:00,18
20-07-17 05:00,4
20-07-17 04:00,2
20-07-17 03:00,1
20-07-17 02:00,1
20-07-17 01:00,1
20-07-17 00:00,1
19-07-17 23:00,3
19-07-17 22:00,4
19-07-17 21:00,6
19-07-17 20:00,7
19-07-17 19:00,6
19-07-17 18:00,7
19-07-17 17:00,6
19-07-17 16:00,7
19-07-17 15:00,7
19-07-17 14:00,9
19-07-17 13:00,8
19-07-17 12:00,8
19-07-17 11:00,8
19-07-17 10:00,7
19-07-17 09:00,8
19-07-17 08:00,31
19-07-17 07:00,45
19-07-17 06:00,55
19-07-17 05:00,24
19-07-17 04:00,7
19-07-17 03:00,3
19-07-17 02:00,1
19-07-17 01:00,1
19-07-17 00:00,2
18-07-17 23:00,3
18-07-17 22:00,3
18-07-17 21:00,8
18-07-17 20:00,6
18-07-17 19:00,5
18-07-17 18:00,7
18-07-17 17:00,9
18-07-17 16:00,9
18-07-17 15:00,10
18-07-17 14:00,6
18-07-17 13:00,9
18-07-17 12:00,11
18-07-17 11:00,11
18-07-17 10:00,19
18-07-17 09:00,19
18-07-17 08:00,13
18-07-17 07:00,29
18-07-17 06:00,29
18-07-17 05:00,17
18-07-17 04:00,5
18-07-17 03:00,2
18-07-17 02:00,2
18-07-17 01:00,2
18-07-17 00:00,3
17-07-17 23:00,2
17-07-17 22:00,2
17-07-17 21:00,2
17-07-17 20:00,3
17-07-17 19:00,3
17-07-17 18:00,3
17-07-17 17:00,5
17-07-17 16:00,5
17-07-17 15:00,6
17-07-17 14:00,12
17-07-17 13:00,7
17-07-17 12:00,6
17-07-17 11:00,7
17-07-17 10:00,19
17-07-17 09:00,7
17-07-17 08:00,9
17-07-17 07:00,16
17-07-17 06:00,45
17-07-17 05:00,22
17-07-17 04:00,5
17-07-17 03:00,1
17-07-17 02:00,1
17-07-17 01:00,1
17-07-17 00:00,1
16-07-17 23:00,5
16-07-17 22:00,1
16-07-17 21:00,3
16-07-17 20:00,2
16-07-17 19:00,3
16-07-17 18:00,1
16-07-17 17:00,2
16-07-17 16:00,3
16-07-17 15:00,3
16-07-17 14:00,3
16-07-17 13:00,2
16-07-17 12:00,2
16-07-17 11:00,3
16-07-17 10:00,3
16-07-17 09:00,3
16-07-17 08:00,3
16-07-17 07:00,4
16-07-17 06:00,6
16-07-17 05:00,5
16-07-17 04:00,2
16-07-17 03:00,2
16-07-17 02:00,3
16-07-17 01:00,3
16-07-17 00:00,3
15-07-17 23:00,6
15-07-17 22:00,3
15-07-17 21:00,7
15-07-17 20:00,4
15-07-17 19:00,7
15-07-17 18:00,4
15-07-17 17:00,4
15-07-17 16:00,3
15-07-17 15:00,3
15-07-17 14:00,3
15-07-17 13:00,4
15-07-17 12:00,6
15-07-17 11:00,6
15-07-17 10:00,7
15-07-17 09:00,5
15-07-17 08:00,4
15-07-17 07:00,2
15-07-17 06:00,2
15-07-17 05:00,3
15-07-17 04:00,1
15-07-17 03:00,2
15-07-17 02:00,1
15-07-17 01:00,1
15-07-17 00:00,3
