Datum Zeit,Borna NO
,µg/m³
01-08-17 00:00,
31-07-17 23:00,
31-07-17 22:00,
31-07-17 21:00,
31-07-17 20:00,
31-07-17 19:00,
31-07-17 18:00,
31-07-17 17:00,
31-07-17 16:00,16
31-07-17 15:00,13
31-07-17 14:00,16
31-07-17 13:00,11
31-07-17 12:00,12
31-07-17 11:00,19
31-07-17 10:00,16
31-07-17 09:00,20
31-07-17 08:00,20
31-07-17 07:00,22
31-07-17 06:00,18
31-07-17 05:00,4
31-07-17 04:00,3
31-07-17 03:00,3
31-07-17 02:00,1
31-07-17 01:00,1
31-07-17 00:00,2
30-07-17 23:00,1
30-07-17 22:00,1
30-07-17 21:00,3
30-07-17 20:00,1
30-07-17 19:00,4
30-07-17 18:00,2
30-07-17 17:00,3
30-07-17 16:00,4
30-07-17 15:00,2
30-07-17 14:00,3
30-07-17 13:00,2
30-07-17 12:00,3
30-07-17 11:00,2
30-07-17 10:00,3
30-07-17 09:00,2
30-07-17 08:00,2
30-07-17 07:00,3
30-07-17 06:00,3
30-07-17 05:00,2
30-07-17 04:00,2
30-07-17 03:00,1
30-07-17 02:00,1
30-07-17 01:00,1
30-07-17 00:00,1
29-07-17 23:00,2
29-07-17 22:00,9
29-07-17 21:00,5
29-07-17 20:00,4
29-07-17 19:00,4
29-07-17 18:00,4
29-07-17 17:00,6
29-07-17 16:00,4
29-07-17 15:00,4
29-07-17 14:00,4
29-07-17 13:00,5
29-07-17 12:00,6
29-07-17 11:00,7
29-07-17 10:00,8
29-07-17 09:00,6
29-07-17 08:00,7
29-07-17 07:00,8
29-07-17 06:00,6
29-07-17 05:00,4
29-07-17 04:00,2
29-07-17 03:00,1
29-07-17 02:00,2
29-07-17 01:00,2
29-07-17 00:00,5
28-07-17 23:00,1
28-07-17 22:00,1
28-07-17 21:00,2
28-07-17 20:00,2
28-07-17 19:00,3
28-07-17 18:00,5
28-07-17 17:00,8
28-07-17 16:00,11
28-07-17 15:00,7
28-07-17 14:00,8
28-07-17 13:00,6
28-07-17 12:00,12
28-07-17 11:00,14
28-07-17 10:00,15
28-07-17 09:00,20
28-07-17 08:00,18
28-07-17 07:00,13
28-07-17 06:00,29
28-07-17 05:00,11
28-07-17 04:00,2
28-07-17 03:00,2
28-07-17 02:00,2
28-07-17 01:00,1
28-07-17 00:00,1
27-07-17 23:00,1
27-07-17 22:00,2
27-07-17 21:00,5
27-07-17 20:00,6
27-07-17 19:00,8
27-07-17 18:00,16
27-07-17 17:00,17
27-07-17 16:00,23
27-07-17 15:00,22
27-07-17 14:00,20
27-07-17 13:00,24
27-07-17 12:00,28
27-07-17 11:00,23
27-07-17 10:00,18
27-07-17 09:00,17
27-07-17 08:00,25
27-07-17 07:00,36
27-07-17 06:00,31
27-07-17 05:00,22
27-07-17 04:00,3
27-07-17 03:00,1
27-07-17 02:00,1
27-07-17 01:00,1
27-07-17 00:00,1
26-07-17 23:00,2
26-07-17 22:00,1
26-07-17 21:00,3
26-07-17 20:00,4
26-07-17 19:00,6
26-07-17 18:00,8
26-07-17 17:00,13
26-07-17 16:00,14
26-07-17 15:00,20
26-07-17 14:00,17
26-07-17 13:00,6
26-07-17 12:00,17
26-07-17 11:00,16
26-07-17 10:00,19
26-07-17 09:00,15
26-07-17 08:00,15
26-07-17 07:00,21
26-07-17 06:00,14
26-07-17 05:00,5
26-07-17 04:00,1
26-07-17 03:00,2
26-07-17 02:00,1
26-07-17 01:00,1
26-07-17 00:00,1
25-07-17 23:00,1
25-07-17 22:00,1
25-07-17 21:00,2
25-07-17 20:00,3
25-07-17 19:00,5
25-07-17 18:00,8
25-07-17 17:00,11
25-07-17 16:00,9
25-07-17 15:00,14
25-07-17 14:00,15
25-07-17 13:00,12
25-07-17 12:00,18
25-07-17 11:00,23
25-07-17 10:00,26
25-07-17 09:00,35
25-07-17 08:00,25
25-07-17 07:00,25
25-07-17 06:00,11
25-07-17 05:00,5
25-07-17 04:00,2
25-07-17 03:00,1
25-07-17 02:00,1
25-07-17 01:00,1
25-07-17 00:00,1
24-07-17 23:00,1
24-07-17 22:00,2
24-07-17 21:00,2
24-07-17 20:00,4
24-07-17 19:00,10
24-07-17 18:00,15
24-07-17 17:00,22
24-07-17 16:00,15
24-07-17 15:00,22
24-07-17 14:00,15
24-07-17 13:00,16
24-07-17 12:00,21
24-07-17 11:00,24
24-07-17 10:00,29
24-07-17 09:00,31
24-07-17 08:00,36
24-07-17 07:00,35
24-07-17 06:00,36
24-07-17 05:00,16
24-07-17 04:00,4
24-07-17 03:00,2
24-07-17 02:00,2
24-07-17 01:00,1
24-07-17 00:00,3
23-07-17 23:00,1
23-07-17 22:00,1
23-07-17 21:00,1
23-07-17 20:00,1
23-07-17 19:00,2
23-07-17 18:00,2
23-07-17 17:00,2
23-07-17 16:00,3
23-07-17 15:00,2
23-07-17 14:00,1
23-07-17 13:00,2
23-07-17 12:00,2
23-07-17 11:00,3
23-07-17 10:00,5
23-07-17 09:00,8
23-07-17 08:00,7
23-07-17 07:00,3
23-07-17 06:00,1
23-07-17 05:00,1
23-07-17 04:00,1
23-07-17 03:00,1
23-07-17 02:00,1
23-07-17 01:00,1
23-07-17 00:00,2
22-07-17 23:00,2
22-07-17 22:00,3
22-07-17 21:00,2
22-07-17 20:00,1
22-07-17 19:00,1
22-07-17 18:00,1
22-07-17 17:00,3
22-07-17 16:00,5
22-07-17 15:00,4
22-07-17 14:00,4
22-07-17 13:00,5
22-07-17 12:00,3
22-07-17 11:00,9
22-07-17 10:00,16
22-07-17 09:00,14
22-07-17 08:00,7
22-07-17 07:00,3
22-07-17 06:00,1
22-07-17 05:00,1
22-07-17 04:00,1
22-07-17 03:00,1
22-07-17 02:00,1
22-07-17 01:00,1
22-07-17 00:00,1
21-07-17 23:00,1
21-07-17 22:00,1
21-07-17 21:00,1
21-07-17 20:00,1
21-07-17 19:00,2
21-07-17 18:00,2
21-07-17 17:00,6
21-07-17 16:00,8
21-07-17 15:00,11
21-07-17 14:00,4
21-07-17 13:00,10
21-07-17 12:00,12
21-07-17 11:00,15
21-07-17 10:00,18
21-07-17 09:00,17
21-07-17 08:00,15
21-07-17 07:00,27
21-07-17 06:00,31
21-07-17 05:00,9
21-07-17 04:00,6
21-07-17 03:00,2
21-07-17 02:00,1
21-07-17 01:00,1
21-07-17 00:00,1
20-07-17 23:00,3
20-07-17 22:00,2
20-07-17 21:00,3
20-07-17 20:00,3
20-07-17 19:00,4
20-07-17 18:00,7
20-07-17 17:00,6
20-07-17 16:00,10
20-07-17 15:00,12
20-07-17 14:00,15
20-07-17 13:00,13
20-07-17 12:00,11
20-07-17 11:00,12
20-07-17 10:00,17
20-07-17 09:00,20
20-07-17 08:00,21
20-07-17 07:00,27
20-07-17 06:00,16
20-07-17 05:00,4
20-07-17 04:00,1
20-07-17 03:00,1
20-07-17 02:00,1
20-07-17 01:00,1
20-07-17 00:00,1
19-07-17 23:00,1
19-07-17 22:00,1
19-07-17 21:00,1
19-07-17 20:00,3
19-07-17 19:00,3
19-07-17 18:00,7
19-07-17 17:00,10
19-07-17 16:00,11
19-07-17 15:00,13
19-07-17 14:00,12
19-07-17 13:00,11
19-07-17 12:00,17
19-07-17 11:00,12
19-07-17 10:00,11
19-07-17 09:00,16
19-07-17 08:00,29
19-07-17 07:00,25
19-07-17 06:00,26
19-07-17 05:00,4
19-07-17 04:00,1
19-07-17 03:00,1
19-07-17 02:00,1
19-07-17 01:00,1
19-07-17 00:00,1
18-07-17 23:00,1
18-07-17 22:00,1
18-07-17 21:00,1
18-07-17 20:00,1
18-07-17 19:00,3
18-07-17 18:00,6
18-07-17 17:00,15
18-07-17 16:00,16
18-07-17 15:00,9
18-07-17 14:00,17
18-07-17 13:00,6
18-07-17 12:00,16
18-07-17 11:00,20
18-07-17 10:00,11
18-07-17 09:00,25
18-07-17 08:00,21
18-07-17 07:00,35
18-07-17 06:00,13
18-07-17 05:00,8
18-07-17 04:00,1
18-07-17 03:00,4
18-07-17 02:00,1
18-07-17 01:00,1
18-07-17 00:00,1
17-07-17 23:00,2
17-07-17 22:00,1
17-07-17 21:00,3
17-07-17 20:00,1
17-07-17 19:00,2
17-07-17 18:00,4
17-07-17 17:00,5
17-07-17 16:00,5
17-07-17 15:00,5
17-07-17 14:00,7
17-07-17 13:00,12
17-07-17 12:00,18
17-07-17 11:00,34
17-07-17 10:00,14
17-07-17 09:00,17
17-07-17 08:00,28
17-07-17 07:00,20
17-07-17 06:00,12
17-07-17 05:00,4
17-07-17 04:00,2
17-07-17 03:00,1
17-07-17 02:00,1
17-07-17 01:00,1
17-07-17 00:00,1
16-07-17 23:00,2
16-07-17 22:00,2
16-07-17 21:00,2
16-07-17 20:00,2
16-07-17 19:00,3
16-07-17 18:00,2
16-07-17 17:00,3
16-07-17 16:00,3
16-07-17 15:00,1
16-07-17 14:00,3
16-07-17 13:00,3
16-07-17 12:00,2
16-07-17 11:00,4
16-07-17 10:00,4
16-07-17 09:00,3
16-07-17 08:00,4
16-07-17 07:00,4
16-07-17 06:00,4
16-07-17 05:00,3
16-07-17 04:00,3
16-07-17 03:00,1
16-07-17 02:00,2
16-07-17 01:00,1
16-07-17 00:00,2
15-07-17 23:00,4
15-07-17 22:00,4
15-07-17 21:00,1
15-07-17 20:00,1
15-07-17 19:00,2
15-07-17 18:00,1
15-07-17 17:00,4
15-07-17 16:00,3
15-07-17 15:00,5
15-07-17 14:00,5
15-07-17 13:00,6
15-07-17 12:00,6
15-07-17 11:00,13
15-07-17 10:00,13
15-07-17 09:00,11
15-07-17 08:00,4
15-07-17 07:00,4
15-07-17 06:00,2
15-07-17 05:00,3
