Datum Zeit,Chemnitz-Hans-Link-Straße O3
,µg/m³
01-01-18 00:00,
31-12-17 23:00,
31-12-17 22:00,
31-12-17 21:00,
31-12-17 20:00,
31-12-17 19:00,
31-12-17 18:00,
31-12-17 17:00,
31-12-17 16:00,
31-12-17 15:00,
31-12-17 14:00,
31-12-17 13:00,
31-12-17 12:00,
31-12-17 11:00,
31-12-17 10:00,
31-12-17 09:00,
31-12-17 08:00,
31-12-17 07:00,
31-12-17 06:00,
31-12-17 05:00,
31-12-17 04:00,
31-12-17 03:00,
31-12-17 02:00,
31-12-17 01:00,
31-12-17 00:00,
30-12-17 23:00,
30-12-17 22:00,
30-12-17 21:00,
30-12-17 20:00,
30-12-17 19:00,
30-12-17 18:00,
30-12-17 17:00,
30-12-17 16:00,
30-12-17 15:00,
30-12-17 14:00,
30-12-17 13:00,
30-12-17 12:00,
30-12-17 11:00,
30-12-17 10:00,
30-12-17 09:00,
30-12-17 08:00,
30-12-17 07:00,
30-12-17 06:00,
30-12-17 05:00,
30-12-17 04:00,
30-12-17 03:00,
30-12-17 02:00,
30-12-17 01:00,
30-12-17 00:00,
29-12-17 23:00,
29-12-17 22:00,
29-12-17 21:00,
29-12-17 20:00,
29-12-17 19:00,
29-12-17 18:00,
29-12-17 17:00,
29-12-17 16:00,
29-12-17 15:00,
29-12-17 14:00,
29-12-17 13:00,
29-12-17 12:00,
29-12-17 11:00,
29-12-17 10:00,
29-12-17 09:00,
29-12-17 08:00,
29-12-17 07:00,
29-12-17 06:00,
29-12-17 05:00,
29-12-17 04:00,
29-12-17 03:00,
29-12-17 02:00,
29-12-17 01:00,
29-12-17 00:00,
28-12-17 23:00,
28-12-17 22:00,
28-12-17 21:00,
28-12-17 20:00,
28-12-17 19:00,
28-12-17 18:00,
28-12-17 17:00,
28-12-17 16:00,
28-12-17 15:00,
28-12-17 14:00,
28-12-17 13:00,
28-12-17 12:00,
28-12-17 11:00,
28-12-17 10:00,
28-12-17 09:00,
28-12-17 08:00,
28-12-17 07:00,
28-12-17 06:00,
28-12-17 05:00,
28-12-17 04:00,
28-12-17 03:00,
28-12-17 02:00,
28-12-17 01:00,
28-12-17 00:00,
27-12-17 23:00,
27-12-17 22:00,
27-12-17 21:00,
27-12-17 20:00,
27-12-17 19:00,
27-12-17 18:00,
27-12-17 17:00,
27-12-17 16:00,
27-12-17 15:00,
27-12-17 14:00,
27-12-17 13:00,
27-12-17 12:00,
27-12-17 11:00,
27-12-17 10:00,
27-12-17 09:00,
27-12-17 08:00,
27-12-17 07:00,
27-12-17 06:00,
27-12-17 05:00,
27-12-17 04:00,
27-12-17 03:00,
27-12-17 02:00,
27-12-17 01:00,
27-12-17 00:00,
26-12-17 23:00,
26-12-17 22:00,
26-12-17 21:00,
26-12-17 20:00,
26-12-17 19:00,
26-12-17 18:00,
26-12-17 17:00,
26-12-17 16:00,
26-12-17 15:00,
26-12-17 14:00,
26-12-17 13:00,
26-12-17 12:00,
26-12-17 11:00,
26-12-17 10:00,
26-12-17 09:00,
26-12-17 08:00,
26-12-17 07:00,
26-12-17 06:00,
26-12-17 05:00,
26-12-17 04:00,
26-12-17 03:00,
26-12-17 02:00,
26-12-17 01:00,
26-12-17 00:00,
25-12-17 23:00,
25-12-17 22:00,
25-12-17 21:00,
25-12-17 20:00,
25-12-17 19:00,
25-12-17 18:00,
25-12-17 17:00,
25-12-17 16:00,
25-12-17 15:00,
25-12-17 14:00,
25-12-17 13:00,
25-12-17 12:00,
25-12-17 11:00,
25-12-17 10:00,
25-12-17 09:00,
25-12-17 08:00,
25-12-17 07:00,
25-12-17 06:00,
25-12-17 05:00,
25-12-17 04:00,
25-12-17 03:00,
25-12-17 02:00,
25-12-17 01:00,
25-12-17 00:00,
24-12-17 23:00,
24-12-17 22:00,
24-12-17 21:00,
24-12-17 20:00,
24-12-17 19:00,
24-12-17 18:00,
24-12-17 17:00,
24-12-17 16:00,
24-12-17 15:00,
24-12-17 14:00,
24-12-17 13:00,
24-12-17 12:00,
24-12-17 11:00,
24-12-17 10:00,
24-12-17 09:00,
24-12-17 08:00,
24-12-17 07:00,
24-12-17 06:00,
24-12-17 05:00,
24-12-17 04:00,
24-12-17 03:00,
24-12-17 02:00,
24-12-17 01:00,
24-12-17 00:00,
23-12-17 23:00,
23-12-17 22:00,
23-12-17 21:00,
23-12-17 20:00,
23-12-17 19:00,
23-12-17 18:00,
23-12-17 17:00,
23-12-17 16:00,
23-12-17 15:00,
23-12-17 14:00,
23-12-17 13:00,
23-12-17 12:00,
23-12-17 11:00,
23-12-17 10:00,
23-12-17 09:00,
23-12-17 08:00,
23-12-17 07:00,
23-12-17 06:00,
23-12-17 05:00,
23-12-17 04:00,
23-12-17 03:00,
23-12-17 02:00,
23-12-17 01:00,
23-12-17 00:00,
22-12-17 23:00,
22-12-17 22:00,
22-12-17 21:00,
22-12-17 20:00,
22-12-17 19:00,
22-12-17 18:00,
22-12-17 17:00,
22-12-17 16:00,
22-12-17 15:00,
22-12-17 14:00,
22-12-17 13:00,
22-12-17 12:00,
22-12-17 11:00,
22-12-17 10:00,
22-12-17 09:00,
22-12-17 08:00,
22-12-17 07:00,
22-12-17 06:00,
22-12-17 05:00,
22-12-17 04:00,
22-12-17 03:00,
22-12-17 02:00,
22-12-17 01:00,
22-12-17 00:00,
21-12-17 23:00,
21-12-17 22:00,
21-12-17 21:00,
21-12-17 20:00,
21-12-17 19:00,
21-12-17 18:00,
21-12-17 17:00,
21-12-17 16:00,
21-12-17 15:00,
21-12-17 14:00,
21-12-17 13:00,
21-12-17 12:00,
21-12-17 11:00,
21-12-17 10:00,
21-12-17 09:00,
21-12-17 08:00,
21-12-17 07:00,
21-12-17 06:00,
21-12-17 05:00,
21-12-17 04:00,
21-12-17 03:00,
21-12-17 02:00,
21-12-17 01:00,
21-12-17 00:00,
20-12-17 23:00,
20-12-17 22:00,
20-12-17 21:00,
20-12-17 20:00,
20-12-17 19:00,
20-12-17 18:00,
20-12-17 17:00,
20-12-17 16:00,
20-12-17 15:00,
20-12-17 14:00,
20-12-17 13:00,
20-12-17 12:00,
20-12-17 11:00,
20-12-17 10:00,
20-12-17 09:00,
20-12-17 08:00,
20-12-17 07:00,
20-12-17 06:00,
20-12-17 05:00,
20-12-17 04:00,
20-12-17 03:00,
20-12-17 02:00,
20-12-17 01:00,
20-12-17 00:00,
19-12-17 23:00,
19-12-17 22:00,
19-12-17 21:00,
19-12-17 20:00,
19-12-17 19:00,
19-12-17 18:00,
19-12-17 17:00,
19-12-17 16:00,
19-12-17 15:00,
19-12-17 14:00,
19-12-17 13:00,
19-12-17 12:00,
19-12-17 11:00,
19-12-17 10:00,
19-12-17 09:00,
19-12-17 08:00,
19-12-17 07:00,
19-12-17 06:00,
19-12-17 05:00,
19-12-17 04:00,
19-12-17 03:00,
19-12-17 02:00,
19-12-17 01:00,
19-12-17 00:00,
18-12-17 23:00,
18-12-17 22:00,
18-12-17 21:00,
18-12-17 20:00,
18-12-17 19:00,
18-12-17 18:00,
18-12-17 17:00,
18-12-17 16:00,
18-12-17 15:00,
18-12-17 14:00,
18-12-17 13:00,
18-12-17 12:00,
18-12-17 11:00,
18-12-17 10:00,
18-12-17 09:00,
18-12-17 08:00,
18-12-17 07:00,
18-12-17 06:00,
18-12-17 05:00,
18-12-17 04:00,
18-12-17 03:00,
18-12-17 02:00,
18-12-17 01:00,
18-12-17 00:00,
17-12-17 23:00,
17-12-17 22:00,
17-12-17 21:00,
17-12-17 20:00,
17-12-17 19:00,
17-12-17 18:00,
17-12-17 17:00,
17-12-17 16:00,
17-12-17 15:00,
17-12-17 14:00,
17-12-17 13:00,
17-12-17 12:00,
17-12-17 11:00,
17-12-17 10:00,
17-12-17 09:00,
17-12-17 08:00,
17-12-17 07:00,
17-12-17 06:00,
17-12-17 05:00,
17-12-17 04:00,
17-12-17 03:00,
17-12-17 02:00,
17-12-17 01:00,
17-12-17 00:00,
16-12-17 23:00,42
16-12-17 22:00,37
16-12-17 21:00,31
16-12-17 20:00,28
16-12-17 19:00,27
16-12-17 18:00,30
16-12-17 17:00,27
16-12-17 16:00,29
16-12-17 15:00,34
16-12-17 14:00,36
16-12-17 13:00,33
16-12-17 12:00,24
16-12-17 11:00,23
16-12-17 10:00,14
16-12-17 09:00,14
16-12-17 08:00,13
16-12-17 07:00,10
16-12-17 06:00,8
16-12-17 05:00,9
16-12-17 04:00,9
16-12-17 03:00,12
16-12-17 02:00,17
16-12-17 01:00,22
16-12-17 00:00,22
15-12-17 23:00,29
15-12-17 22:00,35
15-12-17 21:00,34
15-12-17 20:00,31
15-12-17 19:00,18
15-12-17 18:00,9
15-12-17 17:00,21
15-12-17 16:00,30
15-12-17 15:00,44
15-12-17 14:00,47
15-12-17 13:00,40
15-12-17 12:00,
15-12-17 11:00,
15-12-17 10:00,31
15-12-17 09:00,17
15-12-17 08:00,28
15-12-17 07:00,29
15-12-17 06:00,30
15-12-17 05:00,31
15-12-17 04:00,36
15-12-17 03:00,42
15-12-17 02:00,39
15-12-17 01:00,36
15-12-17 00:00,39
14-12-17 23:00,41
14-12-17 22:00,53
14-12-17 21:00,60
14-12-17 20:00,60
14-12-17 19:00,58
14-12-17 18:00,61
14-12-17 17:00,59
14-12-17 16:00,55
14-12-17 15:00,60
14-12-17 14:00,65
14-12-17 13:00,70
14-12-17 12:00,
14-12-17 11:00,
14-12-17 10:00,71
14-12-17 09:00,63
14-12-17 08:00,53
14-12-17 07:00,54
14-12-17 06:00,59
14-12-17 05:00,59
14-12-17 04:00,59
14-12-17 03:00,57
14-12-17 02:00,56
14-12-17 01:00,52
14-12-17 00:00,52
13-12-17 23:00,50
13-12-17 22:00,50
13-12-17 21:00,51
13-12-17 20:00,50
13-12-17 19:00,49
13-12-17 18:00,51
13-12-17 17:00,55
13-12-17 16:00,57
13-12-17 15:00,58
13-12-17 14:00,62
13-12-17 13:00,60
13-12-17 12:00,55
13-12-17 11:00,53
13-12-17 10:00,45
13-12-17 09:00,
13-12-17 08:00,40
13-12-17 07:00,45
13-12-17 06:00,44
13-12-17 05:00,48
13-12-17 04:00,50
13-12-17 03:00,47
13-12-17 02:00,45
13-12-17 01:00,39
13-12-17 00:00,41
12-12-17 23:00,44
12-12-17 22:00,48
12-12-17 21:00,45
12-12-17 20:00,47
12-12-17 19:00,44
12-12-17 18:00,45
12-12-17 17:00,43
12-12-17 16:00,46
12-12-17 15:00,47
12-12-17 14:00,43
12-12-17 13:00,36
12-12-17 12:00,33
12-12-17 11:00,25
12-12-17 10:00,28
12-12-17 09:00,41
12-12-17 08:00,49
12-12-17 07:00,56
12-12-17 06:00,59
12-12-17 05:00,64
12-12-17 04:00,68
12-12-17 03:00,70
12-12-17 02:00,69
12-12-17 01:00,69
12-12-17 00:00,57
11-12-17 23:00,18
11-12-17 22:00,13
11-12-17 21:00,13
11-12-17 20:00,18
11-12-17 19:00,22
11-12-17 18:00,31
11-12-17 17:00,39
11-12-17 16:00,45
11-12-17 15:00,52
11-12-17 14:00,49
11-12-17 13:00,50
11-12-17 12:00,56
11-12-17 11:00,50
11-12-17 10:00,39
11-12-17 09:00,44
11-12-17 08:00,50
11-12-17 07:00,62
11-12-17 06:00,65
11-12-17 05:00,71
11-12-17 04:00,73
11-12-17 03:00,75
11-12-17 02:00,71
11-12-17 01:00,69
11-12-17 00:00,67
10-12-17 23:00,68
10-12-17 22:00,67
10-12-17 21:00,67
10-12-17 20:00,69
10-12-17 19:00,73
10-12-17 18:00,74
10-12-17 17:00,73
10-12-17 16:00,68
10-12-17 15:00,66
10-12-17 14:00,70
10-12-17 13:00,71
10-12-17 12:00,71
10-12-17 11:00,70
10-12-17 10:00,69
10-12-17 09:00,68
10-12-17 08:00,69
10-12-17 07:00,69
10-12-17 06:00,66
10-12-17 05:00,63
10-12-17 04:00,59
10-12-17 03:00,57
10-12-17 02:00,57
10-12-17 01:00,56
10-12-17 00:00,53
09-12-17 23:00,49
09-12-17 22:00,50
09-12-17 21:00,51
09-12-17 20:00,51
09-12-17 19:00,50
09-12-17 18:00,49
09-12-17 17:00,50
09-12-17 16:00,51
09-12-17 15:00,51
09-12-17 14:00,54
09-12-17 13:00,54
09-12-17 12:00,50
09-12-17 11:00,54
09-12-17 10:00,50
09-12-17 09:00,47
09-12-17 08:00,47
09-12-17 07:00,49
09-12-17 06:00,54
09-12-17 05:00,55
09-12-17 04:00,51
09-12-17 03:00,45
09-12-17 02:00,44
09-12-17 01:00,45
09-12-17 00:00,45
08-12-17 23:00,46
08-12-17 22:00,45
08-12-17 21:00,47
08-12-17 20:00,44
08-12-17 19:00,43
08-12-17 18:00,40
08-12-17 17:00,38
08-12-17 16:00,49
08-12-17 15:00,49
08-12-17 14:00,52
08-12-17 13:00,51
08-12-17 12:00,52
08-12-17 11:00,47
08-12-17 10:00,29
08-12-17 09:00,25
08-12-17 08:00,30
08-12-17 07:00,45
08-12-17 06:00,50
08-12-17 05:00,56
08-12-17 04:00,60
08-12-17 03:00,63
08-12-17 02:00,65
08-12-17 01:00,67
08-12-17 00:00,64
07-12-17 23:00,61
07-12-17 22:00,61
07-12-17 21:00,60
07-12-17 20:00,63
07-12-17 19:00,64
07-12-17 18:00,61
07-12-17 17:00,57
07-12-17 16:00,61
07-12-17 15:00,59
07-12-17 14:00,61
07-12-17 13:00,64
07-12-17 12:00,62
07-12-17 11:00,48
07-12-17 10:00,25
07-12-17 09:00,28
07-12-17 08:00,39
07-12-17 07:00,57
07-12-17 06:00,61
07-12-17 05:00,57
07-12-17 04:00,50
07-12-17 03:00,51
07-12-17 02:00,50
07-12-17 01:00,50
07-12-17 00:00,48
06-12-17 23:00,44
06-12-17 22:00,43
06-12-17 21:00,42
06-12-17 20:00,41
06-12-17 19:00,39
06-12-17 18:00,35
06-12-17 17:00,34
06-12-17 16:00,34
06-12-17 15:00,33
06-12-17 14:00,35
06-12-17 13:00,36
06-12-17 12:00,38
06-12-17 11:00,37
06-12-17 10:00,35
06-12-17 09:00,28
06-12-17 08:00,30
06-12-17 07:00,37
06-12-17 06:00,41
06-12-17 05:00,44
06-12-17 04:00,44
06-12-17 03:00,40
06-12-17 02:00,44
06-12-17 01:00,42
06-12-17 00:00,39
05-12-17 23:00,35
05-12-17 22:00,32
05-12-17 21:00,30
05-12-17 20:00,27
05-12-17 19:00,22
05-12-17 18:00,18
05-12-17 17:00,18
05-12-17 16:00,21
05-12-17 15:00,24
05-12-17 14:00,22
05-12-17 13:00,25
05-12-17 12:00,33
05-12-17 11:00,35
05-12-17 10:00,37
05-12-17 09:00,37
05-12-17 08:00,41
05-12-17 07:00,48
05-12-17 06:00,54
05-12-17 05:00,58
05-12-17 04:00,61
05-12-17 03:00,57
05-12-17 02:00,55
05-12-17 01:00,57
05-12-17 00:00,47
04-12-17 23:00,49
04-12-17 22:00,48
04-12-17 21:00,46
04-12-17 20:00,46
04-12-17 19:00,45
04-12-17 18:00,37
04-12-17 17:00,32
04-12-17 16:00,38
04-12-17 15:00,35
04-12-17 14:00,34
04-12-17 13:00,34
04-12-17 12:00,25
04-12-17 11:00,18
04-12-17 10:00,24
04-12-17 09:00,15
04-12-17 08:00,13
04-12-17 07:00,20
04-12-17 06:00,19
04-12-17 05:00,20
04-12-17 04:00,22
04-12-17 03:00,21
04-12-17 02:00,21
04-12-17 01:00,23
04-12-17 00:00,25
03-12-17 23:00,26
03-12-17 22:00,27
03-12-17 21:00,28
03-12-17 20:00,28
03-12-17 19:00,28
03-12-17 18:00,33
03-12-17 17:00,38
03-12-17 16:00,40
03-12-17 15:00,41
03-12-17 14:00,43
03-12-17 13:00,48
03-12-17 12:00,49
03-12-17 11:00,46
03-12-17 10:00,39
03-12-17 09:00,35
03-12-17 08:00,31
03-12-17 07:00,20
03-12-17 06:00,17
03-12-17 05:00,13
03-12-17 04:00,16
03-12-17 03:00,13
03-12-17 02:00,5
03-12-17 01:00,5
03-12-17 00:00,2
02-12-17 23:00,2
02-12-17 22:00,11
02-12-17 21:00,17
02-12-17 20:00,20
02-12-17 19:00,22
02-12-17 18:00,19
02-12-17 17:00,29
02-12-17 16:00,37
02-12-17 15:00,33
02-12-17 14:00,34
02-12-17 13:00,40
02-12-17 12:00,37
02-12-17 11:00,35
02-12-17 10:00,32
02-12-17 09:00,28
02-12-17 08:00,29
02-12-17 07:00,35
02-12-17 06:00,38
02-12-17 05:00,46
02-12-17 04:00,47
02-12-17 03:00,36
02-12-17 02:00,34
02-12-17 01:00,30
02-12-17 00:00,35
01-12-17 23:00,21
01-12-17 22:00,24
01-12-17 21:00,6
