Datum Zeit,Schkeuditz O3
,µg/m³
01-09-18 00:00,
31-08-18 23:00,
31-08-18 22:00,
31-08-18 21:00,
31-08-18 20:00,
31-08-18 19:00,
31-08-18 18:00,
31-08-18 17:00,
31-08-18 16:00,
31-08-18 15:00,
31-08-18 14:00,
31-08-18 13:00,
31-08-18 12:00,
31-08-18 11:00,
31-08-18 10:00,
31-08-18 09:00,
31-08-18 08:00,
31-08-18 07:00,
31-08-18 06:00,
31-08-18 05:00,
31-08-18 04:00,
31-08-18 03:00,
31-08-18 02:00,
31-08-18 01:00,
31-08-18 00:00,
30-08-18 23:00,
30-08-18 22:00,
30-08-18 21:00,
30-08-18 20:00,
30-08-18 19:00,
30-08-18 18:00,
30-08-18 17:00,
30-08-18 16:00,
30-08-18 15:00,
30-08-18 14:00,
30-08-18 13:00,
30-08-18 12:00,
30-08-18 11:00,
30-08-18 10:00,
30-08-18 09:00,
30-08-18 08:00,
30-08-18 07:00,
30-08-18 06:00,
30-08-18 05:00,
30-08-18 04:00,
30-08-18 03:00,
30-08-18 02:00,
30-08-18 01:00,
30-08-18 00:00,
29-08-18 23:00,
29-08-18 22:00,
29-08-18 21:00,
29-08-18 20:00,
29-08-18 19:00,
29-08-18 18:00,
29-08-18 17:00,
29-08-18 16:00,
29-08-18 15:00,
29-08-18 14:00,
29-08-18 13:00,
29-08-18 12:00,
29-08-18 11:00,
29-08-18 10:00,
29-08-18 09:00,
29-08-18 08:00,
29-08-18 07:00,
29-08-18 06:00,
29-08-18 05:00,
29-08-18 04:00,
29-08-18 03:00,
29-08-18 02:00,
29-08-18 01:00,
29-08-18 00:00,
28-08-18 23:00,
28-08-18 22:00,
28-08-18 21:00,
28-08-18 20:00,
28-08-18 19:00,
28-08-18 18:00,
28-08-18 17:00,
28-08-18 16:00,
28-08-18 15:00,
28-08-18 14:00,
28-08-18 13:00,
28-08-18 12:00,
28-08-18 11:00,
28-08-18 10:00,
28-08-18 09:00,
28-08-18 08:00,
28-08-18 07:00,
28-08-18 06:00,
28-08-18 05:00,
28-08-18 04:00,
28-08-18 03:00,
28-08-18 02:00,
28-08-18 01:00,
28-08-18 00:00,
27-08-18 23:00,
27-08-18 22:00,
27-08-18 21:00,
27-08-18 20:00,
27-08-18 19:00,
27-08-18 18:00,
27-08-18 17:00,
27-08-18 16:00,
27-08-18 15:00,
27-08-18 14:00,
27-08-18 13:00,
27-08-18 12:00,
27-08-18 11:00,
27-08-18 10:00,
27-08-18 09:00,
27-08-18 08:00,
27-08-18 07:00,
27-08-18 06:00,
27-08-18 05:00,
27-08-18 04:00,
27-08-18 03:00,
27-08-18 02:00,
27-08-18 01:00,
27-08-18 00:00,
26-08-18 23:00,
26-08-18 22:00,
26-08-18 21:00,
26-08-18 20:00,
26-08-18 19:00,
26-08-18 18:00,
26-08-18 17:00,
26-08-18 16:00,
26-08-18 15:00,
26-08-18 14:00,
26-08-18 13:00,
26-08-18 12:00,
26-08-18 11:00,
26-08-18 10:00,
26-08-18 09:00,
26-08-18 08:00,
26-08-18 07:00,
26-08-18 06:00,
26-08-18 05:00,
26-08-18 04:00,
26-08-18 03:00,
26-08-18 02:00,
26-08-18 01:00,
26-08-18 00:00,
25-08-18 23:00,
25-08-18 22:00,
25-08-18 21:00,
25-08-18 20:00,
25-08-18 19:00,
25-08-18 18:00,
25-08-18 17:00,
25-08-18 16:00,58
25-08-18 15:00,63
25-08-18 14:00,57
25-08-18 13:00,56
25-08-18 12:00,61
25-08-18 11:00,67
25-08-18 10:00,60
25-08-18 09:00,39
25-08-18 08:00,29
25-08-18 07:00,27
25-08-18 06:00,25
25-08-18 05:00,26
25-08-18 04:00,30
25-08-18 03:00,31
25-08-18 02:00,23
25-08-18 01:00,34
25-08-18 00:00,33
24-08-18 23:00,31
24-08-18 22:00,31
24-08-18 21:00,38
24-08-18 20:00,39
24-08-18 19:00,46
24-08-18 18:00,58
24-08-18 17:00,66
24-08-18 16:00,59
24-08-18 15:00,64
24-08-18 14:00,68
24-08-18 13:00,57
24-08-18 12:00,49
24-08-18 11:00,59
24-08-18 10:00,48
24-08-18 09:00,39
24-08-18 08:00,31
24-08-18 07:00,18
24-08-18 06:00,20
24-08-18 05:00,25
24-08-18 04:00,31
24-08-18 03:00,35
24-08-18 02:00,38
24-08-18 01:00,46
24-08-18 00:00,49
23-08-18 23:00,38
23-08-18 22:00,42
23-08-18 21:00,56
23-08-18 20:00,74
23-08-18 19:00,77
23-08-18 18:00,88
23-08-18 17:00,112
23-08-18 16:00,127
23-08-18 15:00,128
23-08-18 14:00,126
23-08-18 13:00,147
23-08-18 12:00,130
23-08-18 11:00,115
23-08-18 10:00,91
23-08-18 09:00,73
23-08-18 08:00,52
23-08-18 07:00,38
23-08-18 06:00,39
23-08-18 05:00,52
23-08-18 04:00,65
23-08-18 03:00,65
23-08-18 02:00,66
23-08-18 01:00,69
23-08-18 00:00,74
22-08-18 23:00,74
22-08-18 22:00,83
22-08-18 21:00,80
22-08-18 20:00,89
22-08-18 19:00,121
22-08-18 18:00,129
22-08-18 17:00,130
22-08-18 16:00,126
22-08-18 15:00,117
22-08-18 14:00,108
22-08-18 13:00,100
22-08-18 12:00,90
22-08-18 11:00,84
22-08-18 10:00,66
22-08-18 09:00,49
22-08-18 08:00,38
22-08-18 07:00,24
22-08-18 06:00,10
22-08-18 05:00,33
22-08-18 04:00,50
22-08-18 03:00,49
22-08-18 02:00,44
22-08-18 01:00,49
22-08-18 00:00,53
21-08-18 23:00,55
21-08-18 22:00,61
21-08-18 21:00,70
21-08-18 20:00,66
21-08-18 19:00,79
21-08-18 18:00,80
21-08-18 17:00,76
21-08-18 16:00,78
21-08-18 15:00,73
21-08-18 14:00,68
21-08-18 13:00,63
21-08-18 12:00,61
21-08-18 11:00,59
21-08-18 10:00,54
21-08-18 09:00,52
21-08-18 08:00,42
21-08-18 07:00,31
21-08-18 06:00,25
21-08-18 05:00,27
21-08-18 04:00,28
21-08-18 03:00,31
21-08-18 02:00,23
21-08-18 01:00,20
21-08-18 00:00,22
20-08-18 23:00,25
20-08-18 22:00,28
20-08-18 21:00,35
20-08-18 20:00,39
20-08-18 19:00,43
20-08-18 18:00,44
20-08-18 17:00,49
20-08-18 16:00,52
20-08-18 15:00,54
20-08-18 14:00,58
20-08-18 13:00,61
20-08-18 12:00,55
20-08-18 11:00,55
20-08-18 10:00,63
20-08-18 09:00,65
20-08-18 08:00,46
20-08-18 07:00,21
20-08-18 06:00,30
20-08-18 05:00,39
20-08-18 04:00,48
20-08-18 03:00,56
20-08-18 02:00,60
20-08-18 01:00,68
20-08-18 00:00,59
19-08-18 23:00,59
