Datum Zeit,Schwartenberg BEN
,µg/m³
01-09-18 00:00,
31-08-18 23:00,
31-08-18 22:00,
31-08-18 21:00,
31-08-18 20:00,
31-08-18 19:00,
31-08-18 18:00,
31-08-18 17:00,
31-08-18 16:00,
31-08-18 15:00,
31-08-18 14:00,
31-08-18 13:00,
31-08-18 12:00,
31-08-18 11:00,
31-08-18 10:00,
31-08-18 09:00,
31-08-18 08:00,
31-08-18 07:00,
31-08-18 06:00,
31-08-18 05:00,
31-08-18 04:00,
31-08-18 03:00,
31-08-18 02:00,
31-08-18 01:00,
31-08-18 00:00,
30-08-18 23:00,
30-08-18 22:00,
30-08-18 21:00,
30-08-18 20:00,
30-08-18 19:00,
30-08-18 18:00,
30-08-18 17:00,
30-08-18 16:00,
30-08-18 15:00,
30-08-18 14:00,
30-08-18 13:00,
30-08-18 12:00,
30-08-18 11:00,
30-08-18 10:00,
30-08-18 09:00,
30-08-18 08:00,
30-08-18 07:00,
30-08-18 06:00,
30-08-18 05:00,
30-08-18 04:00,
30-08-18 03:00,
30-08-18 02:00,
30-08-18 01:00,
30-08-18 00:00,
29-08-18 23:00,
29-08-18 22:00,
29-08-18 21:00,
29-08-18 20:00,
29-08-18 19:00,
29-08-18 18:00,
29-08-18 17:00,
29-08-18 16:00,
29-08-18 15:00,
29-08-18 14:00,
29-08-18 13:00,
29-08-18 12:00,
29-08-18 11:00,
29-08-18 10:00,
29-08-18 09:00,
29-08-18 08:00,
29-08-18 07:00,
29-08-18 06:00,
29-08-18 05:00,
29-08-18 04:00,
29-08-18 03:00,
29-08-18 02:00,
29-08-18 01:00,
29-08-18 00:00,
28-08-18 23:00,
28-08-18 22:00,
28-08-18 21:00,
28-08-18 20:00,
28-08-18 19:00,
28-08-18 18:00,
28-08-18 17:00,
28-08-18 16:00,
28-08-18 15:00,
28-08-18 14:00,
28-08-18 13:00,
28-08-18 12:00,
28-08-18 11:00,
28-08-18 10:00,
28-08-18 09:00,
28-08-18 08:00,
28-08-18 07:00,
28-08-18 06:00,
28-08-18 05:00,
28-08-18 04:00,
28-08-18 03:00,
28-08-18 02:00,
28-08-18 01:00,
28-08-18 00:00,
27-08-18 23:00,
27-08-18 22:00,
27-08-18 21:00,
27-08-18 20:00,
27-08-18 19:00,
27-08-18 18:00,
27-08-18 17:00,
27-08-18 16:00,
27-08-18 15:00,
27-08-18 14:00,
27-08-18 13:00,
27-08-18 12:00,
27-08-18 11:00,
27-08-18 10:00,0.4
27-08-18 09:00,0.9
27-08-18 08:00,1.0
27-08-18 07:00,1.6
27-08-18 06:00,0.5
27-08-18 05:00,0.4
27-08-18 04:00,0.2
27-08-18 03:00,0.2
27-08-18 02:00,0.2
27-08-18 01:00,0.2
27-08-18 00:00,0.2
26-08-18 23:00,0.1
26-08-18 22:00,0.1
26-08-18 21:00,0.1
26-08-18 20:00,0.5
26-08-18 19:00,0.1
26-08-18 18:00,0.1
26-08-18 17:00,0.1
26-08-18 16:00,0.1
26-08-18 15:00,0.1
26-08-18 14:00,0.1
26-08-18 13:00,0.1
26-08-18 12:00,0.1
26-08-18 11:00,0.1
26-08-18 10:00,0.1
26-08-18 09:00,0.1
26-08-18 08:00,0.2
26-08-18 07:00,0.2
26-08-18 06:00,0.2
26-08-18 05:00,0.2
26-08-18 04:00,0.2
26-08-18 03:00,0.2
26-08-18 02:00,0.2
26-08-18 01:00,0.2
26-08-18 00:00,0.2
25-08-18 23:00,0.2
25-08-18 22:00,0.2
25-08-18 21:00,0.2
25-08-18 20:00,0.2
25-08-18 19:00,0.2
25-08-18 18:00,0.2
25-08-18 17:00,0.2
25-08-18 16:00,0.2
25-08-18 15:00,0.2
25-08-18 14:00,0.2
25-08-18 13:00,
25-08-18 12:00,
25-08-18 11:00,
25-08-18 10:00,
25-08-18 09:00,
25-08-18 08:00,0.6
25-08-18 07:00,0.5
25-08-18 06:00,0.3
25-08-18 05:00,0.3
25-08-18 04:00,0.3
25-08-18 03:00,0.3
25-08-18 02:00,0.3
25-08-18 01:00,0.3
25-08-18 00:00,0.3
24-08-18 23:00,0.2
24-08-18 22:00,0.2
24-08-18 21:00,0.2
24-08-18 20:00,0.3
24-08-18 19:00,0.2
24-08-18 18:00,0.2
24-08-18 17:00,0.1
24-08-18 16:00,0.1
24-08-18 15:00,0.1
24-08-18 14:00,0.1
24-08-18 13:00,0.1
24-08-18 12:00,0.1
24-08-18 11:00,0.1
24-08-18 10:00,0.1
24-08-18 09:00,0.1
24-08-18 08:00,0.1
24-08-18 07:00,0.1
24-08-18 06:00,0.1
24-08-18 05:00,0.1
24-08-18 04:00,0.1
24-08-18 03:00,0.1
24-08-18 02:00,0.1
24-08-18 01:00,0.1
24-08-18 00:00,0.1
23-08-18 23:00,0.1
23-08-18 22:00,0.1
23-08-18 21:00,0.1
23-08-18 20:00,0.1
23-08-18 19:00,0.1
23-08-18 18:00,0.1
23-08-18 17:00,0.1
23-08-18 16:00,0.1
23-08-18 15:00,0.1
23-08-18 14:00,0.2
23-08-18 13:00,0.4
23-08-18 12:00,0.3
23-08-18 11:00,0.1
23-08-18 10:00,0.2
23-08-18 09:00,0.9
23-08-18 08:00,1.7
23-08-18 07:00,1.8
23-08-18 06:00,3.9
23-08-18 05:00,2.8
23-08-18 04:00,1.0
23-08-18 03:00,0.3
23-08-18 02:00,0.2
23-08-18 01:00,0.2
23-08-18 00:00,0.2
22-08-18 23:00,0.1
22-08-18 22:00,0.1
22-08-18 21:00,0.1
22-08-18 20:00,0.1
22-08-18 19:00,0.1
22-08-18 18:00,0.1
22-08-18 17:00,0.1
22-08-18 16:00,0.2
22-08-18 15:00,0.3
22-08-18 14:00,0.3
22-08-18 13:00,0.3
22-08-18 12:00,0.6
22-08-18 11:00,1.0
22-08-18 10:00,0.2
22-08-18 09:00,0.1
22-08-18 08:00,0.1
22-08-18 07:00,0.1
22-08-18 06:00,0.1
22-08-18 05:00,0.1
22-08-18 04:00,0.1
22-08-18 03:00,0.1
22-08-18 02:00,0.1
22-08-18 01:00,0.1
22-08-18 00:00,0.1
21-08-18 23:00,0.1
21-08-18 22:00,0.1
21-08-18 21:00,0.1
21-08-18 20:00,0.1
21-08-18 19:00,0.1
21-08-18 18:00,0.1
21-08-18 17:00,
21-08-18 16:00,
21-08-18 15:00,
21-08-18 14:00,
21-08-18 13:00,
21-08-18 12:00,
21-08-18 11:00,
21-08-18 10:00,
21-08-18 09:00,
21-08-18 08:00,
21-08-18 07:00,
21-08-18 06:00,
21-08-18 05:00,
21-08-18 04:00,
21-08-18 03:00,
21-08-18 02:00,
21-08-18 01:00,
21-08-18 00:00,
20-08-18 23:00,
