Datum Zeit,Dresden-Bergstraße PM10_TEOM
,µg/m³
01-10-18 00:00,
30-09-18 23:00,
30-09-18 22:00,
30-09-18 21:00,
30-09-18 20:00,
30-09-18 19:00,
30-09-18 18:00,
30-09-18 17:00,
30-09-18 16:00,
30-09-18 15:00,
30-09-18 14:00,
30-09-18 13:00,
30-09-18 12:00,
30-09-18 11:00,
30-09-18 10:00,
30-09-18 09:00,
30-09-18 08:00,
30-09-18 07:00,
30-09-18 06:00,
30-09-18 05:00,
30-09-18 04:00,
30-09-18 03:00,
30-09-18 02:00,
30-09-18 01:00,
30-09-18 00:00,
29-09-18 23:00,
29-09-18 22:00,
29-09-18 21:00,
29-09-18 20:00,
29-09-18 19:00,
29-09-18 18:00,
29-09-18 17:00,
29-09-18 16:00,
29-09-18 15:00,
29-09-18 14:00,
29-09-18 13:00,
29-09-18 12:00,
29-09-18 11:00,
29-09-18 10:00,
29-09-18 09:00,
29-09-18 08:00,
29-09-18 07:00,
29-09-18 06:00,
29-09-18 05:00,
29-09-18 04:00,
29-09-18 03:00,
29-09-18 02:00,
29-09-18 01:00,
29-09-18 00:00,
28-09-18 23:00,
28-09-18 22:00,
28-09-18 21:00,
28-09-18 20:00,
28-09-18 19:00,
28-09-18 18:00,
28-09-18 17:00,
28-09-18 16:00,
28-09-18 15:00,
28-09-18 14:00,
28-09-18 13:00,
28-09-18 12:00,
28-09-18 11:00,
28-09-18 10:00,
28-09-18 09:00,
28-09-18 08:00,
28-09-18 07:00,
28-09-18 06:00,
28-09-18 05:00,
28-09-18 04:00,
28-09-18 03:00,
28-09-18 02:00,
28-09-18 01:00,
28-09-18 00:00,
27-09-18 23:00,
27-09-18 22:00,
27-09-18 21:00,
27-09-18 20:00,
27-09-18 19:00,
27-09-18 18:00,
27-09-18 17:00,
27-09-18 16:00,
27-09-18 15:00,
27-09-18 14:00,
27-09-18 13:00,
27-09-18 12:00,
27-09-18 11:00,
27-09-18 10:00,17
27-09-18 09:00,22
27-09-18 08:00,16
27-09-18 07:00,15
27-09-18 06:00,9
27-09-18 05:00,11
27-09-18 04:00,4
27-09-18 03:00,8
27-09-18 02:00,9
27-09-18 01:00,9
27-09-18 00:00,15
26-09-18 23:00,10
26-09-18 22:00,11
26-09-18 21:00,18
26-09-18 20:00,26
26-09-18 19:00,25
26-09-18 18:00,17
26-09-18 17:00,12
26-09-18 16:00,17
26-09-18 15:00,23
26-09-18 14:00,11
26-09-18 13:00,11
26-09-18 12:00,17
26-09-18 11:00,29
26-09-18 10:00,23
26-09-18 09:00,20
26-09-18 08:00,22
26-09-18 07:00,17
26-09-18 06:00,13
26-09-18 05:00,11
26-09-18 04:00,10
26-09-18 03:00,9
26-09-18 02:00,11
26-09-18 01:00,13
26-09-18 00:00,14
25-09-18 23:00,17
25-09-18 22:00,14
25-09-18 21:00,15
25-09-18 20:00,11
25-09-18 19:00,16
25-09-18 18:00,15
25-09-18 17:00,14
25-09-18 16:00,15
25-09-18 15:00,11
25-09-18 14:00,14
25-09-18 13:00,12
25-09-18 12:00,14
25-09-18 11:00,16
25-09-18 10:00,15
25-09-18 09:00,16
25-09-18 08:00,16
25-09-18 07:00,14
25-09-18 06:00,10
25-09-18 05:00,7
25-09-18 04:00,7
25-09-18 03:00,7
25-09-18 02:00,5
25-09-18 01:00,6
25-09-18 00:00,5
24-09-18 23:00,5
24-09-18 22:00,5
24-09-18 21:00,5
24-09-18 20:00,7
24-09-18 19:00,7
24-09-18 18:00,7
24-09-18 17:00,9
24-09-18 16:00,11
24-09-18 15:00,9
24-09-18 14:00,7
24-09-18 13:00,16
24-09-18 12:00,6
24-09-18 11:00,14
24-09-18 10:00,9
24-09-18 09:00,9
24-09-18 08:00,9
24-09-18 07:00,9
24-09-18 06:00,8
24-09-18 05:00,4
24-09-18 04:00,7
24-09-18 03:00,7
24-09-18 02:00,3
24-09-18 01:00,7
24-09-18 00:00,4
23-09-18 23:00,4
23-09-18 22:00,7
23-09-18 21:00,15
23-09-18 20:00,9
23-09-18 19:00,0
23-09-18 18:00,4
23-09-18 17:00,2
23-09-18 16:00,0
23-09-18 15:00,6
23-09-18 14:00,11
23-09-18 13:00,10
23-09-18 12:00,12
23-09-18 11:00,15
23-09-18 10:00,14
23-09-18 09:00,10
23-09-18 08:00,6
23-09-18 07:00,8
23-09-18 06:00,4
23-09-18 05:00,7
23-09-18 04:00,9
23-09-18 03:00,7
23-09-18 02:00,3
23-09-18 01:00,0
23-09-18 00:00,10
22-09-18 23:00,11
22-09-18 22:00,10
22-09-18 21:00,11
22-09-18 20:00,19
22-09-18 19:00,14
22-09-18 18:00,11
22-09-18 17:00,13
22-09-18 16:00,11
22-09-18 15:00,11
22-09-18 14:00,10
22-09-18 13:00,9
22-09-18 12:00,10
22-09-18 11:00,9
22-09-18 10:00,8
22-09-18 09:00,13
22-09-18 08:00,10
22-09-18 07:00,6
22-09-18 06:00,7
22-09-18 05:00,4
22-09-18 04:00,8
22-09-18 03:00,6
