Datum Zeit,Glauchau DRUCK
,hPa
01-10-18 00:00,
30-09-18 23:00,
30-09-18 22:00,
30-09-18 21:00,
30-09-18 20:00,
30-09-18 19:00,
30-09-18 18:00,
30-09-18 17:00,
30-09-18 16:00,
30-09-18 15:00,
30-09-18 14:00,
30-09-18 13:00,
30-09-18 12:00,
30-09-18 11:00,
30-09-18 10:00,
30-09-18 09:00,
30-09-18 08:00,
30-09-18 07:00,
30-09-18 06:00,
30-09-18 05:00,
30-09-18 04:00,
30-09-18 03:00,
30-09-18 02:00,
30-09-18 01:00,
30-09-18 00:00,
29-09-18 23:00,
29-09-18 22:00,
29-09-18 21:00,
29-09-18 20:00,
29-09-18 19:00,
29-09-18 18:00,
29-09-18 17:00,
29-09-18 16:00,
29-09-18 15:00,
29-09-18 14:00,
29-09-18 13:00,
29-09-18 12:00,
29-09-18 11:00,
29-09-18 10:00,
29-09-18 09:00,
29-09-18 08:00,
29-09-18 07:00,
29-09-18 06:00,
29-09-18 05:00,
29-09-18 04:00,1028
29-09-18 03:00,1027
29-09-18 02:00,1027
29-09-18 01:00,1027
29-09-18 00:00,1027
28-09-18 23:00,1026
28-09-18 22:00,1026
28-09-18 21:00,1025
28-09-18 20:00,1025
28-09-18 19:00,1024
28-09-18 18:00,1023
28-09-18 17:00,1023
28-09-18 16:00,1023
28-09-18 15:00,1023
28-09-18 14:00,1023
28-09-18 13:00,1022
28-09-18 12:00,1022
28-09-18 11:00,1022
28-09-18 10:00,1021
28-09-18 09:00,1021
28-09-18 08:00,1021
28-09-18 07:00,1020
28-09-18 06:00,1020
28-09-18 05:00,1020
28-09-18 04:00,1020
28-09-18 03:00,1021
28-09-18 02:00,1021
28-09-18 01:00,1021
28-09-18 00:00,1022
27-09-18 23:00,1022
27-09-18 22:00,1023
27-09-18 21:00,1023
27-09-18 20:00,1023
27-09-18 19:00,1024
27-09-18 18:00,1024
27-09-18 17:00,1025
27-09-18 16:00,1026
27-09-18 15:00,1026
27-09-18 14:00,1028
27-09-18 13:00,1029
27-09-18 12:00,1030
27-09-18 11:00,1030
27-09-18 10:00,1031
27-09-18 09:00,1031
27-09-18 08:00,1031
27-09-18 07:00,1031
27-09-18 06:00,1030
27-09-18 05:00,1031
27-09-18 04:00,1031
27-09-18 03:00,1031
27-09-18 02:00,1031
27-09-18 01:00,1031
27-09-18 00:00,1031
26-09-18 23:00,1031
26-09-18 22:00,1031
26-09-18 21:00,1031
26-09-18 20:00,1031
26-09-18 19:00,1031
26-09-18 18:00,1031
26-09-18 17:00,1031
26-09-18 16:00,1032
26-09-18 15:00,1033
26-09-18 14:00,1033
26-09-18 13:00,1034
26-09-18 12:00,1034
26-09-18 11:00,1035
26-09-18 10:00,1035
26-09-18 09:00,1035
26-09-18 08:00,1036
26-09-18 07:00,1036
26-09-18 06:00,1036
26-09-18 05:00,1036
26-09-18 04:00,1037
26-09-18 03:00,1038
26-09-18 02:00,1038
26-09-18 01:00,1038
26-09-18 00:00,1038
25-09-18 23:00,1038
25-09-18 22:00,1038
25-09-18 21:00,1038
25-09-18 20:00,1038
