Datum Zeit,Schwartenberg WINDGE
,m/sec
01-10-18 00:00,
30-09-18 23:00,
30-09-18 22:00,
30-09-18 21:00,
30-09-18 20:00,
30-09-18 19:00,
30-09-18 18:00,
30-09-18 17:00,
30-09-18 16:00,
30-09-18 15:00,
30-09-18 14:00,
30-09-18 13:00,
30-09-18 12:00,
30-09-18 11:00,
30-09-18 10:00,
30-09-18 09:00,
30-09-18 08:00,
30-09-18 07:00,
30-09-18 06:00,
30-09-18 05:00,
30-09-18 04:00,
30-09-18 03:00,
30-09-18 02:00,
30-09-18 01:00,
30-09-18 00:00,
29-09-18 23:00,
29-09-18 22:00,
29-09-18 21:00,
29-09-18 20:00,
29-09-18 19:00,
29-09-18 18:00,
29-09-18 17:00,
29-09-18 16:00,
29-09-18 15:00,
29-09-18 14:00,
29-09-18 13:00,
29-09-18 12:00,
29-09-18 11:00,
29-09-18 10:00,
29-09-18 09:00,
29-09-18 08:00,
29-09-18 07:00,
29-09-18 06:00,
29-09-18 05:00,
29-09-18 04:00,
29-09-18 03:00,
29-09-18 02:00,
29-09-18 01:00,
29-09-18 00:00,
28-09-18 23:00,
28-09-18 22:00,
28-09-18 21:00,
28-09-18 20:00,
28-09-18 19:00,
28-09-18 18:00,
28-09-18 17:00,
28-09-18 16:00,
28-09-18 15:00,
28-09-18 14:00,
28-09-18 13:00,
28-09-18 12:00,
28-09-18 11:00,
28-09-18 10:00,
28-09-18 09:00,
28-09-18 08:00,
28-09-18 07:00,
28-09-18 06:00,
28-09-18 05:00,
28-09-18 04:00,
28-09-18 03:00,
28-09-18 02:00,
28-09-18 01:00,
28-09-18 00:00,
27-09-18 23:00,
27-09-18 22:00,
27-09-18 21:00,
27-09-18 20:00,
27-09-18 19:00,
27-09-18 18:00,
27-09-18 17:00,
27-09-18 16:00,
27-09-18 15:00,
27-09-18 14:00,
27-09-18 13:00,
27-09-18 12:00,
27-09-18 11:00,
27-09-18 10:00,
27-09-18 09:00,
27-09-18 08:00,
27-09-18 07:00,
27-09-18 06:00,
27-09-18 05:00,
27-09-18 04:00,
27-09-18 03:00,
27-09-18 02:00,
27-09-18 01:00,
27-09-18 00:00,
26-09-18 23:00,
26-09-18 22:00,
26-09-18 21:00,
26-09-18 20:00,
26-09-18 19:00,
26-09-18 18:00,
26-09-18 17:00,
26-09-18 16:00,
26-09-18 15:00,
26-09-18 14:00,
26-09-18 13:00,
26-09-18 12:00,
26-09-18 11:00,
26-09-18 10:00,
26-09-18 09:00,
26-09-18 08:00,
26-09-18 07:00,
26-09-18 06:00,
26-09-18 05:00,
26-09-18 04:00,
26-09-18 03:00,
26-09-18 02:00,
26-09-18 01:00,
26-09-18 00:00,
25-09-18 23:00,
25-09-18 22:00,2.0
25-09-18 21:00,2.2
25-09-18 20:00,2.5
25-09-18 19:00,3.0
25-09-18 18:00,5.6
25-09-18 17:00,6.1
25-09-18 16:00,5.6
25-09-18 15:00,5.8
25-09-18 14:00,5.6
25-09-18 13:00,5.9
25-09-18 12:00,6.4
25-09-18 11:00,6.5
25-09-18 10:00,7.8
25-09-18 09:00,9.7
25-09-18 08:00,8.4
25-09-18 07:00,8.9
25-09-18 06:00,9.3
25-09-18 05:00,8.9
25-09-18 04:00,9.7
25-09-18 03:00,10.0
25-09-18 02:00,10.4
25-09-18 01:00,10.8
25-09-18 00:00,10.2
24-09-18 23:00,11.4
24-09-18 22:00,10.5
24-09-18 21:00,10.0
24-09-18 20:00,8.4
24-09-18 19:00,8.7
24-09-18 18:00,10.2
24-09-18 17:00,9.4
24-09-18 16:00,9.9
24-09-18 15:00,10.3
24-09-18 14:00,11.0
24-09-18 13:00,10.9
24-09-18 12:00,11.1
24-09-18 11:00,12.2
24-09-18 10:00,12.2
24-09-18 09:00,13.0
24-09-18 08:00,12.6
24-09-18 07:00,12.2
24-09-18 06:00,11.8
24-09-18 05:00,10.6
24-09-18 04:00,9.4
24-09-18 03:00,10.4
24-09-18 02:00,11.5
24-09-18 01:00,13.3
24-09-18 00:00,12.9
23-09-18 23:00,12.0
23-09-18 22:00,14.9
23-09-18 21:00,12.8
23-09-18 20:00,9.3
23-09-18 19:00,5.9
23-09-18 18:00,11.6
23-09-18 17:00,10.1
23-09-18 16:00,10.8
23-09-18 15:00,10.9
23-09-18 14:00,9.2
23-09-18 13:00,8.4
23-09-18 12:00,6.4
23-09-18 11:00,5.0
23-09-18 10:00,4.4
23-09-18 09:00,5.0
23-09-18 08:00,4.5
23-09-18 07:00,3.4
23-09-18 06:00,3.4
23-09-18 05:00,3.8
23-09-18 04:00,4.1
23-09-18 03:00,2.6
23-09-18 02:00,4.5
23-09-18 01:00,5.1
23-09-18 00:00,4.7
22-09-18 23:00,5.2
22-09-18 22:00,5.8
22-09-18 21:00,5.7
22-09-18 20:00,5.3
22-09-18 19:00,3.7
22-09-18 18:00,4.5
22-09-18 17:00,5.5
22-09-18 16:00,4.7
22-09-18 15:00,4.7
22-09-18 14:00,5.1
22-09-18 13:00,6.0
22-09-18 12:00,6.7
22-09-18 11:00,6.1
22-09-18 10:00,6.1
22-09-18 09:00,6.7
22-09-18 08:00,7.3
22-09-18 07:00,6.3
22-09-18 06:00,6.6
22-09-18 05:00,6.5
22-09-18 04:00,6.8
22-09-18 03:00,7.4
22-09-18 02:00,6.9
22-09-18 01:00,7.3
22-09-18 00:00,8.2
21-09-18 23:00,8.2
21-09-18 22:00,6.8
21-09-18 21:00,6.0
21-09-18 20:00,7.3
21-09-18 19:00,7.5
21-09-18 18:00,6.7
21-09-18 17:00,6.3
21-09-18 16:00,6.7
21-09-18 15:00,6.3
21-09-18 14:00,6.7
21-09-18 13:00,7.3
21-09-18 12:00,6.5
21-09-18 11:00,5.5
21-09-18 10:00,6.0
21-09-18 09:00,6.4
21-09-18 08:00,7.0
21-09-18 07:00,7.4
21-09-18 06:00,7.0
21-09-18 05:00,6.7
21-09-18 04:00,5.7
21-09-18 03:00,5.8
21-09-18 02:00,5.1
21-09-18 01:00,5.8
21-09-18 00:00,5.2
20-09-18 23:00,5.1
20-09-18 22:00,5.5
20-09-18 21:00,5.2
20-09-18 20:00,5.0
20-09-18 19:00,4.2
20-09-18 18:00,4.7
20-09-18 17:00,4.3
20-09-18 16:00,4.5
20-09-18 15:00,4.5
20-09-18 14:00,4.7
20-09-18 13:00,4.1
20-09-18 12:00,5.8
20-09-18 11:00,3.9
20-09-18 10:00,2.1
20-09-18 09:00,1.3
20-09-18 08:00,1.6
20-09-18 07:00,2.6
20-09-18 06:00,2.9
20-09-18 05:00,3.1
20-09-18 04:00,3.5
20-09-18 03:00,3.9
20-09-18 02:00,3.7
20-09-18 01:00,3.9
20-09-18 00:00,4.1
19-09-18 23:00,4.1
19-09-18 22:00,3.8
19-09-18 21:00,4.1
19-09-18 20:00,5.0
19-09-18 19:00,3.8
