Datum Zeit,Zittau-Ost PM10_TEOM
,µg/m³
01-10-18 00:00,
30-09-18 23:00,
30-09-18 22:00,
30-09-18 21:00,
30-09-18 20:00,
30-09-18 19:00,
30-09-18 18:00,
30-09-18 17:00,
30-09-18 16:00,
30-09-18 15:00,
30-09-18 14:00,
30-09-18 13:00,
30-09-18 12:00,
30-09-18 11:00,
30-09-18 10:00,
30-09-18 09:00,
30-09-18 08:00,
30-09-18 07:00,
30-09-18 06:00,
30-09-18 05:00,
30-09-18 04:00,
30-09-18 03:00,
30-09-18 02:00,
30-09-18 01:00,
30-09-18 00:00,
29-09-18 23:00,
29-09-18 22:00,20
29-09-18 21:00,17
29-09-18 20:00,16
29-09-18 19:00,14
29-09-18 18:00,10
29-09-18 17:00,8
29-09-18 16:00,8
29-09-18 15:00,9
29-09-18 14:00,11
29-09-18 13:00,11
29-09-18 12:00,18
29-09-18 11:00,17
29-09-18 10:00,16
29-09-18 09:00,20
29-09-18 08:00,16
29-09-18 07:00,16
29-09-18 06:00,15
29-09-18 05:00,12
29-09-18 04:00,9
29-09-18 03:00,13
29-09-18 02:00,11
29-09-18 01:00,13
29-09-18 00:00,9
28-09-18 23:00,11
28-09-18 22:00,13
28-09-18 21:00,13
28-09-18 20:00,13
28-09-18 19:00,16
28-09-18 18:00,14
28-09-18 17:00,13
28-09-18 16:00,10
28-09-18 15:00,16
28-09-18 14:00,24
28-09-18 13:00,19
28-09-18 12:00,20
28-09-18 11:00,22
28-09-18 10:00,21
28-09-18 09:00,23
28-09-18 08:00,23
28-09-18 07:00,17
28-09-18 06:00,12
28-09-18 05:00,13
28-09-18 04:00,10
28-09-18 03:00,11
28-09-18 02:00,12
28-09-18 01:00,10
28-09-18 00:00,10
27-09-18 23:00,11
27-09-18 22:00,16
27-09-18 21:00,16
27-09-18 20:00,15
27-09-18 19:00,14
27-09-18 18:00,13
27-09-18 17:00,11
27-09-18 16:00,10
27-09-18 15:00,16
27-09-18 14:00,18
27-09-18 13:00,15
27-09-18 12:00,12
27-09-18 11:00,16
27-09-18 10:00,15
27-09-18 09:00,15
27-09-18 08:00,27
27-09-18 07:00,19
27-09-18 06:00,11
27-09-18 05:00,10
27-09-18 04:00,11
27-09-18 03:00,9
27-09-18 02:00,6
27-09-18 01:00,8
27-09-18 00:00,9
26-09-18 23:00,11
26-09-18 22:00,12
26-09-18 21:00,12
26-09-18 20:00,12
26-09-18 19:00,12
26-09-18 18:00,14
26-09-18 17:00,18
26-09-18 16:00,19
26-09-18 15:00,16
26-09-18 14:00,12
26-09-18 13:00,14
26-09-18 12:00,15
26-09-18 11:00,13
26-09-18 10:00,14
26-09-18 09:00,11
26-09-18 08:00,22
26-09-18 07:00,24
26-09-18 06:00,12
26-09-18 05:00,12
26-09-18 04:00,14
26-09-18 03:00,12
26-09-18 02:00,13
26-09-18 01:00,12
26-09-18 00:00,16
25-09-18 23:00,15
25-09-18 22:00,12
25-09-18 21:00,12
25-09-18 20:00,11
25-09-18 19:00,8
25-09-18 18:00,8
25-09-18 17:00,6
25-09-18 16:00,4
25-09-18 15:00,8
25-09-18 14:00,7
25-09-18 13:00,9
25-09-18 12:00,9
25-09-18 11:00,9
25-09-18 10:00,11
25-09-18 09:00,15
25-09-18 08:00,9
25-09-18 07:00,8
25-09-18 06:00,7
25-09-18 05:00,8
25-09-18 04:00,6
25-09-18 03:00,5
25-09-18 02:00,3
25-09-18 01:00,5
25-09-18 00:00,3
24-09-18 23:00,6
24-09-18 22:00,4
24-09-18 21:00,0
24-09-18 20:00,3
24-09-18 19:00,5
24-09-18 18:00,7
24-09-18 17:00,5
24-09-18 16:00,9
24-09-18 15:00,6
24-09-18 14:00,9
24-09-18 13:00,6
24-09-18 12:00,11
24-09-18 11:00,7
24-09-18 10:00,7
24-09-18 09:00,10
24-09-18 08:00,6
24-09-18 07:00,6
24-09-18 06:00,6
24-09-18 05:00,5
24-09-18 04:00,4
24-09-18 03:00,2
24-09-18 02:00,2
24-09-18 01:00,0
24-09-18 00:00,0
23-09-18 23:00,1
23-09-18 22:00,0
23-09-18 21:00,5
23-09-18 20:00,14
23-09-18 19:00,6
23-09-18 18:00,3
23-09-18 17:00,4
23-09-18 16:00,4
23-09-18 15:00,7
23-09-18 14:00,7
23-09-18 13:00,5
23-09-18 12:00,4
23-09-18 11:00,5
23-09-18 10:00,8
23-09-18 09:00,7
23-09-18 08:00,9
23-09-18 07:00,9
23-09-18 06:00,8
23-09-18 05:00,11
23-09-18 04:00,8
23-09-18 03:00,9
23-09-18 02:00,12
23-09-18 01:00,14
23-09-18 00:00,18
22-09-18 23:00,29
22-09-18 22:00,17
22-09-18 21:00,12
22-09-18 20:00,11
22-09-18 19:00,10
22-09-18 18:00,8
22-09-18 17:00,7
22-09-18 16:00,8
22-09-18 15:00,8
22-09-18 14:00,8
22-09-18 13:00,7
22-09-18 12:00,5
22-09-18 11:00,8
22-09-18 10:00,6
22-09-18 09:00,10
22-09-18 08:00,8
22-09-18 07:00,7
