Datum Zeit,Dresden-Bergstraße O3
,µg/m³
01-12-18 00:00,
30-11-18 23:00,15
30-11-18 22:00,16
30-11-18 21:00,17
30-11-18 20:00,18
30-11-18 19:00,18
30-11-18 18:00,17
30-11-18 17:00,17
30-11-18 16:00,18
30-11-18 15:00,23
30-11-18 14:00,29
30-11-18 13:00,32
30-11-18 12:00,33
30-11-18 11:00,38
30-11-18 10:00,38
30-11-18 09:00,36
30-11-18 08:00,35
30-11-18 07:00,38
30-11-18 06:00,42
30-11-18 05:00,43
30-11-18 04:00,43
30-11-18 03:00,45
30-11-18 02:00,45
30-11-18 01:00,46
30-11-18 00:00,48
29-11-18 23:00,47
29-11-18 22:00,44
29-11-18 21:00,42
29-11-18 20:00,39
29-11-18 19:00,37
29-11-18 18:00,34
29-11-18 17:00,30
29-11-18 16:00,34
29-11-18 15:00,37
29-11-18 14:00,45
29-11-18 13:00,38
29-11-18 12:00,36
29-11-18 11:00,33
29-11-18 10:00,30
29-11-18 09:00,22
29-11-18 08:00,19
29-11-18 07:00,27
29-11-18 06:00,34
29-11-18 05:00,38
29-11-18 04:00,39
29-11-18 03:00,43
29-11-18 02:00,38
29-11-18 01:00,32
29-11-18 00:00,25
28-11-18 23:00,27
28-11-18 22:00,31
28-11-18 21:00,18
28-11-18 20:00,21
28-11-18 19:00,24
28-11-18 18:00,22
28-11-18 17:00,25
28-11-18 16:00,29
28-11-18 15:00,40
28-11-18 14:00,46
28-11-18 13:00,34
28-11-18 12:00,18
28-11-18 11:00,11
28-11-18 10:00,6
28-11-18 09:00,4
28-11-18 08:00,3
28-11-18 07:00,2
28-11-18 06:00,2
28-11-18 05:00,3
28-11-18 04:00,1
28-11-18 03:00,1
28-11-18 02:00,2
28-11-18 01:00,2
28-11-18 00:00,2
27-11-18 23:00,1
27-11-18 22:00,2
27-11-18 21:00,2
27-11-18 20:00,2
27-11-18 19:00,2
27-11-18 18:00,4
27-11-18 17:00,8
27-11-18 16:00,18
27-11-18 15:00,22
27-11-18 14:00,27
27-11-18 13:00,27
27-11-18 12:00,25
27-11-18 11:00,15
27-11-18 10:00,15
27-11-18 09:00,15
27-11-18 08:00,17
27-11-18 07:00,20
27-11-18 06:00,32
27-11-18 05:00,30
27-11-18 04:00,38
27-11-18 03:00,43
27-11-18 02:00,36
27-11-18 01:00,35
27-11-18 00:00,35
26-11-18 23:00,38
26-11-18 22:00,37
26-11-18 21:00,35
26-11-18 20:00,33
26-11-18 19:00,22
26-11-18 18:00,18
26-11-18 17:00,20
26-11-18 16:00,23
26-11-18 15:00,12
26-11-18 14:00,12
26-11-18 13:00,11
26-11-18 12:00,11
26-11-18 11:00,7
26-11-18 10:00,3
26-11-18 09:00,2
26-11-18 08:00,1
26-11-18 07:00,6
26-11-18 06:00,17
26-11-18 05:00,21
26-11-18 04:00,20
26-11-18 03:00,20
26-11-18 02:00,4
26-11-18 01:00,3
26-11-18 00:00,1
25-11-18 23:00,1
25-11-18 22:00,1
25-11-18 21:00,3
25-11-18 20:00,2
25-11-18 19:00,4
25-11-18 18:00,12
25-11-18 17:00,15
25-11-18 16:00,14
25-11-18 15:00,16
25-11-18 14:00,16
25-11-18 13:00,14
25-11-18 12:00,10
25-11-18 11:00,10
25-11-18 10:00,9
25-11-18 09:00,9
25-11-18 08:00,7
25-11-18 07:00,5
25-11-18 06:00,4
25-11-18 05:00,6
25-11-18 04:00,7
25-11-18 03:00,5
25-11-18 02:00,5
25-11-18 01:00,3
25-11-18 00:00,4
24-11-18 23:00,4
24-11-18 22:00,9
24-11-18 21:00,11
24-11-18 20:00,1
24-11-18 19:00,1
24-11-18 18:00,1
24-11-18 17:00,2
24-11-18 16:00,4
24-11-18 15:00,8
24-11-18 14:00,12
24-11-18 13:00,7
24-11-18 12:00,4
24-11-18 11:00,3
24-11-18 10:00,3
24-11-18 09:00,15
24-11-18 08:00,22
24-11-18 07:00,25
24-11-18 06:00,28
24-11-18 05:00,30
24-11-18 04:00,28
24-11-18 03:00,25
24-11-18 02:00,23
24-11-18 01:00,19
24-11-18 00:00,15
23-11-18 23:00,10
23-11-18 22:00,3
23-11-18 21:00,1
23-11-18 20:00,2
23-11-18 19:00,2
23-11-18 18:00,2
23-11-18 17:00,2
23-11-18 16:00,5
23-11-18 15:00,13
23-11-18 14:00,16
23-11-18 13:00,9
23-11-18 12:00,8
23-11-18 11:00,4
23-11-18 10:00,2
23-11-18 09:00,1
23-11-18 08:00,1
23-11-18 07:00,1
23-11-18 06:00,1
23-11-18 05:00,2
23-11-18 04:00,2
23-11-18 03:00,2
23-11-18 02:00,4
23-11-18 01:00,4
23-11-18 00:00,6
22-11-18 23:00,4
22-11-18 22:00,4
22-11-18 21:00,4
22-11-18 20:00,3
22-11-18 19:00,3
22-11-18 18:00,3
22-11-18 17:00,3
22-11-18 16:00,4
22-11-18 15:00,4
22-11-18 14:00,6
22-11-18 13:00,8
22-11-18 12:00,8
22-11-18 11:00,6
22-11-18 10:00,5
22-11-18 09:00,4
22-11-18 08:00,3
22-11-18 07:00,7
22-11-18 06:00,10
22-11-18 05:00,16
22-11-18 04:00,17
22-11-18 03:00,17
22-11-18 02:00,16
22-11-18 01:00,16
22-11-18 00:00,17
21-11-18 23:00,18
21-11-18 22:00,19
21-11-18 21:00,17
21-11-18 20:00,19
21-11-18 19:00,19
21-11-18 18:00,17
21-11-18 17:00,17
21-11-18 16:00,15
21-11-18 15:00,16
21-11-18 14:00,18
21-11-18 13:00,19
21-11-18 12:00,18
21-11-18 11:00,16
21-11-18 10:00,18
21-11-18 09:00,22
21-11-18 08:00,24
21-11-18 07:00,26
21-11-18 06:00,26
21-11-18 05:00,28
21-11-18 04:00,28
21-11-18 03:00,27
21-11-18 02:00,27
21-11-18 01:00,28
21-11-18 00:00,27
20-11-18 23:00,24
20-11-18 22:00,19
20-11-18 21:00,8
20-11-18 20:00,18
20-11-18 19:00,22
20-11-18 18:00,22
20-11-18 17:00,24
20-11-18 16:00,25
20-11-18 15:00,29
20-11-18 14:00,34
20-11-18 13:00,33
20-11-18 12:00,33
20-11-18 11:00,31
20-11-18 10:00,27
20-11-18 09:00,27
20-11-18 08:00,26
20-11-18 07:00,32
20-11-18 06:00,37
20-11-18 05:00,37
20-11-18 04:00,36
20-11-18 03:00,34
20-11-18 02:00,36
20-11-18 01:00,34
20-11-18 00:00,31
19-11-18 23:00,34
19-11-18 22:00,39
19-11-18 21:00,35
19-11-18 20:00,30
19-11-18 19:00,29
19-11-18 18:00,22
19-11-18 17:00,22
19-11-18 16:00,17
19-11-18 15:00,19
19-11-18 14:00,23
19-11-18 13:00,21
19-11-18 12:00,19
19-11-18 11:00,19
19-11-18 10:00,15
19-11-18 09:00,11
19-11-18 08:00,4
19-11-18 07:00,6
19-11-18 06:00,3
19-11-18 05:00,3
19-11-18 04:00,3
19-11-18 03:00,3
19-11-18 02:00,4
19-11-18 01:00,5
19-11-18 00:00,8
18-11-18 23:00,10
18-11-18 22:00,7
18-11-18 21:00,5
18-11-18 20:00,2
18-11-18 19:00,2
18-11-18 18:00,4
18-11-18 17:00,6
18-11-18 16:00,11
18-11-18 15:00,16
18-11-18 14:00,17
18-11-18 13:00,17
18-11-18 12:00,15
18-11-18 11:00,11
18-11-18 10:00,6
18-11-18 09:00,3
18-11-18 08:00,2
18-11-18 07:00,1
18-11-18 06:00,1
18-11-18 05:00,1
18-11-18 04:00,1
18-11-18 03:00,1
18-11-18 02:00,1
18-11-18 01:00,1
18-11-18 00:00,2
17-11-18 23:00,1
17-11-18 22:00,4
17-11-18 21:00,2
17-11-18 20:00,2
17-11-18 19:00,16
17-11-18 18:00,25
17-11-18 17:00,20
17-11-18 16:00,23
17-11-18 15:00,28
17-11-18 14:00,24
17-11-18 13:00,20
17-11-18 12:00,12
17-11-18 11:00,11
17-11-18 10:00,6
17-11-18 09:00,2
17-11-18 08:00,2
17-11-18 07:00,1
17-11-18 06:00,1
17-11-18 05:00,2
17-11-18 04:00,1
17-11-18 03:00,2
17-11-18 02:00,1
17-11-18 01:00,1
17-11-18 00:00,1
16-11-18 23:00,6
16-11-18 22:00,7
16-11-18 21:00,3
16-11-18 20:00,19
16-11-18 19:00,21
16-11-18 18:00,16
16-11-18 17:00,8
16-11-18 16:00,21
16-11-18 15:00,36
16-11-18 14:00,41
16-11-18 13:00,36
16-11-18 12:00,28
16-11-18 11:00,19
16-11-18 10:00,11
16-11-18 09:00,11
16-11-18 08:00,8
16-11-18 07:00,11
16-11-18 06:00,19
16-11-18 05:00,26
16-11-18 04:00,28
16-11-18 03:00,31
16-11-18 02:00,30
16-11-18 01:00,28
16-11-18 00:00,24
15-11-18 23:00,25
15-11-18 22:00,23
15-11-18 21:00,15
15-11-18 20:00,13
15-11-18 19:00,14
15-11-18 18:00,20
15-11-18 17:00,28
15-11-18 16:00,35
15-11-18 15:00,39
15-11-18 14:00,40
15-11-18 13:00,38
15-11-18 12:00,21
15-11-18 11:00,11
15-11-18 10:00,11
15-11-18 09:00,6
15-11-18 08:00,2
15-11-18 07:00,4
15-11-18 06:00,11
15-11-18 05:00,14
15-11-18 04:00,11
15-11-18 03:00,9
15-11-18 02:00,12
15-11-18 01:00,1
15-11-18 00:00,1
14-11-18 23:00,1
14-11-18 22:00,1
14-11-18 21:00,1
14-11-18 20:00,1
14-11-18 19:00,1
14-11-18 18:00,1
14-11-18 17:00,2
14-11-18 16:00,18
14-11-18 15:00,38
14-11-18 14:00,34
14-11-18 13:00,40
14-11-18 12:00,38
14-11-18 11:00,33
14-11-18 10:00,21
14-11-18 09:00,17
14-11-18 08:00,16
14-11-18 07:00,18
14-11-18 06:00,28
14-11-18 05:00,37
14-11-18 04:00,39
14-11-18 03:00,37
14-11-18 02:00,43
14-11-18 01:00,45
14-11-18 00:00,39
13-11-18 23:00,32
13-11-18 22:00,41
13-11-18 21:00,51
13-11-18 20:00,35
13-11-18 19:00,29
13-11-18 18:00,15
13-11-18 17:00,14
13-11-18 16:00,9
13-11-18 15:00,17
13-11-18 14:00,3
13-11-18 13:00,1
13-11-18 12:00,1
13-11-18 11:00,2
13-11-18 10:00,2
13-11-18 09:00,3
13-11-18 08:00,8
13-11-18 07:00,9
13-11-18 06:00,13
13-11-18 05:00,15
13-11-18 04:00,17
13-11-18 03:00,20
13-11-18 02:00,21
13-11-18 01:00,22
13-11-18 00:00,21
