Datum Zeit,Annaberg-Buchholz PM10_TEOM
,µg/m³
01-01-19 00:00,
31-12-18 23:00,
31-12-18 22:00,
31-12-18 21:00,
31-12-18 20:00,
31-12-18 19:00,
31-12-18 18:00,
31-12-18 17:00,
31-12-18 16:00,
31-12-18 15:00,
31-12-18 14:00,
31-12-18 13:00,
31-12-18 12:00,
31-12-18 11:00,
31-12-18 10:00,
31-12-18 09:00,
31-12-18 08:00,
31-12-18 07:00,
31-12-18 06:00,
31-12-18 05:00,
31-12-18 04:00,
31-12-18 03:00,
31-12-18 02:00,
31-12-18 01:00,
31-12-18 00:00,
30-12-18 23:00,
30-12-18 22:00,
30-12-18 21:00,
30-12-18 20:00,
30-12-18 19:00,
30-12-18 18:00,
30-12-18 17:00,
30-12-18 16:00,
30-12-18 15:00,
30-12-18 14:00,
30-12-18 13:00,
30-12-18 12:00,
30-12-18 11:00,
30-12-18 10:00,
30-12-18 09:00,
30-12-18 08:00,
30-12-18 07:00,
30-12-18 06:00,
30-12-18 05:00,
30-12-18 04:00,
30-12-18 03:00,
30-12-18 02:00,
30-12-18 01:00,
30-12-18 00:00,
29-12-18 23:00,
29-12-18 22:00,
29-12-18 21:00,
29-12-18 20:00,
29-12-18 19:00,
29-12-18 18:00,
29-12-18 17:00,9
29-12-18 16:00,7
29-12-18 15:00,6
29-12-18 14:00,7
29-12-18 13:00,6
29-12-18 12:00,5
29-12-18 11:00,6
29-12-18 10:00,5
29-12-18 09:00,3
29-12-18 08:00,2
29-12-18 07:00,3
29-12-18 06:00,3
29-12-18 05:00,3
29-12-18 04:00,3
29-12-18 03:00,4
29-12-18 02:00,5
29-12-18 01:00,4
29-12-18 00:00,4
28-12-18 23:00,4
28-12-18 22:00,6
28-12-18 21:00,8
28-12-18 20:00,12
28-12-18 19:00,10
28-12-18 18:00,12
28-12-18 17:00,12
28-12-18 16:00,13
28-12-18 15:00,15
28-12-18 14:00,14
28-12-18 13:00,12
28-12-18 12:00,13
28-12-18 11:00,17
28-12-18 10:00,20
28-12-18 09:00,12
28-12-18 08:00,6
28-12-18 07:00,4
28-12-18 06:00,3
28-12-18 05:00,6
28-12-18 04:00,5
28-12-18 03:00,5
28-12-18 02:00,6
28-12-18 01:00,12
28-12-18 00:00,15
27-12-18 23:00,19
27-12-18 22:00,20
27-12-18 21:00,19
27-12-18 20:00,20
27-12-18 19:00,22
27-12-18 18:00,28
27-12-18 17:00,12
27-12-18 16:00,6
27-12-18 15:00,4
27-12-18 14:00,7
27-12-18 13:00,23
27-12-18 12:00,34
27-12-18 11:00,35
27-12-18 10:00,19
27-12-18 09:00,9
27-12-18 08:00,5
27-12-18 07:00,3
27-12-18 06:00,2
27-12-18 05:00,2
27-12-18 04:00,2
27-12-18 03:00,2
27-12-18 02:00,2
27-12-18 01:00,3
27-12-18 00:00,5
26-12-18 23:00,5
26-12-18 22:00,4
26-12-18 21:00,5
26-12-18 20:00,5
26-12-18 19:00,3
26-12-18 18:00,4
26-12-18 17:00,2
26-12-18 16:00,1
26-12-18 15:00,3
26-12-18 14:00,5
26-12-18 13:00,7
26-12-18 12:00,11
26-12-18 11:00,13
26-12-18 10:00,15
26-12-18 09:00,15
26-12-18 08:00,15
26-12-18 07:00,11
26-12-18 06:00,9
26-12-18 05:00,8
26-12-18 04:00,9
26-12-18 03:00,8
26-12-18 02:00,10
26-12-18 01:00,11
26-12-18 00:00,10
25-12-18 23:00,8
25-12-18 22:00,7
25-12-18 21:00,9
25-12-18 20:00,6
25-12-18 19:00,6
25-12-18 18:00,5
25-12-18 17:00,5
25-12-18 16:00,5
25-12-18 15:00,4
25-12-18 14:00,5
25-12-18 13:00,5
25-12-18 12:00,4
25-12-18 11:00,2
25-12-18 10:00,4
25-12-18 09:00,3
25-12-18 08:00,5
25-12-18 07:00,4
25-12-18 06:00,3
25-12-18 05:00,2
25-12-18 04:00,1
25-12-18 03:00,2
25-12-18 02:00,4
25-12-18 01:00,3
25-12-18 00:00,5
24-12-18 23:00,6
24-12-18 22:00,5
24-12-18 21:00,4
24-12-18 20:00,4
24-12-18 19:00,5
24-12-18 18:00,3
24-12-18 17:00,4
24-12-18 16:00,3
24-12-18 15:00,5
24-12-18 14:00,2
24-12-18 13:00,2
24-12-18 12:00,4
24-12-18 11:00,3
24-12-18 10:00,2
24-12-18 09:00,1
24-12-18 08:00,0
24-12-18 07:00,0
24-12-18 06:00,0
24-12-18 05:00,1
24-12-18 04:00,1
24-12-18 03:00,3
24-12-18 02:00,2
24-12-18 01:00,1
24-12-18 00:00,0
23-12-18 23:00,5
23-12-18 22:00,4
23-12-18 21:00,11
23-12-18 20:00,8
23-12-18 19:00,4
23-12-18 18:00,12
23-12-18 17:00,9
23-12-18 16:00,4
23-12-18 15:00,6
23-12-18 14:00,6
23-12-18 13:00,5
23-12-18 12:00,7
23-12-18 11:00,8
23-12-18 10:00,7
23-12-18 09:00,8
23-12-18 08:00,7
23-12-18 07:00,5
23-12-18 06:00,1
23-12-18 05:00,0
23-12-18 04:00,3
23-12-18 03:00,3
23-12-18 02:00,4
23-12-18 01:00,4
23-12-18 00:00,4
22-12-18 23:00,4
22-12-18 22:00,5
22-12-18 21:00,5
22-12-18 20:00,5
22-12-18 19:00,2
22-12-18 18:00,1
22-12-18 17:00,2
22-12-18 16:00,0
22-12-18 15:00,0
22-12-18 14:00,0
22-12-18 13:00,3
22-12-18 12:00,3
22-12-18 11:00,6
22-12-18 10:00,4
22-12-18 09:00,4
22-12-18 08:00,4
22-12-18 07:00,3
22-12-18 06:00,2
22-12-18 05:00,3
22-12-18 04:00,2
22-12-18 03:00,2
22-12-18 02:00,2
22-12-18 01:00,1
22-12-18 00:00,2
21-12-18 23:00,1
21-12-18 22:00,1
21-12-18 21:00,2
21-12-18 20:00,2
21-12-18 19:00,1
21-12-18 18:00,1
21-12-18 17:00,0
21-12-18 16:00,0
21-12-18 15:00,1
21-12-18 14:00,2
21-12-18 13:00,4
21-12-18 12:00,6
21-12-18 11:00,8
21-12-18 10:00,6
21-12-18 09:00,4
21-12-18 08:00,7
21-12-18 07:00,4
21-12-18 06:00,2
21-12-18 05:00,3
21-12-18 04:00,3
21-12-18 03:00,3
21-12-18 02:00,4
21-12-18 01:00,3
21-12-18 00:00,5
20-12-18 23:00,5
20-12-18 22:00,6
20-12-18 21:00,6
20-12-18 20:00,9
20-12-18 19:00,16
20-12-18 18:00,17
20-12-18 17:00,11
20-12-18 16:00,9
20-12-18 15:00,10
20-12-18 14:00,8
20-12-18 13:00,19
20-12-18 12:00,21
20-12-18 11:00,24
20-12-18 10:00,26
20-12-18 09:00,19
20-12-18 08:00,17
20-12-18 07:00,17
20-12-18 06:00,15
20-12-18 05:00,16
20-12-18 04:00,17
20-12-18 03:00,18
20-12-18 02:00,16
20-12-18 01:00,12
20-12-18 00:00,14
19-12-18 23:00,15
19-12-18 22:00,16
19-12-18 21:00,15
19-12-18 20:00,15
19-12-18 19:00,12
19-12-18 18:00,15
19-12-18 17:00,18
19-12-18 16:00,15
19-12-18 15:00,13
19-12-18 14:00,11
19-12-18 13:00,11
19-12-18 12:00,11
19-12-18 11:00,13
19-12-18 10:00,13
19-12-18 09:00,13
19-12-18 08:00,14
19-12-18 07:00,13
19-12-18 06:00,11
19-12-18 05:00,12
19-12-18 04:00,10
19-12-18 03:00,7
19-12-18 02:00,6
19-12-18 01:00,7
19-12-18 00:00,9
18-12-18 23:00,8
18-12-18 22:00,8
18-12-18 21:00,13
18-12-18 20:00,21
18-12-18 19:00,19
18-12-18 18:00,23
18-12-18 17:00,20
18-12-18 16:00,13
18-12-18 15:00,11
18-12-18 14:00,10
