Datum Zeit,Chemnitz-Hans-Link-Straße FEUCHT
,PROZ
01-01-19 00:00,
31-12-18 23:00,
31-12-18 22:00,
31-12-18 21:00,
31-12-18 20:00,
31-12-18 19:00,
31-12-18 18:00,
31-12-18 17:00,
31-12-18 16:00,
31-12-18 15:00,
31-12-18 14:00,
31-12-18 13:00,
31-12-18 12:00,
31-12-18 11:00,
31-12-18 10:00,
31-12-18 09:00,
31-12-18 08:00,
31-12-18 07:00,
31-12-18 06:00,
31-12-18 05:00,
31-12-18 04:00,
31-12-18 03:00,
31-12-18 02:00,
31-12-18 01:00,
31-12-18 00:00,
30-12-18 23:00,
30-12-18 22:00,
30-12-18 21:00,
30-12-18 20:00,
30-12-18 19:00,
30-12-18 18:00,
30-12-18 17:00,
30-12-18 16:00,
30-12-18 15:00,
30-12-18 14:00,
30-12-18 13:00,
30-12-18 12:00,
30-12-18 11:00,
30-12-18 10:00,
30-12-18 09:00,
30-12-18 08:00,
30-12-18 07:00,
30-12-18 06:00,
30-12-18 05:00,
30-12-18 04:00,
30-12-18 03:00,
30-12-18 02:00,
30-12-18 01:00,
30-12-18 00:00,
29-12-18 23:00,
29-12-18 22:00,
29-12-18 21:00,
29-12-18 20:00,
29-12-18 19:00,
29-12-18 18:00,
29-12-18 17:00,
29-12-18 16:00,
29-12-18 15:00,
29-12-18 14:00,
29-12-18 13:00,
29-12-18 12:00,
29-12-18 11:00,94.9
29-12-18 10:00,94.6
29-12-18 09:00,93.6
29-12-18 08:00,94.3
29-12-18 07:00,94.1
29-12-18 06:00,94.3
29-12-18 05:00,95.0
29-12-18 04:00,95.7
29-12-18 03:00,96.1
29-12-18 02:00,95.7
29-12-18 01:00,95.2
29-12-18 00:00,96.1
28-12-18 23:00,96.2
28-12-18 22:00,94.4
28-12-18 21:00,93.7
28-12-18 20:00,93.0
28-12-18 19:00,93.1
28-12-18 18:00,94.3
28-12-18 17:00,94.1
28-12-18 16:00,93.4
28-12-18 15:00,93.4
28-12-18 14:00,93.1
28-12-18 13:00,92.8
28-12-18 12:00,90.1
28-12-18 11:00,85.1
28-12-18 10:00,87.1
28-12-18 09:00,92.3
28-12-18 08:00,95.9
28-12-18 07:00,95.0
28-12-18 06:00,90.7
28-12-18 05:00,89.1
28-12-18 04:00,90.0
28-12-18 03:00,89.0
28-12-18 02:00,89.8
28-12-18 01:00,88.5
28-12-18 00:00,87.4
27-12-18 23:00,86.7
27-12-18 22:00,88.1
27-12-18 21:00,87.2
27-12-18 20:00,86.2
27-12-18 19:00,84.9
27-12-18 18:00,82.7
27-12-18 17:00,81.3
27-12-18 16:00,76.1
27-12-18 15:00,72.5
27-12-18 14:00,74.6
27-12-18 13:00,79.3
27-12-18 12:00,82.9
27-12-18 11:00,85.7
27-12-18 10:00,87.6
27-12-18 09:00,91.4
27-12-18 08:00,93.5
27-12-18 07:00,92.9
27-12-18 06:00,91.0
27-12-18 05:00,91.0
27-12-18 04:00,91.6
27-12-18 03:00,94.5
27-12-18 02:00,95.5
27-12-18 01:00,95.5
27-12-18 00:00,95.2
26-12-18 23:00,94.4
26-12-18 22:00,94.6
26-12-18 21:00,95.0
26-12-18 20:00,95.4
26-12-18 19:00,96.0
26-12-18 18:00,95.9
