Datum Zeit,Chemnitz-Leipziger Str. FEUCHT
,PROZ
01-02-19 00:00,
31-01-19 23:00,
31-01-19 22:00,
31-01-19 21:00,
31-01-19 20:00,
31-01-19 19:00,
31-01-19 18:00,
31-01-19 17:00,
31-01-19 16:00,
31-01-19 15:00,
31-01-19 14:00,
31-01-19 13:00,
31-01-19 12:00,
31-01-19 11:00,
31-01-19 10:00,
31-01-19 09:00,
31-01-19 08:00,
31-01-19 07:00,
31-01-19 06:00,
31-01-19 05:00,
31-01-19 04:00,
31-01-19 03:00,
31-01-19 02:00,
31-01-19 01:00,
31-01-19 00:00,
30-01-19 23:00,
30-01-19 22:00,
30-01-19 21:00,
30-01-19 20:00,
30-01-19 19:00,
30-01-19 18:00,
30-01-19 17:00,
30-01-19 16:00,
30-01-19 15:00,
30-01-19 14:00,
30-01-19 13:00,
30-01-19 12:00,
30-01-19 11:00,
30-01-19 10:00,
30-01-19 09:00,
30-01-19 08:00,
30-01-19 07:00,
30-01-19 06:00,
30-01-19 05:00,
30-01-19 04:00,
30-01-19 03:00,
30-01-19 02:00,
30-01-19 01:00,
30-01-19 00:00,
29-01-19 23:00,
29-01-19 22:00,
29-01-19 21:00,
29-01-19 20:00,
29-01-19 19:00,
29-01-19 18:00,
29-01-19 17:00,
29-01-19 16:00,
29-01-19 15:00,
29-01-19 14:00,
29-01-19 13:00,
29-01-19 12:00,
29-01-19 11:00,
29-01-19 10:00,
29-01-19 09:00,
29-01-19 08:00,
29-01-19 07:00,
29-01-19 06:00,
29-01-19 05:00,
29-01-19 04:00,
29-01-19 03:00,
29-01-19 02:00,
29-01-19 01:00,
29-01-19 00:00,
28-01-19 23:00,
28-01-19 22:00,
28-01-19 21:00,
28-01-19 20:00,
28-01-19 19:00,
28-01-19 18:00,
28-01-19 17:00,
28-01-19 16:00,
28-01-19 15:00,
28-01-19 14:00,
28-01-19 13:00,
28-01-19 12:00,
28-01-19 11:00,
28-01-19 10:00,
28-01-19 09:00,
28-01-19 08:00,
28-01-19 07:00,
28-01-19 06:00,
28-01-19 05:00,
28-01-19 04:00,
28-01-19 03:00,
28-01-19 02:00,
28-01-19 01:00,
28-01-19 00:00,
27-01-19 23:00,
27-01-19 22:00,
27-01-19 21:00,
27-01-19 20:00,
27-01-19 19:00,
27-01-19 18:00,
27-01-19 17:00,
27-01-19 16:00,
27-01-19 15:00,
27-01-19 14:00,
27-01-19 13:00,
27-01-19 12:00,
27-01-19 11:00,
27-01-19 10:00,
27-01-19 09:00,
27-01-19 08:00,
27-01-19 07:00,
27-01-19 06:00,
27-01-19 05:00,
27-01-19 04:00,
27-01-19 03:00,
27-01-19 02:00,
27-01-19 01:00,
27-01-19 00:00,
26-01-19 23:00,
26-01-19 22:00,96.4
26-01-19 21:00,98.2
26-01-19 20:00,99.5
26-01-19 19:00,99.1
26-01-19 18:00,98.8
26-01-19 17:00,98.8
26-01-19 16:00,99.0
26-01-19 15:00,98.2
26-01-19 14:00,98.3
26-01-19 13:00,99.3
26-01-19 12:00,99.7
26-01-19 11:00,99.9
26-01-19 10:00,100.0
26-01-19 09:00,100.0
26-01-19 08:00,100.0
26-01-19 07:00,99.9
26-01-19 06:00,99.4
26-01-19 05:00,97.7
26-01-19 04:00,93.5
26-01-19 03:00,84.5
26-01-19 02:00,84.7
26-01-19 01:00,85.0
26-01-19 00:00,81.8
25-01-19 23:00,78.0
25-01-19 22:00,76.3
25-01-19 21:00,76.5
25-01-19 20:00,75.7
25-01-19 19:00,74.6
25-01-19 18:00,74.9
25-01-19 17:00,77.9
25-01-19 16:00,80.9
25-01-19 15:00,81.4
25-01-19 14:00,81.9
25-01-19 13:00,80.4
25-01-19 12:00,84.4
25-01-19 11:00,87.8
25-01-19 10:00,90.5
25-01-19 09:00,92.3
25-01-19 08:00,93.3
25-01-19 07:00,93.6
25-01-19 06:00,93.2
25-01-19 05:00,92.8
25-01-19 04:00,92.7
25-01-19 03:00,91.8
25-01-19 02:00,91.3
25-01-19 01:00,91.4
25-01-19 00:00,90.9
24-01-19 23:00,89.0
24-01-19 22:00,87.2
24-01-19 21:00,86.8
24-01-19 20:00,86.6
24-01-19 19:00,86.4
24-01-19 18:00,85.8
24-01-19 17:00,85.8
24-01-19 16:00,86.2
24-01-19 15:00,85.5
24-01-19 14:00,84.7
24-01-19 13:00,85.6
24-01-19 12:00,86.8
24-01-19 11:00,87.3
24-01-19 10:00,84.4
24-01-19 09:00,83.7
24-01-19 08:00,83.9
24-01-19 07:00,83.4
24-01-19 06:00,83.1
24-01-19 05:00,84.4
24-01-19 04:00,85.4
24-01-19 03:00,87.1
24-01-19 02:00,88.7
24-01-19 01:00,89.9
24-01-19 00:00,90.4
23-01-19 23:00,90.8
23-01-19 22:00,90.4
23-01-19 21:00,90.2
23-01-19 20:00,87.9
23-01-19 19:00,85.0
23-01-19 18:00,69.7
23-01-19 17:00,59.7
23-01-19 16:00,58.1
23-01-19 15:00,57.9
23-01-19 14:00,60.3
23-01-19 13:00,63.1
23-01-19 12:00,68.1
23-01-19 11:00,72.6
23-01-19 10:00,77.0
23-01-19 09:00,80.4
23-01-19 08:00,81.6
23-01-19 07:00,78.1
23-01-19 06:00,76.3
