Datum Zeit,Niesky STRAHL
,W/m2
01-02-19 00:00,
31-01-19 23:00,
31-01-19 22:00,
31-01-19 21:00,
31-01-19 20:00,
31-01-19 19:00,
31-01-19 18:00,
31-01-19 17:00,
31-01-19 16:00,
31-01-19 15:00,
31-01-19 14:00,
31-01-19 13:00,
31-01-19 12:00,
31-01-19 11:00,
31-01-19 10:00,
31-01-19 09:00,
31-01-19 08:00,
31-01-19 07:00,
31-01-19 06:00,
31-01-19 05:00,
31-01-19 04:00,
31-01-19 03:00,
31-01-19 02:00,
31-01-19 01:00,
31-01-19 00:00,
30-01-19 23:00,
30-01-19 22:00,
30-01-19 21:00,
30-01-19 20:00,
30-01-19 19:00,
30-01-19 18:00,
30-01-19 17:00,
30-01-19 16:00,
30-01-19 15:00,
30-01-19 14:00,
30-01-19 13:00,
30-01-19 12:00,
30-01-19 11:00,
30-01-19 10:00,
30-01-19 09:00,
30-01-19 08:00,
30-01-19 07:00,
30-01-19 06:00,
30-01-19 05:00,
30-01-19 04:00,
30-01-19 03:00,
30-01-19 02:00,
30-01-19 01:00,
30-01-19 00:00,
29-01-19 23:00,
29-01-19 22:00,
29-01-19 21:00,
29-01-19 20:00,
29-01-19 19:00,
29-01-19 18:00,
29-01-19 17:00,
29-01-19 16:00,
29-01-19 15:00,
29-01-19 14:00,
29-01-19 13:00,
29-01-19 12:00,
29-01-19 11:00,
29-01-19 10:00,
29-01-19 09:00,
29-01-19 08:00,
29-01-19 07:00,
29-01-19 06:00,
29-01-19 05:00,
29-01-19 04:00,
29-01-19 03:00,
29-01-19 02:00,
29-01-19 01:00,
29-01-19 00:00,
28-01-19 23:00,
28-01-19 22:00,
28-01-19 21:00,
28-01-19 20:00,
28-01-19 19:00,
28-01-19 18:00,
28-01-19 17:00,
28-01-19 16:00,
28-01-19 15:00,
28-01-19 14:00,
28-01-19 13:00,
28-01-19 12:00,
28-01-19 11:00,136
28-01-19 10:00,99
28-01-19 09:00,43
28-01-19 08:00,1
28-01-19 07:00,0
28-01-19 06:00,0
28-01-19 05:00,0
28-01-19 04:00,0
28-01-19 03:00,0
28-01-19 02:00,0
28-01-19 01:00,0
28-01-19 00:00,0
27-01-19 23:00,0
27-01-19 22:00,0
27-01-19 21:00,0
27-01-19 20:00,0
27-01-19 19:00,0
27-01-19 18:00,0
27-01-19 17:00,6
27-01-19 16:00,30
27-01-19 15:00,78
27-01-19 14:00,126
27-01-19 13:00,141
27-01-19 12:00,143
27-01-19 11:00,100
27-01-19 10:00,42
27-01-19 09:00,11
27-01-19 08:00,1
27-01-19 07:00,0
27-01-19 06:00,0
27-01-19 05:00,0
27-01-19 04:00,0
27-01-19 03:00,0
27-01-19 02:00,0
27-01-19 01:00,0
27-01-19 00:00,0
26-01-19 23:00,0
26-01-19 22:00,0
26-01-19 21:00,0
26-01-19 20:00,0
26-01-19 19:00,0
26-01-19 18:00,0
26-01-19 17:00,4
26-01-19 16:00,29
26-01-19 15:00,58
26-01-19 14:00,66
26-01-19 13:00,69
26-01-19 12:00,62
26-01-19 11:00,41
26-01-19 10:00,24
26-01-19 09:00,10
26-01-19 08:00,0
26-01-19 07:00,0
26-01-19 06:00,0
26-01-19 05:00,0
26-01-19 04:00,0
26-01-19 03:00,0
26-01-19 02:00,0
26-01-19 01:00,0
26-01-19 00:00,0
25-01-19 23:00,0
25-01-19 22:00,0
25-01-19 21:00,0
25-01-19 20:00,0
25-01-19 19:00,0
25-01-19 18:00,0
25-01-19 17:00,3
25-01-19 16:00,28
25-01-19 15:00,67
25-01-19 14:00,89
25-01-19 13:00,93
25-01-19 12:00,72
25-01-19 11:00,35
25-01-19 10:00,19
25-01-19 09:00,6
25-01-19 08:00,0
25-01-19 07:00,0
25-01-19 06:00,0
25-01-19 05:00,0
25-01-19 04:00,0
25-01-19 03:00,0
25-01-19 02:00,0
25-01-19 01:00,0
25-01-19 00:00,0
24-01-19 23:00,0
24-01-19 22:00,0
24-01-19 21:00,0
24-01-19 20:00,0
24-01-19 19:00,0
24-01-19 18:00,0
24-01-19 17:00,1
24-01-19 16:00,8
24-01-19 15:00,18
24-01-19 14:00,22
24-01-19 13:00,35
24-01-19 12:00,36
24-01-19 11:00,25
24-01-19 10:00,25
24-01-19 09:00,6
24-01-19 08:00,0
24-01-19 07:00,0
24-01-19 06:00,0
24-01-19 05:00,0
24-01-19 04:00,0
24-01-19 03:00,0
24-01-19 02:00,0
24-01-19 01:00,0
24-01-19 00:00,0
23-01-19 23:00,0
23-01-19 22:00,0
23-01-19 21:00,0
23-01-19 20:00,0
23-01-19 19:00,0
23-01-19 18:00,0
23-01-19 17:00,3
23-01-19 16:00,24
23-01-19 15:00,50
23-01-19 14:00,69
23-01-19 13:00,77
23-01-19 12:00,76
23-01-19 11:00,52
23-01-19 10:00,34
23-01-19 09:00,11
23-01-19 08:00,0
23-01-19 07:00,0
23-01-19 06:00,0
23-01-19 05:00,0
23-01-19 04:00,0
