Datum Zeit,Bautzen WINDRI
,GRAD
01-03-19 00:00,
28-02-19 23:00,
28-02-19 22:00,
28-02-19 21:00,
28-02-19 20:00,
28-02-19 19:00,
28-02-19 18:00,
28-02-19 17:00,
28-02-19 16:00,
28-02-19 15:00,
28-02-19 14:00,
28-02-19 13:00,
28-02-19 12:00,
28-02-19 11:00,
28-02-19 10:00,
28-02-19 09:00,
28-02-19 08:00,
28-02-19 07:00,
28-02-19 06:00,
28-02-19 05:00,
28-02-19 04:00,
28-02-19 03:00,
28-02-19 02:00,
28-02-19 01:00,
28-02-19 00:00,
27-02-19 23:00,
27-02-19 22:00,
27-02-19 21:00,
27-02-19 20:00,
27-02-19 19:00,
27-02-19 18:00,
27-02-19 17:00,
27-02-19 16:00,
27-02-19 15:00,
27-02-19 14:00,
27-02-19 13:00,
27-02-19 12:00,
27-02-19 11:00,
27-02-19 10:00,
27-02-19 09:00,
27-02-19 08:00,
27-02-19 07:00,
27-02-19 06:00,
27-02-19 05:00,
27-02-19 04:00,
27-02-19 03:00,
27-02-19 02:00,
27-02-19 01:00,
27-02-19 00:00,
26-02-19 23:00,
26-02-19 22:00,
26-02-19 21:00,
26-02-19 20:00,
26-02-19 19:00,
26-02-19 18:00,
26-02-19 17:00,
26-02-19 16:00,
26-02-19 15:00,
26-02-19 14:00,
26-02-19 13:00,
26-02-19 12:00,
26-02-19 11:00,
26-02-19 10:00,
26-02-19 09:00,
26-02-19 08:00,
26-02-19 07:00,
26-02-19 06:00,
26-02-19 05:00,
26-02-19 04:00,
26-02-19 03:00,
26-02-19 02:00,
26-02-19 01:00,
26-02-19 00:00,
25-02-19 23:00,
25-02-19 22:00,
25-02-19 21:00,
25-02-19 20:00,
25-02-19 19:00,
25-02-19 18:00,
25-02-19 17:00,
25-02-19 16:00,
25-02-19 15:00,
25-02-19 14:00,
25-02-19 13:00,
25-02-19 12:00,
25-02-19 11:00,250
25-02-19 10:00,249
25-02-19 09:00,243
25-02-19 08:00,240
25-02-19 07:00,241
25-02-19 06:00,247
25-02-19 05:00,245
25-02-19 04:00,250
25-02-19 03:00,245
25-02-19 02:00,247
25-02-19 01:00,249
25-02-19 00:00,253
24-02-19 23:00,247
24-02-19 22:00,249
24-02-19 21:00,244
24-02-19 20:00,253
24-02-19 19:00,236
24-02-19 18:00,243
24-02-19 17:00,247
24-02-19 16:00,266
24-02-19 15:00,262
24-02-19 14:00,271
24-02-19 13:00,260
24-02-19 12:00,232
24-02-19 11:00,186
24-02-19 10:00,291
24-02-19 09:00,226
24-02-19 08:00,222
24-02-19 07:00,234
24-02-19 06:00,222
24-02-19 05:00,208
24-02-19 04:00,184
24-02-19 03:00,234
24-02-19 02:00,213
24-02-19 01:00,211
24-02-19 00:00,205
23-02-19 23:00,199
23-02-19 22:00,214
23-02-19 21:00,251
23-02-19 20:00,231
23-02-19 19:00,70
23-02-19 18:00,45
23-02-19 17:00,62
23-02-19 16:00,73
23-02-19 15:00,65
23-02-19 14:00,107
23-02-19 13:00,195
23-02-19 12:00,184
23-02-19 11:00,180
23-02-19 10:00,190
23-02-19 09:00,193
23-02-19 08:00,171
23-02-19 07:00,200
23-02-19 06:00,133
23-02-19 05:00,36
23-02-19 04:00,71
23-02-19 03:00,33
23-02-19 02:00,54
23-02-19 01:00,92
23-02-19 00:00,59
22-02-19 23:00,66
22-02-19 22:00,72
22-02-19 21:00,64
22-02-19 20:00,62
22-02-19 19:00,48
22-02-19 18:00,43
22-02-19 17:00,42
22-02-19 16:00,40
22-02-19 15:00,46
22-02-19 14:00,49
22-02-19 13:00,44
22-02-19 12:00,49
22-02-19 11:00,52
22-02-19 10:00,50
22-02-19 09:00,46
22-02-19 08:00,9
22-02-19 07:00,344
22-02-19 06:00,334
22-02-19 05:00,306
22-02-19 04:00,281
22-02-19 03:00,273
22-02-19 02:00,270
22-02-19 01:00,260
22-02-19 00:00,259
21-02-19 23:00,253
21-02-19 22:00,251
21-02-19 21:00,246
21-02-19 20:00,257
21-02-19 19:00,253
21-02-19 18:00,249
21-02-19 17:00,265
21-02-19 16:00,255
21-02-19 15:00,238
21-02-19 14:00,237
21-02-19 13:00,253
21-02-19 12:00,252
21-02-19 11:00,251
21-02-19 10:00,243
21-02-19 09:00,240
21-02-19 08:00,245
21-02-19 07:00,245
21-02-19 06:00,239
21-02-19 05:00,240
21-02-19 04:00,239
21-02-19 03:00,239
21-02-19 02:00,243
21-02-19 01:00,239
21-02-19 00:00,237
20-02-19 23:00,239
20-02-19 22:00,236
20-02-19 21:00,235
20-02-19 20:00,239
20-02-19 19:00,250
20-02-19 18:00,249
20-02-19 17:00,251
20-02-19 16:00,258
20-02-19 15:00,256
20-02-19 14:00,255
20-02-19 13:00,255
20-02-19 12:00,247
20-02-19 11:00,249
20-02-19 10:00,240
20-02-19 09:00,245
20-02-19 08:00,247
20-02-19 07:00,245
20-02-19 06:00,248
20-02-19 05:00,243
20-02-19 04:00,244
20-02-19 03:00,249
20-02-19 02:00,249
20-02-19 01:00,255
20-02-19 00:00,244
19-02-19 23:00,241
19-02-19 22:00,238
19-02-19 21:00,240
19-02-19 20:00,244
19-02-19 19:00,246
19-02-19 18:00,245
19-02-19 17:00,239
